Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.848521,2.000455,1.848521,1.848521,1.067674,1371300
1980-03-18,1.848521,1.916047,1.831640,1.907607,1.101801,2348300
1980-03-19,1.932929,2.034218,1.932929,1.932929,1.116427,2337900
1980-03-20,1.959305,2.017336,1.959305,1.983573,1.145678,1183700
1980-03-21,1.983573,1.992014,1.932929,1.932929,1.116427,290100
1980-03-24,1.932929,1.949810,1.848521,1.882285,1.087176,969100
1980-03-25,1.882285,1.890725,1.788376,1.806318,1.043299,1673300
1980-03-26,1.806318,1.823199,1.730351,1.730351,0.999422,3354300
1980-03-27,1.730351,1.739845,1.520386,1.688148,0.975046,3666200
1980-03-28,1.688148,1.848521,1.671266,1.848521,1.067674,2949600
1980-03-31,1.873844,1.976186,1.873844,1.932929,1.116427,665200
1980-04-01,1.949810,2.000455,1.949810,2.000455,1.155429,1213600
1980-04-02,2.000455,2.017336,1.959305,1.959305,1.131661,1372000
1980-04-03,1.949810,1.949810,1.907607,1.932929,1.116427,899600
1980-04-07,1.932929,1.932929,1.858016,1.873844,1.082301,976100
1980-04-08,1.873844,1.899166,1.858016,1.899166,1.096925,489700
1980-04-09,1.890725,1.890725,1.873844,1.882285,1.087176,714100
1980-04-10,1.890725,1.959305,1.890725,1.949810,1.126178,1469100
1980-04-11,1.949810,1.976186,1.949810,1.966692,1.135928,1324300
1980-04-14,1.949810,1.949810,1.924488,1.949810,1.126178,574400
1980-04-15,1.949810,1.959305,1.932929,1.941370,1.121302,169700
1980-04-16,1.941370,1.992014,1.858016,1.865403,1.077425,1063500
1980-04-17,1.865403,1.882285,1.823199,1.823199,1.053049,1133100
1980-04-18,1.823199,1.848521,1.806318,1.823199,1.053049,803900
1980-04-21,1.806318,1.806318,1.739845,1.755673,1.014047,521100
1980-04-22,1.831640,1.976186,1.831640,1.959305,1.131661,1381000
1980-04-23,1.959305,2.017336,1.858016,1.858016,1.073158,2691000
1980-04-24,1.858016,1.924488,1.823199,1.916047,1.106677,1047300
1980-04-25,1.916047,1.959305,1.865403,1.959305,1.131661,563200
1980-04-28,1.966692,2.058480,1.966692,2.042659,1.179805,778000
1980-04-29,2.042659,2.076421,2.025777,2.042659,1.179805,279800
1980-04-30,2.058480,2.143947,2.058480,2.127066,1.228558,1131500
