Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,7.375000,7.375000,7.250000,7.250000,3.697146,20800
1994-02-23,7.125000,7.125000,6.750000,6.937500,3.537784,31600
1994-02-24,6.937500,6.937500,6.812500,6.812500,3.474042,32000
1994-02-25,6.687500,6.687500,6.250000,6.437500,3.282811,49800
1994-02-28,6.500000,6.750000,6.437500,6.625000,3.378426,170400
1994-03-01,6.625000,6.625000,6.500000,6.562500,3.346554,41600
1994-03-02,6.437500,6.562500,6.437500,6.562500,3.346554,67000
1994-03-03,6.625000,6.625000,6.500000,6.500000,3.314682,27800
1994-03-04,6.500000,6.750000,6.437500,6.750000,3.442169,358200
1994-03-07,6.437500,6.812500,6.437500,6.750000,3.442169,690800
1994-03-08,6.750000,6.812500,6.750000,6.812500,3.474042,515200
1994-03-09,6.812500,6.875000,6.812500,6.875000,3.505912,540400
1994-03-10,6.875000,6.875000,6.812500,6.875000,3.505912,1832200
1994-03-11,6.937500,7.187500,6.937500,7.187500,3.665274,1895400
1994-03-14,7.187500,7.625000,7.187500,7.562500,3.856504,1413800
1994-03-15,7.562500,7.687500,7.437500,7.437500,3.792762,1665200
1994-03-16,7.437500,7.437500,7.312500,7.437500,3.792762,717000
1994-03-17,7.437500,7.687500,7.437500,7.562500,3.882606,971200
1994-03-18,7.625000,7.687500,7.625000,7.625000,3.914695,1178000
1994-03-21,7.625000,7.687500,7.625000,7.687500,3.946782,659400
1994-03-22,7.687500,7.875000,7.687500,7.812500,4.010958,374000
1994-03-23,7.812500,7.937500,7.750000,7.875000,4.043044,430200
1994-03-24,7.812500,7.875000,7.750000,7.750000,3.978870,747000
1994-03-25,7.812500,7.812500,7.625000,7.687500,3.946782,370000
1994-03-28,7.687500,7.687500,7.625000,7.625000,3.914695,1116200
1994-03-29,7.625000,7.687500,7.500000,7.500000,3.850518,595800
1994-03-30,7.500000,7.500000,7.312500,7.375000,3.786342,653000
1994-03-31,7.375000,7.437500,7.250000,7.375000,3.786342,448400
1994-04-04,7.125000,7.375000,7.125000,7.375000,3.786342,386600
1994-04-05,7.312500,7.687500,7.312500,7.625000,3.914695,361600
1994-04-06,7.625000,7.687500,7.375000,7.375000,3.786342,551400
1994-04-07,7.500000,7.500000,7.375000,7.437500,3.818432,338400
1994-04-08,7.312500,7.500000,7.312500,7.500000,3.850518,166000
1994-04-11,7.500000,7.625000,7.250000,7.250000,3.722169,424800
1994-04-12,7.125000,7.250000,7.125000,7.125000,3.657993,602800
1994-04-13,7.125000,7.312500,7.000000,7.000000,3.593818,504600
1994-04-14,7.062500,7.062500,6.937500,6.937500,3.561729,378200
1994-04-15,6.875000,7.062500,6.875000,6.875000,3.529641,197600
1994-04-18,7.000000,7.250000,7.000000,7.250000,3.722169,184800
1994-04-19,7.187500,7.312500,7.187500,7.250000,3.722169,122200
1994-04-20,7.312500,7.312500,7.125000,7.125000,3.657993,201400
1994-04-21,7.125000,7.312500,6.875000,6.875000,3.529641,858200
1994-04-22,7.000000,7.250000,7.000000,7.250000,3.722169,411400
1994-04-25,7.187500,7.625000,7.187500,7.625000,3.914695,330600
1994-04-26,7.562500,7.562500,7.250000,7.375000,3.786342,313400
1994-04-28,7.312500,7.312500,7.125000,7.312500,3.754256,161600
1994-04-29,7.250000,7.312500,7.187500,7.250000,3.722169,344600
1994-05-02,7.187500,7.312500,7.062500,7.187500,3.690081,135800
1994-05-03,7.250000,7.437500,7.125000,7.187500,3.690081,375200
1994-05-04,7.125000,7.375000,7.125000,7.312500,3.754256,491800
1994-05-05,7.312500,7.312500,7.187500,7.250000,3.722169,152800
1994-05-06,7.250000,7.312500,7.250000,7.250000,3.722169,272800
1994-05-09,7.250000,7.312500,7.250000,7.250000,3.722169,161600
1994-05-10,7.250000,7.500000,7.250000,7.500000,3.850518,308200
1994-05-11,7.500000,7.687500,7.500000,7.562500,3.882606,388600
1994-05-12,7.500000,7.750000,7.500000,7.750000,3.978870,155000
1994-05-13,7.687500,7.750000,7.375000,7.375000,3.786342,105200
1994-05-16,7.375000,7.562500,7.375000,7.437500,3.818432,206800
1994-05-17,7.500000,7.562500,7.437500,7.500000,3.850518,422600
1994-05-18,7.500000,7.500000,7.437500,7.500000,3.850518,130800
1994-05-19,7.437500,7.625000,7.375000,7.562500,3.882606,199400
1994-05-20,7.500000,7.562500,7.375000,7.375000,3.786342,119600
1994-05-23,7.312500,7.375000,7.250000,7.250000,3.722169,195600
1994-05-24,7.437500,7.562500,7.375000,7.562500,3.882606,158200
1994-05-25,7.500000,7.750000,7.500000,7.687500,3.946782,104800
1994-05-26,7.750000,7.750000,7.562500,7.750000,3.978870,345800
1994-05-27,7.687500,7.812500,7.625000,7.812500,4.010958,298000
1994-05-31,7.937500,8.250000,7.875000,8.062500,4.139309,456400
1994-06-01,8.062500,8.062500,7.875000,7.875000,4.043044,268200
1994-06-02,8.000000,8.062500,7.812500,7.875000,4.043044,81000
1994-06-03,7.812500,7.937500,7.625000,7.750000,3.978870,397400
1994-06-06,7.875000,7.937500,7.812500,7.875000,4.043044,75600
1994-06-07,7.750000,7.937500,7.750000,7.937500,4.075133,92800
1994-06-08,7.937500,7.937500,7.875000,7.875000,4.043044,107600
1994-06-09,7.812500,7.906250,7.812500,7.875000,4.068880,187800
1994-06-10,7.875000,7.875000,7.687500,7.687500,3.972000,280600
1994-06-13,7.750000,7.875000,7.562500,7.875000,4.068880,97600
1994-06-14,7.875000,8.062500,7.812500,8.062500,4.165758,339800
1994-06-15,8.000000,8.187500,8.000000,8.187500,4.230343,305200
1994-06-16,8.125000,8.500000,8.062500,8.500000,4.391806,393800
1994-06-17,8.500000,8.500000,8.250000,8.250000,4.262634,407200
1994-06-20,8.125000,8.250000,8.062500,8.125000,4.198051,47800
1994-06-21,8.125000,8.500000,8.125000,8.500000,4.391806,556200
1994-06-22,8.375000,8.625000,8.375000,8.500000,4.391806,759200
1994-06-23,8.437500,8.500000,8.437500,8.500000,4.391806,553200
1994-06-24,8.437500,8.500000,8.375000,8.375000,4.327222,1003800
1994-06-27,8.375000,8.375000,8.125000,8.250000,4.262634,295200
1994-06-28,8.187500,8.250000,8.125000,8.125000,4.198051,165800
1994-06-29,8.125000,8.125000,8.000000,8.000000,4.133464,396200
1994-06-30,8.000000,8.187500,8.000000,8.187500,4.230343,453200
1994-07-01,8.187500,8.250000,8.062500,8.125000,4.198051,870200
1994-07-05,8.062500,8.250000,8.062500,8.187500,4.230343,685600
1994-07-06,8.187500,8.250000,8.125000,8.125000,4.198051,163800
1994-07-07,8.125000,8.250000,8.125000,8.187500,4.230343,290600
1994-07-08,8.125000,8.312500,8.125000,8.250000,4.262634,165000
1994-07-11,8.187500,8.312500,8.187500,8.250000,4.262634,86800
1994-07-12,8.250000,8.250000,8.062500,8.062500,4.165758,390800
1994-07-13,8.062500,8.125000,8.000000,8.062500,4.165758,287000
1994-07-14,7.937500,8.125000,7.937500,8.062500,4.165758,167600
1994-07-15,7.937500,8.062500,7.937500,8.062500,4.165758,78800
1994-07-18,8.062500,8.250000,8.000000,8.187500,4.230343,150600
1994-07-19,8.312500,8.500000,8.312500,8.375000,4.327222,743800
1994-07-20,8.375000,8.562500,8.312500,8.562500,4.424099,1206000
1994-07-21,8.437500,8.562500,8.437500,8.562500,4.424099,544800
1994-07-22,8.562500,8.625000,8.500000,8.562500,4.424099,201400
1994-07-25,8.625000,8.625000,8.500000,8.625000,4.456390,71600
1994-07-26,8.750000,8.812500,8.625000,8.687500,4.488684,205400
1994-07-27,8.625000,8.812500,8.625000,8.687500,4.488684,244000
1994-07-28,8.625000,8.625000,8.562500,8.625000,4.456390,122400
1994-07-29,8.625000,8.687500,8.562500,8.687500,4.488684,102400
1994-08-01,8.625000,8.687500,8.625000,8.687500,4.488684,136800
1994-08-02,8.750000,8.812500,8.687500,8.812500,4.553267,513400
1994-08-03,8.812500,8.812500,8.687500,8.812500,4.553267,709800
