Date,Open,High,Low,Close,Adj Close,Volume
1979-05-15,3.559404,3.607504,3.511303,3.559404,1.415037,22000
1979-05-16,3.583454,3.823954,3.583454,3.799904,1.510649,65600
1979-05-17,3.799904,3.848004,3.799904,3.848004,1.529770,57200
1979-05-18,3.848004,3.992304,3.848004,3.968254,1.577576,118600
1979-05-21,3.968254,4.064454,3.920154,4.040404,1.606260,106200
1979-05-22,4.040404,4.136604,4.040404,4.088504,1.625382,127000
1979-05-23,4.088504,4.088504,3.968254,3.968254,1.577576,85400
1979-05-24,3.968254,3.992304,3.872054,3.920154,1.558454,80200
1979-05-25,3.920154,3.992304,3.872054,3.968254,1.577576,63200
1979-05-29,3.968254,4.184704,3.968254,4.112554,1.634943,122800
1979-05-30,4.184704,4.377104,4.184704,4.353055,1.730552,113600
1979-05-31,4.329004,4.329004,4.256854,4.329004,1.720991,80200
1979-06-01,4.329004,4.377104,4.329004,4.329004,1.720991,103000
1979-06-04,4.329004,4.449255,4.329004,4.425204,1.759236,70600
1979-06-05,4.449255,4.641654,4.449255,4.569505,1.816603,135800
1979-06-06,4.617605,4.761905,4.617605,4.665705,1.854847,147800
1979-06-07,4.665705,4.737855,4.641654,4.641654,1.845286,141400
1979-06-08,4.641654,4.713805,4.521405,4.593554,1.826163,53200
1979-06-11,4.593554,4.641654,4.521405,4.617605,1.835726,48600
1979-06-12,4.617605,4.641654,4.569505,4.593554,1.826163,47800
1979-06-13,4.593554,4.617605,4.425204,4.473304,1.778358,75600
1979-06-14,4.473304,4.545455,4.377104,4.473304,1.778358,58200
1979-06-15,4.521405,4.689754,4.521405,4.617605,1.835726,106800
1979-06-18,4.617605,4.617605,4.521405,4.569505,1.816603,34600
1979-06-19,4.569505,4.617605,4.521405,4.617605,1.835726,113600
1979-06-20,4.617605,4.689754,4.617605,4.641654,1.845286,151800
1979-06-21,4.641654,4.641654,4.545455,4.593554,1.826163,388800
1979-06-22,4.593554,4.593554,4.497355,4.569505,1.816603,69800
1979-06-25,4.569505,4.569505,4.280904,4.377104,1.740114,73400
1979-06-26,4.377104,4.473304,4.353055,4.401155,1.749674,77000
1979-06-27,4.401155,4.521405,4.401155,4.449255,1.768796,123800
1979-06-28,4.449255,4.497355,4.353055,4.401155,1.749674,63200
1979-06-29,4.401155,4.521405,4.401155,4.521405,1.797480,135200
1979-07-02,4.521405,4.545455,4.425204,4.425204,1.759236,40200
1979-07-03,4.425204,4.497355,4.425204,4.497355,1.787920,44800
1979-07-05,4.497355,4.497355,4.425204,4.497355,1.787920,17800
1979-07-06,4.497355,4.569505,4.473304,4.521405,1.797480,98400
1979-07-09,4.593554,5.074555,4.593554,5.074555,2.017386,223200
1979-07-10,5.074555,5.098605,4.834055,4.906205,1.950457,168600
1979-07-11,4.906205,4.906205,4.785955,4.810005,1.912213,172600
1979-07-12,4.810005,4.858105,4.761905,4.785955,1.902652,85400
1979-07-13,4.737855,4.737855,4.569505,4.617605,1.835726,89400
1979-07-16,4.617605,4.665705,4.545455,4.665705,1.854847,26200
1979-07-17,4.665705,4.665705,4.449255,4.449255,1.768796,58200
1979-07-18,4.401155,4.401155,4.256854,4.377104,1.740114,81800
1979-07-19,4.377104,4.497355,4.304955,4.425204,1.759236,34600
1979-07-20,4.425204,4.425204,4.353055,4.353055,1.730552,19800
1979-07-23,4.353055,4.473304,4.353055,4.401155,1.749674,47800
1979-07-24,4.449255,4.521405,4.449255,4.521405,1.797480,24000
1979-07-25,4.521405,4.593554,4.521405,4.545455,1.807041,23600
1979-07-26,4.545455,4.569505,4.521405,4.521405,1.797480,22000
1979-07-27,4.521405,4.569505,4.497355,4.497355,1.787920,40200
1979-07-30,4.497355,4.497355,4.401155,4.401155,1.749674,79000
1979-07-31,4.401155,4.449255,4.401155,4.449255,1.768796,69400
1979-08-01,4.449255,4.569505,4.449255,4.497355,1.787920,53200
1979-08-02,4.497355,4.569505,4.449255,4.569505,1.816603,98400
1979-08-03,4.569505,4.569505,4.497355,4.521405,1.797480,61000
1979-08-06,4.521405,4.569505,4.497355,4.521405,1.797480,40200
1979-08-07,4.521405,4.593554,4.521405,4.569505,1.816603,42400
1979-08-08,4.617605,4.761905,4.617605,4.689754,1.864408,78000
1979-08-09,4.689754,4.761905,4.641654,4.737855,1.883529,34600
1979-08-10,4.737855,4.737855,4.593554,4.617605,1.835726,40600
1979-08-13,4.617605,4.713805,4.617605,4.665705,1.854847,40200
1979-08-14,4.665705,4.689754,4.593554,4.617605,1.835726,40600
1979-08-15,4.617605,4.689754,4.545455,4.665705,1.854847,54000
1979-08-16,4.665705,4.761905,4.617605,4.689754,1.864408,61000
1979-08-17,4.689754,4.785955,4.665705,4.785955,1.902652,52600
1979-08-20,4.785955,4.810005,4.713805,4.785955,1.902652,26200
1979-08-21,4.785955,4.810005,4.593554,4.617605,1.835726,40600
1979-08-22,4.617605,4.761905,4.617605,4.737855,1.883529,99800
1979-08-23,4.737855,4.785955,4.737855,4.785955,1.902652,44800
1979-08-24,4.785955,4.858105,4.737855,4.810005,1.912213,48600
1979-08-27,4.810005,4.858105,4.737855,4.785955,1.902652,43800
1979-08-28,4.785955,4.858105,4.665705,4.665705,1.854847,37400
1979-08-29,4.665705,4.978355,4.593554,4.954305,1.969579,81200
1979-08-30,4.954305,5.339105,4.858105,5.339105,2.122557,197600
1979-08-31,5.339105,5.507455,5.339105,5.459355,2.170362,315200
1979-09-04,5.459355,5.483406,5.074555,5.122655,2.036508,106800
1979-09-05,5.002405,5.002405,4.810005,4.978355,1.979140,173400
1979-09-06,4.978355,4.978355,4.930255,4.978355,1.979140,64600
1979-09-07,4.978355,5.218855,4.978355,5.218855,2.074752,74800
1979-09-10,5.218855,5.339105,5.122655,5.170755,2.055629,105200
1979-09-11,5.170755,5.194805,5.074555,5.074555,2.017386,59400
1979-09-12,5.074555,5.218855,5.050505,5.194805,2.065191,72800
1979-09-13,5.194805,5.411255,5.098605,5.315055,2.112996,114400
1979-09-14,5.339105,5.627706,5.339105,5.531506,2.199045,169600
1979-09-17,5.555555,5.747956,5.555555,5.603656,2.227729,228800
1979-09-18,5.603656,5.603656,5.435306,5.507455,2.189483,111000
1979-09-19,5.507455,5.507455,5.411255,5.411255,2.151241,62400
1979-09-20,5.411255,5.435306,5.363155,5.411255,2.151241,80200
1979-09-21,5.435306,5.627706,5.435306,5.627706,2.237289,128800
1979-09-24,5.603656,5.603656,5.435306,5.459355,2.170362,262000
1979-09-25,5.459355,5.603656,5.411255,5.555555,2.208606,215400
1979-09-26,5.555555,5.651756,5.555555,5.555555,2.208606,66400
1979-09-27,5.531506,5.531506,5.435306,5.483406,2.179923,35400
1979-09-28,5.483406,5.555555,5.483406,5.483406,2.179923,58200
1979-10-01,5.483406,5.555555,5.483406,5.507455,2.189483,47800
1979-10-02,5.555555,5.699856,5.555555,5.675806,2.256411,105200
1979-10-03,5.747956,5.916306,5.747956,5.820106,2.313778,197600
1979-10-04,5.820106,6.060606,5.796056,6.012506,2.390266,146600
1979-10-05,6.084656,6.469457,6.084656,6.469457,2.571927,181600
1979-10-08,6.469457,6.469457,6.253006,6.349206,2.524122,245400
1979-10-09,6.325156,6.325156,5.555555,5.555555,2.208606,262600
1979-10-10,5.459355,5.459355,5.002405,5.363155,2.132118,418000
1979-10-11,5.363155,5.555555,5.218855,5.315055,2.112996,192400
1979-10-12,5.315055,5.579606,5.315055,5.411255,2.151241,116400
1979-10-15,5.411255,5.507455,5.339105,5.363155,2.132118,124800
1979-10-16,5.363155,5.483406,5.363155,5.459355,2.170362,74800
1979-10-17,5.459355,5.507455,5.411255,5.435306,2.160801,47000
1979-10-18,5.435306,5.699856,5.411255,5.675806,2.256411,94800
1979-10-19,5.627706,5.627706,5.483406,5.555555,2.208606,164400
1979-10-22,5.411255,5.411255,5.146705,5.218855,2.074752,120600
1979-10-23,5.218855,5.266955,5.098605,5.194805,2.065191,67400
1979-10-24,5.194805,5.339105,5.170755,5.339105,2.122557,58200
1979-10-25,5.339105,5.339105,5.242905,5.242905,2.084313,39600
1979-10-26,5.291005,5.363155,5.291005,5.315055,2.112996,59400
1979-10-29,5.315055,5.339105,5.291005,5.291005,2.103434,21600
