Date,Open,High,Low,Close,Adj Close,Volume
1986-09-08,5.312500,5.562500,5.312500,5.343750,2.862511,1090000
1986-09-09,5.343750,5.343750,5.156250,5.156250,2.762073,998000
1986-09-10,5.156250,5.187500,5.125000,5.156250,2.762073,3112800
1986-09-11,5.125000,5.125000,4.906250,5.000000,2.678373,263600
1986-09-12,5.000000,5.000000,4.843750,4.937500,2.644894,749600
1986-09-15,4.937500,4.937500,4.906250,4.906250,2.628153,175600
1986-09-16,4.875000,4.875000,4.750000,4.781250,2.561193,206400
1986-09-17,4.781250,4.781250,4.718750,4.750000,2.544455,108400
1986-09-18,4.750000,4.906250,4.750000,4.906250,2.628153,643200
1986-09-19,4.906250,4.937500,4.906250,4.937500,2.644894,212400
1986-09-22,4.968750,5.062500,4.968750,5.062500,2.711852,200000
1986-09-23,5.062500,5.093750,5.000000,5.062500,2.711852,405600
1986-09-24,5.062500,5.343750,5.062500,5.250000,2.812292,1560000
1986-09-25,5.218750,5.218750,5.156250,5.187500,2.778812,414000
1986-09-26,5.187500,5.187500,5.156250,5.187500,2.778812,314400
1986-09-29,5.187500,5.218750,5.156250,5.218750,2.795553,951600
1986-09-30,5.218750,5.343750,5.218750,5.312500,2.845771,331600
1986-10-01,5.343750,5.437500,5.343750,5.375000,2.879249,1872400
1986-10-02,5.375000,5.625000,5.343750,5.625000,3.013170,2767200
1986-10-03,5.625000,5.750000,5.531250,5.593750,2.996429,3138400
1986-10-06,5.593750,5.625000,5.531250,5.562500,2.979689,925200
1986-10-07,5.562500,5.593750,5.437500,5.500000,2.946210,1152000
1986-10-08,5.500000,5.562500,5.437500,5.562500,2.979689,2980400
1986-10-09,5.562500,5.625000,5.500000,5.562500,2.979689,4265200
1986-10-10,5.562500,5.625000,5.531250,5.593750,2.996429,996400
1986-10-13,5.593750,5.593750,5.437500,5.468750,2.929470,1656000
1986-10-14,5.375000,5.375000,5.125000,5.218750,2.795553,2104000
1986-10-15,5.281250,5.406250,5.281250,5.312500,2.845771,3973200
1986-10-16,5.312500,5.312500,5.187500,5.281250,2.829031,1820400
1986-10-17,5.250000,5.250000,5.000000,5.125000,2.745332,2462800
1986-10-20,5.125000,5.187500,5.093750,5.125000,2.745332,599600
