Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,6.699775,6.770052,6.699775,6.699775,1.845695,24100
1970-01-05,6.699775,6.746627,6.617785,6.629498,1.826336,27700
1970-01-06,6.629498,6.652924,6.559220,6.559220,1.806974,98800
1970-01-07,6.535795,6.535795,6.512369,6.524082,1.797293,78900
1970-01-08,6.524082,6.559220,6.477230,6.500656,1.790840,61800
1970-01-09,6.465517,6.465517,6.418666,6.442091,1.774708,66800
1970-01-12,6.430378,6.430378,6.371814,6.371814,1.755347,87500
1970-01-13,6.371814,6.442091,6.348388,6.442091,1.774708,62500
1970-01-14,6.442091,6.442091,6.371814,6.371814,1.755347,61800
1970-01-15,6.371814,6.395240,6.348388,6.395240,1.761801,85300
1970-01-16,6.395240,6.442091,6.348388,6.442091,1.774708,98100
1970-01-19,6.430378,6.430378,6.324963,6.324963,1.742441,100900
1970-01-20,6.324963,6.395240,6.324963,6.395240,1.761801,21300
1970-01-21,6.418666,6.559220,6.418666,6.547507,1.803749,34800
1970-01-22,6.547507,6.723201,6.535795,6.606072,1.819882,197000
1970-01-23,6.606072,6.606072,6.465517,6.465517,1.781162,36900
1970-01-26,6.442091,6.442091,6.313250,6.371814,1.755347,92400
1970-01-27,6.371814,6.395240,6.242972,6.242972,1.719852,40500
1970-01-28,6.242972,6.278111,6.231259,6.231259,1.716626,122300
1970-01-29,6.231259,6.231259,6.114130,6.114130,1.684359,152200
1970-01-30,6.114130,6.184408,6.102417,6.102417,1.681132,43300
1970-02-02,6.102417,6.207834,6.102417,6.149269,1.705826,46900
1970-02-03,6.149269,6.254685,6.114130,6.254685,1.735069,105200
1970-02-04,6.254685,6.254685,6.137556,6.160982,1.709075,254600
1970-02-05,6.160982,6.160982,6.114130,6.114130,1.696079,45400
1970-02-06,6.114130,6.125844,6.114130,6.114130,1.696079,45400
1970-02-09,6.160982,6.254685,6.160982,6.231259,1.728571,34100
1970-02-10,6.231259,6.254685,6.207834,6.207834,1.722074,21300
1970-02-11,6.207834,6.418666,6.207834,6.418666,1.780559,43300
1970-02-12,6.418666,6.453804,6.371814,6.371814,1.767561,132900
1970-02-13,6.371814,6.371814,6.360101,6.371814,1.767561,27700
1970-02-16,6.371814,6.395240,6.348388,6.348388,1.761062,45400
1970-02-17,6.348388,6.371814,6.336676,6.336676,1.757814,29800
1970-02-18,6.348388,6.453804,6.348388,6.383527,1.770810,76800
1970-02-19,6.453804,6.559220,6.453804,6.535795,1.813050,47600
1970-02-20,6.559220,6.629498,6.559220,6.559220,1.819548,36200
1970-02-24,6.559220,6.582646,6.535795,6.535795,1.813050,49000
1970-02-25,6.535795,6.641211,6.535795,6.641211,1.842293,58200
1970-02-26,6.641211,6.758339,6.641211,6.758339,1.874784,58200
1970-02-27,6.770052,6.875469,6.770052,6.863756,1.904028,58200
1970-03-02,6.863756,6.887181,6.816904,6.840330,1.897529,96000
1970-03-03,6.840330,6.863756,6.746627,6.781765,1.881284,51800
1970-03-04,6.816904,6.852043,6.816904,6.852043,1.900779,88100
1970-03-05,6.852043,6.934033,6.840330,6.875469,1.907277,271700
1970-03-06,6.898894,6.910607,6.898894,6.898894,1.913775,42600
1970-03-09,6.875469,6.875469,6.805191,6.828617,1.894280,110900
1970-03-10,6.828617,6.863756,6.816904,6.816904,1.891031,66100
1970-03-11,6.816904,6.840330,6.793478,6.793478,1.884532,41200
1970-03-12,6.793478,6.793478,6.723201,6.723201,1.865036,89600
1970-03-13,6.723201,6.723201,6.652924,6.652924,1.845541,98100
1970-03-16,6.652924,6.652924,6.582646,6.582646,1.826046,64000
1970-03-17,6.582646,6.582646,6.535795,6.535795,1.813050,143600
1970-03-18,6.535795,6.547507,6.535795,6.547507,1.816299,138700
1970-03-19,6.535795,6.535795,6.371814,6.371814,1.767561,1104100
1970-03-20,6.371814,6.395240,6.324963,6.324963,1.754565,162800
1970-03-23,6.324963,6.360101,6.301537,6.313250,1.751315,77500
1970-03-24,6.348388,6.453804,6.348388,6.395240,1.774060,85300
1970-03-25,6.442091,6.746627,6.442091,6.688062,1.855289,320800
1970-03-26,6.688062,6.699775,6.559220,6.606072,1.832546,96700
1970-03-30,6.606072,6.652924,6.559220,6.652924,1.845541,81100
1970-03-31,6.641211,6.641211,6.617785,6.617785,1.835793,78900
1970-04-01,6.664637,6.711488,6.664637,6.664637,1.848791,75300
1970-04-02,6.688062,6.746627,6.688062,6.746627,1.871535,203400
1970-04-03,6.746627,6.793478,6.711488,6.723201,1.865036,64000
1970-04-06,6.723201,6.723201,6.699775,6.699775,1.858538,89600
1970-04-07,6.699775,6.723201,6.664637,6.664637,1.848791,43300
1970-04-08,6.664637,6.688062,6.652924,6.652924,1.845541,79600
1970-04-09,6.652924,6.652924,6.582646,6.582646,1.826046,41200
1970-04-10,6.582646,6.652924,6.488943,6.535795,1.813050,78900
1970-04-13,6.535795,6.559220,6.524082,6.524082,1.809799,120100
1970-04-14,6.524082,6.524082,6.453804,6.477230,1.796803,165000
1970-04-15,6.477230,6.488943,6.418666,6.418666,1.780559,64600
1970-04-16,6.418666,6.512369,6.383527,6.383527,1.770810,198400
1970-04-17,6.383527,6.395240,6.324963,6.324963,1.754565,175600
1970-04-20,6.324963,6.348388,6.289824,6.324963,1.754565,49700
1970-04-21,6.324963,6.348388,6.301537,6.301537,1.748065,60400
1970-04-22,6.278111,6.278111,6.067279,6.067279,1.683082,243900
1970-04-23,6.043853,6.043853,5.926724,5.926724,1.644092,145800
1970-04-24,5.926724,5.997002,5.926724,5.997002,1.663588,58200
1970-04-27,5.997002,6.020427,5.973576,5.997002,1.663588,34800
1970-04-28,5.997002,6.008714,5.950150,5.973576,1.657088,75300
1970-04-29,5.973576,6.067279,5.973576,6.043853,1.676583,66100
1970-04-30,6.043853,6.172695,5.985289,6.055566,1.679834,60400
1970-05-01,6.043853,6.043853,5.973576,5.997002,1.663588,83200
1970-05-04,5.997002,5.997002,5.715892,5.715892,1.585606,211900
1970-05-05,5.715892,5.715892,5.587050,5.587050,1.549865,89600
1970-05-06,5.645615,5.751031,5.645615,5.680753,1.575859,141500
1970-05-07,5.704179,5.809595,5.704179,5.774457,1.601852,71100
1970-05-08,5.774457,5.786170,5.727605,5.727605,1.588855,26200
1970-05-11,5.704179,5.704179,5.645615,5.669041,1.584275,34100
1970-05-12,5.669041,5.704179,5.633902,5.680753,1.587548,41200
1970-05-13,5.669041,5.669041,5.528486,5.528486,1.544995,106700
1970-05-14,5.493347,5.493347,5.317654,5.317654,1.486075,110900
1970-05-15,5.434783,5.516773,5.434783,5.446496,1.522082,71100
1970-05-18,5.446496,5.551911,5.446496,5.446496,1.522082,30500
1970-05-19,5.446496,5.481634,5.399644,5.399644,1.508988,83200
1970-05-20,5.399644,5.423069,5.341079,5.341079,1.492622,157900
1970-05-21,5.317654,5.317654,5.259089,5.259089,1.469709,81700
1970-05-22,5.259089,5.259089,4.942841,5.059970,1.414063,89600
1970-05-25,5.024831,5.024831,4.755435,4.755435,1.328957,36200
1970-05-26,4.755435,4.919415,4.685157,4.685157,1.309318,199100
1970-05-27,4.696870,4.860851,4.696870,4.860851,1.358417,251800
1970-05-28,4.860851,4.919415,4.767148,4.849138,1.355143,203400
1970-05-29,4.849138,4.989693,4.802286,4.989693,1.394423,235400
1970-06-01,5.059970,5.212238,5.059970,5.212238,1.456615,111600
1970-06-02,5.212238,5.212238,5.013118,5.095109,1.423883,140800
1970-06-03,5.095109,5.247376,5.059970,5.200525,1.453343,164300
1970-06-04,5.200525,5.212238,5.036544,5.036544,1.407516,474500
1970-06-05,5.036544,5.059970,4.931128,4.931128,1.378057,66100
1970-06-08,4.954554,5.095109,4.954554,4.989693,1.394423,44800
1970-06-09,4.989693,5.024831,4.989693,4.989693,1.394423,21300
1970-06-10,4.989693,5.013118,4.919415,4.931128,1.378057,30500
1970-06-11,4.919415,4.919415,4.708583,4.708583,1.315864,60400
1970-06-12,4.708583,4.778861,4.696870,4.778861,1.335504,79600
1970-06-15,4.778861,4.802286,4.755435,4.790574,1.338777,83900
1970-06-16,4.790574,4.919415,4.790574,4.895989,1.368237,94500
1970-06-17,4.907702,5.001406,4.907702,4.931128,1.378057,44800
1970-06-18,4.954554,5.223950,4.954554,5.153673,1.440249,90300
1970-06-19,5.153673,5.235663,5.153673,5.200525,1.453343,61800
1970-06-22,5.188812,5.188812,5.106822,5.106822,1.427156,51800
