Date,Open,High,Low,Close,Adj Close,Volume
1981-10-27,3.586545,3.586545,3.528582,3.549549,0.391923,14549100
1981-10-28,3.560646,3.634644,3.552015,3.627246,0.400502,15726400
1981-10-29,3.597648,3.597648,3.497746,3.521179,0.388791,22954700
1981-10-30,3.453346,3.495280,3.397844,3.424981,0.378169,38308300
1981-11-02,null,null,null,null,null,null
1981-11-03,3.333710,3.333710,3.302879,3.385513,0.373811,32819100
1981-11-04,3.330011,3.330011,3.247376,3.291776,0.363461,39342000
1981-11-05,3.306578,3.349745,3.257246,3.301646,0.364551,28210400
1981-11-06,3.341114,3.341114,3.247376,3.326312,0.367274,25572000
1981-11-09,null,null,null,null,null,null
1981-11-10,3.370712,3.381814,3.295481,3.353444,0.370270,16375100
1981-11-11,3.341114,3.381814,3.341114,3.360847,0.371088,12010500
1981-11-12,3.347279,3.347279,3.333710,3.385513,0.373811,12297500
1981-11-13,3.370712,3.501445,3.370712,3.511315,0.387702,29262100
1981-11-16,null,null,null,null,null,null
1981-11-17,3.508849,3.518713,3.368246,3.450880,0.381029,13809700
1981-11-18,3.450880,3.511315,3.384280,3.354677,0.370407,13442400
1981-11-19,3.464449,3.474313,3.330011,3.416344,0.377215,21135400
1981-11-20,3.426214,3.429913,3.381814,3.349745,0.369862,17641600
1981-11-23,null,null,null,null,null,null
1981-11-24,3.381814,3.450880,3.354677,3.395377,0.374900,19309300
1981-11-25,3.384280,3.429913,3.339880,3.399076,0.375309,16110800
1981-11-27,null,null,null,null,null,null
1981-11-30,null,null,null,null,null,null
1981-12-01,3.505144,3.548311,3.505144,3.511315,0.387702,17686100
1981-12-02,3.512547,3.517480,3.453346,3.480478,0.384297,14000300
1981-12-03,3.481711,3.570511,3.481711,3.498979,0.386340,13926400
1981-12-04,3.511315,3.579147,3.501445,3.542145,0.391106,12389200
1981-12-07,null,null,null,null,null,null
1981-12-08,3.627246,3.730848,3.627246,3.672879,0.405541,33564900
1981-12-09,null,null,null,null,null,null
1981-12-10,null,null,null,null,null,null
1981-12-11,null,null,null,null,null,null
1981-12-14,null,null,null,null,null,null
1981-12-15,null,null,null,null,null,null
1981-12-16,null,null,null,null,null,null
1981-12-17,null,null,null,null,null,null
1981-12-18,null,null,null,null,null,null
