Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.828125,1.859375,1.828125,1.828125,0.347225,353600
1980-03-18,1.828125,1.828125,1.796875,1.812500,0.344258,1843200
1980-03-19,1.828125,1.859375,1.828125,1.859375,0.353161,203200
1980-03-20,1.859375,1.875000,1.843750,1.859375,0.353161,385600
1980-03-21,1.859375,1.867188,1.796875,1.796875,0.341290,139200
1980-03-24,1.796875,1.796875,1.773438,1.773438,0.336838,448000
1980-03-25,1.773438,1.781250,1.710938,1.710938,0.324967,563200
1980-03-26,1.710938,1.750000,1.710938,1.726563,0.327935,953600
1980-03-27,1.718750,1.718750,1.640625,1.687500,0.320516,192000
1980-03-28,1.703125,1.812500,1.703125,1.812500,0.344258,486400
1980-03-31,1.812500,1.843750,1.781250,1.843750,0.350193,241600
1980-04-01,1.843750,1.890625,1.835938,1.890625,0.359096,604800
1980-04-02,1.914063,1.953125,1.914063,1.945313,0.369483,108800
1980-04-03,1.945313,1.968750,1.929688,1.929688,0.366515,336000
1980-04-07,1.929688,1.953125,1.929688,1.937500,0.367999,216000
1980-04-08,1.945313,1.968750,1.945313,1.953125,0.370967,43200
1980-04-09,1.976563,2.125000,1.976563,2.093750,0.397677,473600
1980-04-10,2.093750,2.187500,2.085938,2.085938,0.396193,539200
1980-04-11,2.085938,2.156250,2.085938,2.156250,0.409548,518400
1980-04-14,2.156250,2.179688,2.109375,2.125000,0.403612,308800
1980-04-15,2.117188,2.117188,2.078125,2.078125,0.394709,292800
1980-04-16,2.078125,2.109375,2.054688,2.054688,0.390257,324800
1980-04-17,2.054688,2.085938,2.054688,2.070313,0.393225,216000
1980-04-18,2.070313,2.085938,2.070313,2.070313,0.393225,43200
1980-04-21,2.070313,2.070313,2.046875,2.046875,0.388774,131200
1980-04-22,2.062500,2.125000,2.062500,2.125000,0.403612,342400
1980-04-23,2.125000,2.140625,2.078125,2.093750,0.397677,513600
1980-04-24,2.093750,2.140625,2.078125,2.125000,0.403612,520000
1980-04-25,2.125000,2.203125,2.109375,2.187500,0.415483,392000
1980-04-28,2.187500,2.210938,2.187500,2.187500,0.415483,129600
1980-04-29,2.187500,2.203125,2.164063,2.203125,0.418451,145600
1980-04-30,2.203125,2.203125,2.156250,2.203125,0.418451,105600
1980-05-01,2.187500,2.187500,2.148438,2.148438,0.408064,62400
1980-05-02,2.148438,2.171875,2.125000,2.171875,0.412515,236800
1980-05-05,2.171875,2.179688,2.148438,2.156250,0.409548,88000
1980-05-06,2.156250,2.179688,2.148438,2.156250,0.409548,100800
1980-05-07,2.156250,2.171875,2.132813,2.156250,0.409548,153600
1980-05-08,2.148438,2.148438,2.132813,2.140625,0.406580,190400
1980-05-09,2.140625,2.148438,2.109375,2.148438,0.408064,273600
1980-05-12,2.125000,2.125000,2.101563,2.109375,0.400644,156800
1980-05-13,2.109375,2.125000,2.109375,2.125000,0.403612,345600
1980-05-14,2.125000,2.148438,2.125000,2.132813,0.405096,44800
1980-05-15,2.132813,2.156250,2.132813,2.140625,0.406580,209600
1980-05-16,2.140625,2.148438,2.132813,2.140625,0.406580,84800
1980-05-19,2.140625,2.156250,2.125000,2.140625,0.406580,99200
1980-05-20,2.140625,2.140625,2.109375,2.132813,0.405096,68800
1980-05-21,2.132813,2.132813,2.109375,2.132813,0.405096,22400
1980-05-22,2.132813,2.140625,2.109375,2.125000,0.403612,91200
1980-05-23,2.125000,2.148438,2.125000,2.140625,0.406580,209600
1980-05-27,2.117188,2.117188,2.070313,2.117188,0.402128,313600
1980-05-28,2.117188,2.125000,2.093750,2.125000,0.403612,320000
1980-05-29,2.125000,2.140625,2.109375,2.117188,0.402128,628800
1980-05-30,2.117188,2.117188,2.085938,2.117188,0.402128,305600
1980-06-02,2.117188,2.125000,2.109375,2.109375,0.400644,108800
1980-06-03,2.109375,2.109375,2.062500,2.109375,0.400644,232000
1980-06-04,2.109375,2.132813,2.109375,2.109375,0.400644,265600
1980-06-05,2.109375,2.148438,2.093750,2.140625,0.406580,3302400
1980-06-06,2.140625,2.148438,2.085938,2.148438,0.408064,353600
1980-06-09,2.148438,2.179688,2.140625,2.171875,0.412515,769600
1980-06-10,2.171875,2.234375,2.164063,2.234375,0.424386,315200
1980-06-11,2.234375,2.234375,2.203125,2.203125,0.418451,174400
1980-06-12,2.203125,2.218750,2.187500,2.218750,0.421419,148800
1980-06-13,2.218750,2.234375,2.203125,2.218750,0.421419,148800
1980-06-16,2.226563,2.250000,2.226563,2.234375,0.424386,457600
1980-06-17,2.234375,2.312500,2.234375,2.265625,0.430322,404800
1980-06-18,2.265625,2.265625,2.218750,2.234375,0.424386,219200
1980-06-19,2.234375,2.234375,2.187500,2.187500,0.415483,172800
1980-06-20,2.187500,2.203125,2.187500,2.203125,0.418451,73600
1980-06-23,2.203125,2.210938,2.171875,2.187500,0.415483,46400
1980-06-24,2.187500,2.203125,2.156250,2.187500,0.415483,105600
1980-06-25,2.179688,2.179688,2.125000,2.156250,0.409548,284800
1980-06-26,2.156250,2.179688,2.156250,2.156250,0.409548,182400
1980-06-27,2.156250,2.171875,2.148438,2.156250,0.409548,184000
1980-06-30,2.148438,2.148438,2.054688,2.070313,0.393225,152000
1980-07-01,2.070313,2.109375,2.062500,2.109375,0.400644,236800
1980-07-02,2.109375,2.125000,2.070313,2.101563,0.399161,369600
1980-07-03,2.109375,2.203125,2.109375,2.164063,0.411031,360000
1980-07-07,2.164063,2.164063,2.140625,2.148438,0.408064,435200
1980-07-08,2.148438,2.148438,2.101563,2.125000,0.403612,140800
1980-07-09,2.125000,2.171875,2.117188,2.140625,0.406580,289600
1980-07-10,2.140625,2.179688,2.140625,2.164063,0.411031,137600
1980-07-11,2.164063,2.187500,2.164063,2.179688,0.413999,324800
1980-07-14,2.179688,2.250000,2.171875,2.234375,0.424386,161600
1980-07-15,2.234375,2.281250,2.234375,2.234375,0.424386,409600
1980-07-16,2.234375,2.250000,2.210938,2.226563,0.422902,262400
1980-07-17,2.226563,2.234375,2.195313,2.195313,0.416967,97600
1980-07-18,2.218750,2.281250,2.218750,2.281250,0.433289,454400
1980-07-21,2.281250,2.304688,2.250000,2.265625,0.430322,464000
1980-07-22,2.265625,2.289063,2.242188,2.265625,0.430322,326400
1980-07-23,2.265625,2.335938,2.265625,2.320313,0.440709,400000
1980-07-24,2.320313,2.351563,2.304688,2.304688,0.437741,304000
1980-07-25,2.304688,2.320313,2.289063,2.320313,0.440709,220800
1980-07-28,2.320313,2.343750,2.312500,2.335938,0.443677,108800
1980-07-29,2.335938,2.406250,2.320313,2.398438,0.455548,278400
1980-07-30,2.398438,2.460938,2.359375,2.359375,0.448128,1017600
1980-07-31,2.359375,2.398438,2.359375,2.398438,0.455548,164800
1980-08-01,2.398438,2.421875,2.382813,2.390625,0.454064,644800
1980-08-04,2.406250,2.437500,2.406250,2.421875,0.459999,88000
1980-08-05,2.421875,2.445313,2.421875,2.445313,0.464451,1321600
1980-08-06,2.429688,2.429688,2.398438,2.398438,0.455548,131200
1980-08-07,2.398438,2.406250,2.375000,2.375000,0.451096,755200
1980-08-08,2.375000,2.429688,2.359375,2.375000,0.451096,1195200
1980-08-11,2.375000,2.406250,2.375000,2.390625,0.454064,414400
