Date,Open,High,Low,Close,Adj Close,Volume
1997-06-18,26.125000,26.875000,26.125000,26.750000,12.178064,7918300
1997-06-19,26.875000,27.000000,26.500000,26.625000,12.121161,1472400
1997-06-20,26.750000,26.750000,26.250000,26.375000,12.007347,1030200
1997-06-23,26.375000,26.375000,26.125000,26.125000,11.893530,628900
1997-06-24,26.187500,26.250000,26.062500,26.062500,11.865081,541800
1997-06-25,26.250000,26.562500,26.250000,26.437500,12.035798,570500
1997-06-26,26.750000,27.000000,26.562500,27.000000,12.291878,488700
1997-06-27,27.000000,27.125000,26.750000,26.875000,12.234975,586400
1997-06-30,26.812500,27.500000,26.250000,27.250000,12.405689,629800
1997-07-01,27.125000,27.125000,26.625000,26.625000,12.121161,269700
1997-07-02,26.375000,26.625000,26.375000,26.375000,12.007347,350800
1997-07-03,26.437500,26.750000,26.437500,26.625000,12.121161,173000
1997-07-07,26.875000,26.937500,26.500000,26.750000,12.178064,449500
1997-07-08,26.687500,26.875000,26.625000,26.687500,12.149613,239400
1997-07-09,26.625000,26.687500,26.500000,26.562500,12.092703,226000
1997-07-10,26.500000,26.500000,26.312500,26.375000,12.007347,425100
1997-07-11,26.375000,26.500000,26.312500,26.437500,12.035798,326300
1997-07-14,26.687500,27.187500,26.625000,26.750000,12.178064,311000
1997-07-15,26.937500,26.937500,26.562500,26.687500,12.149613,534400
1997-07-16,26.687500,27.000000,26.625000,26.875000,12.234975,443700
1997-07-17,26.937500,27.187500,26.937500,27.062500,12.320334,443800
1997-07-18,27.000000,27.062500,26.375000,26.625000,12.121161,359600
1997-07-21,26.375000,26.875000,26.250000,26.812500,12.206519,422700
1997-07-22,26.812500,26.937500,26.750000,26.812500,12.206519,246500
1997-07-23,26.937500,26.937500,26.812500,26.812500,12.206519,196900
1997-07-24,26.937500,27.125000,26.750000,27.062500,12.320334,481800
1997-07-25,27.187500,27.375000,27.125000,27.312500,12.434145,225800
1997-07-28,27.187500,27.375000,27.000000,27.312500,12.434145,127600
1997-07-29,27.250000,27.562500,27.187500,27.437500,12.491056,350200
1997-07-30,27.437500,27.625000,27.000000,27.562500,12.547956,126600
1997-07-31,27.562500,28.000000,27.500000,27.875000,12.690230,203500
1997-08-01,27.937500,27.937500,27.250000,27.875000,12.690230,85200
1997-08-04,27.937500,28.000000,27.187500,27.875000,12.690230,115600
1997-08-05,27.687500,28.312500,27.562500,28.125000,12.804041,152900
1997-08-06,28.000000,29.375000,27.937500,29.375000,13.373110,234900
1997-08-07,29.312500,29.375000,29.250000,29.250000,13.316206,358900
1997-08-08,29.000000,29.000000,28.000000,29.000000,13.202385,387300
1997-08-11,28.875000,28.937500,27.625000,28.187500,12.832497,164700
1997-08-12,28.250000,28.375000,27.937500,27.937500,12.718684,437100
1997-08-13,28.000000,28.250000,27.500000,27.687500,12.604870,323000
1997-08-14,27.562500,27.750000,27.500000,27.500000,12.519510,89800
1997-08-15,27.625000,27.750000,27.500000,27.625000,12.576417,120200
1997-08-18,27.562500,27.812500,27.500000,27.812500,12.661777,177000
1997-08-19,27.812500,28.312500,27.750000,28.250000,12.860943,161300
1997-08-20,28.375000,28.937500,28.187500,28.687500,13.060124,206500
1997-08-21,28.687500,29.062500,28.562500,29.000000,13.202385,133000
1997-08-22,28.687500,29.500000,28.437500,29.250000,13.316206,449700
1997-08-25,29.250000,29.375000,29.125000,29.312500,13.344661,227300
1997-08-26,29.375000,29.375000,29.250000,29.250000,13.316206,266800
1997-08-27,29.250000,29.500000,29.250000,29.312500,13.344661,183200
1997-08-28,29.375000,29.750000,29.250000,29.562500,13.458478,177900
1997-08-29,29.562500,30.000000,29.562500,29.812500,13.572285,176600
1997-09-02,29.750000,30.187500,29.687500,29.875000,13.600739,194000
1997-09-03,30.000000,30.375000,29.875000,29.937500,13.629191,296000
1997-09-04,30.000000,30.062500,29.500000,29.625000,13.486925,250400
1997-09-05,29.625000,31.500000,29.625000,30.875000,14.055992,395800
1997-09-08,31.250000,31.375000,31.000000,31.187500,14.198263,193200
