Date,Open,High,Low,Close,Adj Close,Volume
1998-08-18,12.875000,13.125000,12.875000,13.000000,10.928577,5783000
1998-08-19,13.000000,13.250000,13.000000,13.000000,10.928577,388700
1998-08-20,13.125000,13.250000,13.000000,13.000000,10.928577,348500
1998-08-21,13.000000,13.000000,13.000000,13.000000,10.928577,804000
1998-08-24,13.000000,13.000000,13.000000,13.000000,10.928577,119700
1998-08-25,13.000000,13.000000,12.875000,13.000000,10.928577,294100
1998-08-26,13.000000,13.000000,12.125000,12.250000,10.298084,383800
1998-08-27,12.250000,12.375000,10.750000,11.125000,9.352341,435300
1998-08-28,11.375000,11.375000,10.000000,10.000000,8.406597,192400
1998-08-31,10.000000,10.125000,7.625000,8.125000,6.830361,150800
1998-09-01,8.250000,9.000000,6.687500,8.500000,7.145609,440700
1998-09-02,8.500000,10.500000,8.500000,9.562500,8.038812,509200
1998-09-03,9.750000,9.750000,8.500000,8.750000,7.355773,165900
1998-09-04,9.000000,9.000000,8.125000,8.375000,7.040525,155700
1998-09-08,9.000000,10.000000,8.750000,9.875000,8.301516,149300
1998-09-09,9.875000,10.000000,9.500000,9.500000,7.986270,116900
1998-09-10,9.375000,9.375000,9.000000,9.250000,7.776105,80700
1998-09-11,9.312500,9.375000,9.000000,9.000000,7.565938,84800
1998-09-14,9.250000,9.625000,9.000000,9.000000,7.565938,90800
1998-09-15,9.125000,9.250000,8.625000,8.750000,7.355773,200400
1998-09-16,8.750000,8.750000,7.750000,7.875000,6.620196,221300
1998-09-17,7.875000,8.625000,7.875000,8.281200,6.961673,87300
1998-09-18,8.375000,8.687500,7.750000,8.250000,6.935444,147300
1998-09-21,7.875000,8.000000,6.875000,7.000000,5.884620,472900
1998-09-22,7.125000,8.125000,7.062500,8.000000,6.725278,728300
1998-09-23,8.250000,8.625000,8.000000,8.375000,7.040525,382500
1998-09-24,8.500000,9.375000,8.500000,9.062500,7.618481,280800
1998-09-25,8.750000,9.437500,8.750000,9.375000,7.881187,44400
1998-09-28,9.500000,9.875000,9.375000,9.375000,7.881187,26500
1998-09-29,9.500000,9.750000,9.250000,9.531200,8.012496,88300
1998-09-30,9.500000,10.062500,9.375000,9.625000,8.091352,172300
1998-10-01,9.625000,9.625000,8.875000,8.875000,7.460857,85500
1998-10-02,8.875000,9.250000,8.875000,8.875000,7.460857,58700
1998-10-05,8.750000,8.875000,8.000000,8.000000,6.725278,63000
1998-10-06,9.000000,9.125000,8.000000,8.375000,7.040525,129500
1998-10-07,8.375000,8.625000,7.812500,7.812500,6.567656,340400
