Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.812500,5.812500,5.562500,5.687500,3.545677,7436400
1997-10-17,5.656250,5.750000,5.406250,5.593750,3.487234,3390400
1997-10-20,5.500000,5.625000,5.468750,5.531250,3.448268,3068000
1997-10-21,5.562500,5.687500,5.500000,5.593750,3.487234,2382400
1997-10-22,5.687500,5.750000,5.593750,5.718750,3.565161,1525200
1997-10-23,5.687500,5.687500,5.531250,5.593750,3.487234,1622400
1997-10-24,5.656250,5.718750,5.562500,5.718750,3.565161,813600
1997-10-27,5.656250,5.750000,5.375000,5.421875,3.380082,1507200
1997-10-28,5.250000,5.687500,4.937500,5.593750,3.487234,2955600
1997-10-29,5.687500,5.718750,5.593750,5.656250,3.526197,1859200
1997-10-30,5.531250,5.562500,5.375000,5.500000,3.428790,856000
1997-10-31,5.437500,5.640625,5.437500,5.500000,3.428790,561600
1997-11-03,5.625000,5.843750,5.531250,5.734375,3.574900,1004000
1997-11-04,5.750000,5.875000,5.687500,5.781250,3.604124,364000
1997-11-05,5.812500,6.062500,5.781250,5.906250,3.682051,324400
1997-11-06,5.875000,6.250000,5.875000,6.250000,3.896349,361600
1997-11-07,6.187500,6.625000,6.031250,6.437500,4.013240,662400
1997-11-10,6.312500,6.500000,6.156250,6.156250,3.837904,266800
1997-11-11,5.937500,6.000000,5.750000,6.000000,3.740495,618000
1997-11-12,6.000000,6.000000,5.562500,5.687500,3.545677,314800
1997-11-13,5.562500,5.625000,5.468750,5.500000,3.428790,500000
1997-11-14,5.437500,5.500000,5.312500,5.437500,3.389824,438000
1997-11-17,5.500000,5.843750,5.500000,5.812500,3.623604,284000
1997-11-18,5.875000,5.875000,5.687500,5.718750,3.565161,1429600
1997-11-19,5.718750,5.812500,5.562500,5.562500,3.467751,148400
1997-11-20,5.625000,5.625000,5.312500,5.562500,3.467751,1268000
1997-11-21,5.562500,5.625000,5.500000,5.531250,3.448268,640800
1997-11-24,5.500000,5.593750,5.500000,5.531250,3.448268,64400
1997-11-25,5.562500,5.625000,5.500000,5.515625,3.438528,326800
1997-11-26,5.500000,5.531250,5.234375,5.253900,3.275365,463200
1997-11-28,5.281250,5.312500,5.250000,5.250000,3.272933,212800
1997-12-01,5.250000,5.375000,5.250000,5.265625,3.282674,475200
1997-12-02,5.375000,5.500000,5.281250,5.343750,3.331378,1280800
1997-12-03,5.437500,5.500000,5.343750,5.500000,3.428790,934400
1997-12-04,5.500000,5.625000,5.406250,5.546875,3.458010,681600
1997-12-05,5.500000,5.750000,5.437500,5.687500,3.545677,282800
1997-12-08,5.687500,5.750000,5.656250,5.718750,3.565161,227600
1997-12-09,5.750000,5.812500,5.593750,5.593750,3.487234,124000
1997-12-10,5.625000,5.625000,5.312500,5.375000,3.387192,269600
1997-12-11,5.250000,5.375000,5.156250,5.312500,3.347806,400800
1997-12-12,5.375000,5.375000,5.156250,5.156250,3.249340,412400
1997-12-15,5.250000,5.375000,5.171875,5.218750,3.288728,289200
1997-12-16,5.125000,5.312500,5.125000,5.218750,3.288728,190800
1997-12-17,5.156250,5.187500,5.031250,5.031250,3.170570,584800
1997-12-18,5.093750,5.093750,4.968750,5.000000,3.150876,272400
1997-12-19,5.031250,5.031250,4.937500,4.937500,3.111491,921600
1997-12-22,4.937500,5.312500,4.937500,5.062500,3.190264,924000
1997-12-23,5.187500,5.187500,4.937500,5.000000,3.150876,2331200
1997-12-24,5.031250,5.031250,4.937500,4.937500,3.111491,50400
1997-12-26,5.000000,5.062500,4.968750,5.062500,3.190264,1248400
1997-12-29,5.062500,5.281250,5.000000,5.281250,3.328114,430800
1997-12-30,5.062500,5.343750,5.062500,5.281250,3.328114,662800
1997-12-31,5.406250,5.687500,5.250000,5.593750,3.525044,911600
1998-01-02,5.531250,5.781250,5.531250,5.781250,3.643201,112400
1998-01-05,6.031250,6.093750,5.625000,5.625000,3.544735,629600
1998-01-06,5.593750,5.593750,5.250000,5.421875,3.416730,915200
1998-01-07,5.421875,5.750000,5.421875,5.562500,3.505351,164800
1998-01-08,5.500000,5.781250,5.500000,5.750000,3.623509,236000
1998-01-09,5.656250,5.750000,5.500000,5.500000,3.465967,140400
1998-01-12,5.375000,5.531250,5.343750,5.343750,3.367499,927200
1998-01-13,5.500000,5.500000,5.312500,5.437500,3.426579,100400
1998-01-14,5.437500,5.562500,5.343750,5.359375,3.377347,585600
1998-01-15,5.437500,5.437500,5.343750,5.375000,3.387192,417200
1998-01-16,5.437500,5.593750,5.343750,5.562500,3.505351,69200
1998-01-20,5.500000,5.781250,5.500000,5.781250,3.643201,348800
1998-01-21,5.750000,5.781250,5.718750,5.750000,3.623509,141600
1998-01-22,5.718750,5.750000,5.656250,5.656250,3.564429,92400
1998-01-23,5.656250,5.875000,5.656250,5.812500,3.662893,211200
1998-01-26,5.875000,5.875000,5.625000,5.718750,3.603817,497200
1998-01-27,5.750000,5.750000,5.625000,5.625000,3.544735,96400
1998-01-28,5.625000,5.687500,5.625000,5.656250,3.564429,154800
1998-01-29,5.656250,5.812500,5.656250,5.718750,3.603817,108400
1998-01-30,5.796875,5.796875,5.656250,5.718750,3.603817,130400
1998-02-02,5.781250,6.156250,5.781250,6.000000,3.781052,580800
1998-02-03,5.937500,6.125000,5.937500,6.000000,3.781052,159200
1998-02-04,6.000000,6.093750,5.906250,5.906250,3.721974,557600
1998-02-05,5.875000,5.968750,5.875000,5.875000,3.702278,73200
1998-02-06,5.968750,6.093750,5.875000,5.937500,3.741666,246800
1998-02-09,5.906250,6.187500,5.906250,6.062500,3.820438,724800
1998-02-10,6.062500,6.312500,6.062500,6.250000,3.938595,401600
1998-02-11,6.156250,6.250000,5.531250,5.750000,3.623509,2063200
1998-02-12,5.812500,5.906250,5.750000,5.906250,3.721974,464400
1998-02-13,5.968750,5.968750,5.812500,5.937500,3.741666,163200
1998-02-17,6.031250,6.031250,5.875000,5.906250,3.721974,697200
1998-02-18,6.000000,6.000000,5.906250,5.906250,3.721974,2071200
1998-02-19,6.000000,6.000000,5.843750,5.843750,3.682588,184800
1998-02-20,5.843750,5.906250,5.781250,5.781250,3.643201,89200
1998-02-23,5.781250,5.843750,5.718750,5.718750,3.603817,621600
1998-02-24,5.718750,5.828125,5.500000,5.500000,3.465967,417600
1998-02-25,5.500000,5.625000,5.468750,5.593750,3.525044,201200
1998-02-26,5.562500,5.562500,5.468750,5.468750,3.446271,149200
1998-02-27,5.531250,5.687500,5.468750,5.687500,3.584122,278000
1998-03-02,5.601550,5.687500,5.406250,5.406250,3.406885,360400
1998-03-03,5.500000,5.500000,5.343750,5.375000,3.387192,414000
1998-03-04,5.500000,5.500000,5.375000,5.406250,3.406885,489600
1998-03-05,5.343750,5.437500,5.343750,5.406250,3.406885,228000
1998-03-06,5.375000,5.500000,5.375000,5.437500,3.426579,424400
1998-03-09,5.500000,5.500000,5.375000,5.437500,3.426579,106400
1998-03-10,5.437500,5.437500,5.375000,5.375000,3.424985,232400
1998-03-11,5.437500,5.562500,5.375000,5.515625,3.514592,1950800
1998-03-12,5.500000,5.625000,5.500000,5.531250,3.524548,297200
1998-03-13,5.531250,5.781250,5.500000,5.687500,3.624112,247200
1998-03-16,5.750000,5.968750,5.625000,5.906250,3.763502,792400
1998-03-17,5.812500,5.843750,5.687500,5.750000,3.663939,916400
1998-03-18,5.687500,5.781250,5.687500,5.781250,3.683851,1550000
1998-03-19,5.812500,5.921875,5.750000,5.875000,3.743587,597200
1998-03-20,5.812500,5.906250,5.812500,5.875000,3.743587,258000
1998-03-23,5.812500,5.906250,5.812500,5.812500,3.703762,368000
1998-03-24,5.843750,6.031250,5.812500,6.000000,3.823239,906800
1998-03-25,6.000000,6.156250,5.875000,5.875000,3.743587,408400
1998-03-26,6.062500,6.062500,5.875000,5.875000,3.743587,344800
1998-03-27,5.875000,6.000000,5.875000,5.953125,3.793372,220800
1998-03-30,5.968750,6.031250,5.968750,6.000000,3.823239,136000
1998-03-31,6.000000,6.562500,6.000000,6.500000,4.141841,1022400
1998-04-01,6.156250,6.250000,6.078125,6.187500,3.942716,1616800
1998-04-02,6.156250,6.750000,6.062500,6.687500,4.261319,1160000
1998-04-03,6.406250,6.484375,6.250000,6.281250,4.002455,1657600
1998-04-06,6.250000,6.500000,6.187500,6.328125,4.032323,317200
1998-04-07,6.281250,6.281250,6.187500,6.187500,3.942716,139600
1998-04-08,6.187500,6.218750,6.125000,6.125000,3.902891,496000
1998-04-09,6.125000,6.187500,5.937500,6.000000,3.823239,221600
1998-04-13,6.000000,6.000000,5.687500,5.812500,3.703762,314000
1998-04-14,5.843750,5.906250,5.718750,5.781250,3.683851,233600
1998-04-15,5.718750,5.750000,5.593750,5.750000,3.663939,2683200
1998-04-16,5.687500,5.937500,5.687500,5.828125,3.713718,126400
1998-04-17,5.843750,5.937500,5.750000,5.828125,3.713718,326400
1998-04-20,5.718750,5.812500,5.687500,5.812500,3.703762,279600
1998-04-21,5.812500,5.812500,5.718750,5.750000,3.663939,226000
1998-04-22,5.812500,5.843750,5.718750,5.812500,3.703762,903600
1998-04-23,5.843750,5.843750,5.687500,5.781250,3.683851,685200
1998-04-24,5.750000,5.781250,5.718750,5.750000,3.663939,143200
1998-04-27,5.750000,5.750000,5.593750,5.625000,3.584286,1390000
1998-04-28,5.656250,5.656250,5.593750,5.593750,3.564375,403200
1998-04-29,5.656250,5.718750,5.593750,5.625000,3.584286,731200
1998-04-30,5.625000,5.718750,5.625000,5.718750,3.644027,145200
1998-05-01,5.625000,5.750000,5.593750,5.734375,3.653981,276400
