Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.471596,1.482070,1.471596,1.471596,0.164946,4700
1980-03-18,1.466359,1.466359,1.450648,1.455885,0.163185,938000
1980-03-19,1.455885,1.455885,1.434937,1.434937,0.160837,202700
1980-03-20,1.434937,1.445411,1.424463,1.424463,0.159663,40400
1980-03-21,1.424463,1.424463,1.424463,1.424463,0.159663,83400
1980-03-24,1.424463,1.445411,1.413989,1.424463,0.159663,398500
1980-03-25,1.424463,1.424463,1.408752,1.424463,0.159663,167000
1980-03-26,1.424463,1.445411,1.403515,1.403515,0.157315,625300
1980-03-27,1.403515,1.403515,1.382567,1.382567,0.154967,143100
1980-03-28,1.398278,1.413989,1.398278,1.413989,0.158489,451000
1980-03-31,1.424463,1.455885,1.424463,1.455885,0.163185,1515500
1980-04-01,1.455885,1.476833,1.445411,1.476833,0.165533,386600
1980-04-02,1.476833,1.497781,1.466359,1.487307,0.166707,1885500
1980-04-03,1.497781,1.513492,1.497781,1.508255,0.169055,69200
1980-04-07,1.508255,1.518729,1.508255,1.508255,0.169055,50000
1980-04-08,1.503018,1.503018,1.466359,1.482070,0.166120,303000
1980-04-09,1.482070,1.529203,1.476833,1.476833,0.165533,293500
1980-04-10,1.497781,1.529203,1.497781,1.497781,0.167881,195600
1980-04-11,1.508255,1.508255,1.508255,1.508255,0.169055,644300
1980-04-14,1.497781,1.497781,1.487307,1.497781,0.167881,179000
1980-04-15,1.497781,1.518729,1.497781,1.497781,0.167881,880700
1980-04-16,1.497781,1.508255,1.497781,1.508255,0.169055,214700
1980-04-17,1.497781,1.497781,1.487307,1.487307,0.166707,310200
1980-04-18,1.476833,1.476833,1.466359,1.466359,0.164359,35700
1980-04-21,1.466359,1.476833,1.434937,1.445411,0.162011,436700
1980-04-22,1.455885,1.497781,1.455885,1.487307,0.166707,747000
1980-04-23,1.487307,1.508255,1.487307,1.497781,0.167881,1546600
1980-04-24,1.497781,1.518729,1.476833,1.518729,0.170229,233800
1980-04-25,1.508255,1.508255,1.497781,1.508255,0.169055,40400
1980-04-28,1.508255,1.518729,1.497781,1.508255,0.169055,355500
1980-04-29,1.508255,1.523966,1.487307,1.497781,0.167881,517800
1980-04-30,1.497781,1.503018,1.471596,1.503018,0.168468,102600
1980-05-01,1.503018,1.518729,1.466359,1.466359,0.164359,465300
1980-05-02,1.466359,1.476833,1.445411,1.445411,0.162011,887800
1980-05-05,1.445411,1.455885,1.382567,1.403515,0.157315,398500
1980-05-06,1.403515,1.424463,1.382567,1.403515,0.157315,88200
1980-05-07,1.413989,1.419226,1.413989,1.419226,0.159076,33300
1980-05-08,1.419226,1.424463,1.408752,1.424463,0.159663,38100
1980-05-09,1.419226,1.419226,1.398278,1.398278,0.156728,62000
1980-05-12,1.398278,1.413989,1.398278,1.408752,0.157902,202700
