Date,Open,High,Low,Close,Adj Close,Volume
1995-05-09,5.437891,5.959333,5.437891,5.810350,3.501811,2629200
1995-05-10,5.959333,6.331792,5.959333,6.182808,3.726284,4705800
1995-05-11,6.182808,6.406283,6.182808,6.331792,3.816075,3039000
1995-05-12,6.331792,6.406283,6.257300,6.257300,3.771181,1584800
1995-05-15,6.257300,6.331792,6.257300,6.257300,3.771181,1119300
1995-05-16,6.257300,6.331792,6.182808,6.257300,3.771181,1203800
1995-05-17,6.257300,6.257300,6.033825,6.108317,3.681391,1458800
1995-05-18,6.108317,6.257300,6.108317,6.182808,3.726284,420200
1995-05-19,6.257300,6.257300,6.108317,6.182808,3.726284,414400
1995-05-22,6.480775,6.778742,6.406283,6.629758,3.995656,1283800
1995-05-23,6.555267,6.778742,6.480775,6.704250,4.040549,1303500
1995-05-24,6.704250,6.704250,6.555267,6.555267,3.950760,989700
1995-05-25,6.555267,6.555267,6.331792,6.406283,3.860970,510500
1995-05-26,6.480775,6.480775,6.406283,6.480775,3.905864,613600
1995-05-30,6.406283,6.778742,6.257300,6.629758,3.995656,1501500
1995-05-31,6.480775,6.704250,6.406283,6.555267,3.950760,2193900
1995-06-01,6.480775,6.555267,6.331792,6.480775,3.905864,1504500
1995-06-02,6.406283,6.480775,6.331792,6.406283,3.860970,834600
1995-06-05,6.406283,6.629758,6.331792,6.555267,3.950760,3204000
1995-06-06,6.480775,6.629758,6.480775,6.555267,3.950760,2015100
1995-06-07,6.555267,6.704250,6.480775,6.555267,3.950760,1190000
1995-06-08,6.555267,6.778742,6.555267,6.629758,3.995656,1448100
1995-06-09,6.555267,6.704250,6.555267,6.555267,3.950760,1782800
1995-06-12,6.629758,6.629758,6.555267,6.555267,3.950760,2554600
1995-06-13,6.480775,6.629758,6.480775,6.629758,3.995656,1734400
1995-06-14,6.555267,6.704250,6.555267,6.629758,3.995656,1136100
1995-06-15,6.629758,6.853233,6.629758,6.704250,4.040549,1744800
1995-06-16,6.704250,6.778742,6.629758,6.629758,3.995656,1245500
1995-06-19,6.629758,6.778742,6.555267,6.778742,4.085445,1539000
1995-06-20,6.704250,6.853233,6.629758,6.704250,4.040549,2288200
1995-06-21,6.704250,6.704250,6.480775,6.480775,3.905864,1784200
1995-06-22,6.480775,6.555267,6.331792,6.406283,3.860970,2418000
1995-06-23,6.480775,6.704250,6.480775,6.480775,3.905864,1266300
1995-06-26,6.480775,6.629758,6.406283,6.406283,3.860970,1429800
1995-06-27,6.406283,6.704250,6.406283,6.629758,3.995656,1263800
1995-06-28,6.480775,6.704250,6.480775,6.704250,4.040549,1961000
1995-06-29,6.555267,6.778742,6.555267,6.629758,3.995656,1098100
1995-06-30,6.704250,6.704250,6.480775,6.480775,3.905864,1102100
1995-07-03,6.406283,6.555267,6.406283,6.555267,3.950760,299800
1995-07-05,6.480775,6.704250,6.480775,6.629758,3.995656,938400
1995-07-06,6.629758,6.704250,6.480775,6.480775,3.905864,1517000
1995-07-07,6.480775,6.704250,6.331792,6.629758,3.995656,1615700
1995-07-10,6.555267,6.629758,6.406283,6.406283,3.860970,627200
1995-07-11,6.331792,6.555267,6.331792,6.406283,3.860970,1358800
1995-07-12,6.406283,6.406283,6.257300,6.257300,3.771181,1030300
1995-07-13,6.182808,6.257300,6.033825,6.257300,3.771181,2453700
1995-07-14,6.108317,6.257300,6.033825,6.257300,3.771181,1149900
1995-07-17,6.257300,6.331792,6.182808,6.182808,3.726284,947400
1995-07-18,6.182808,6.331792,6.182808,6.257300,3.771181,4018000
1995-07-19,6.257300,6.257300,6.108317,6.182808,3.726284,1287700
1995-07-20,6.182808,6.257300,6.108317,6.182808,3.726284,1097100
1995-07-21,6.182808,6.257300,6.108317,6.182808,3.726284,959900
1995-07-24,6.108317,6.406283,6.108317,6.331792,3.816075,1604300
1995-07-25,6.257300,6.480775,6.257300,6.331792,3.816075,898000
1995-07-26,6.331792,6.406283,6.257300,6.406283,3.860970,1296200
1995-07-27,6.331792,6.555267,6.331792,6.480775,3.905864,1643900
1995-07-28,6.406283,6.480775,6.331792,6.331792,3.816075,651700
1995-07-31,6.331792,6.480775,6.331792,6.480775,3.905864,731700
1995-08-01,6.406283,6.406283,6.257300,6.257300,3.771181,1008500
1995-08-02,6.257300,6.406283,6.257300,6.257300,3.771181,1249400
1995-08-03,6.257300,6.331792,6.257300,6.257300,3.771181,979900
1995-08-04,6.257300,6.331792,6.108317,6.108317,3.681391,1071000
1995-08-07,6.108317,6.257300,6.108317,6.257300,3.771181,1070000
1995-08-08,6.257300,6.406283,6.182808,6.257300,3.771181,1603500
1995-08-09,6.257300,6.331792,6.108317,6.108317,3.681391,1522400
1995-08-10,6.108317,6.182808,5.884841,5.959333,3.591603,1727100
1995-08-11,5.959333,6.108317,5.810350,5.884841,3.546707,1148500
1995-08-14,5.884841,5.959333,5.810350,5.884841,3.546707,991100
1995-08-15,5.884841,5.959333,5.810350,5.884841,3.546707,1258100
1995-08-16,5.884841,6.033825,5.810350,5.959333,3.591603,1688100
1995-08-17,5.959333,6.108317,5.959333,6.108317,3.681391,1783100
1995-08-18,6.182808,6.406283,6.182808,6.331792,3.816075,1335100
1995-08-21,6.331792,6.480775,6.108317,6.108317,3.681391,1349800
1995-08-22,6.331792,6.704250,6.331792,6.555267,3.950760,2717100
1995-08-23,6.480775,6.629758,6.331792,6.331792,3.816075,1013900
1995-08-24,6.331792,6.406283,6.257300,6.257300,3.771181,822600
1995-08-25,6.257300,6.331792,6.182808,6.182808,3.726284,1359600
1995-08-28,6.257300,6.257300,6.033825,6.182808,3.726284,474300
1995-08-29,6.108317,6.182808,6.033825,6.108317,3.681391,598100
1995-08-30,6.033825,6.182808,5.959333,6.033825,3.636495,1036800
1995-08-31,6.033825,6.182808,6.033825,6.108317,3.681391,1533300
1995-09-01,6.033825,6.108317,5.959333,5.959333,3.591603,612400
1995-09-05,6.033825,6.108317,5.959333,6.033825,3.636495,731200
1995-09-06,6.182808,6.629758,6.182808,6.480775,3.905864,2635100
1995-09-07,6.406283,6.629758,6.406283,6.480775,3.905864,883600
1995-09-08,6.480775,6.704250,6.480775,6.704250,4.040549,906200
1995-09-11,6.704250,7.002217,6.704250,6.927725,4.175236,1534300
1995-09-12,7.002217,7.002217,6.704250,6.927725,4.175236,877600
1995-09-13,6.778742,6.927725,6.704250,6.853233,4.130340,1074600
1995-09-14,6.704250,6.853233,6.704250,6.853233,4.130340,531300
1995-09-15,6.927725,6.927725,6.480775,6.555267,3.950760,929400
1995-09-18,6.555267,6.704250,6.480775,6.629758,3.995656,882600
1995-09-19,6.629758,6.853233,6.629758,6.778742,4.085445,863200
1995-09-20,6.778742,6.927725,6.555267,6.555267,3.950760,1477100
1995-09-21,6.555267,6.555267,6.406283,6.555267,3.950760,1510600
1995-09-22,6.406283,6.629758,6.331792,6.555267,3.950760,829700
1995-09-25,6.555267,6.778742,6.480775,6.778742,4.085445,555800
1995-09-26,6.704250,6.853233,6.704250,6.853233,4.130340,887400
1995-09-27,6.704250,6.853233,6.704250,6.853233,4.130340,829300
1995-09-28,6.778742,6.927725,6.704250,6.927725,4.175236,755900
1995-09-29,6.853233,6.927725,6.778742,6.853233,4.130340,628500
1995-10-02,6.778742,6.927725,6.704250,6.853233,4.130340,1453200
1995-10-03,6.778742,6.853233,6.704250,6.853233,4.130340,763500
1995-10-04,6.778742,6.853233,6.629758,6.629758,3.995656,822000
1995-10-05,6.629758,6.778742,6.555267,6.778742,4.110275,437900
1995-10-06,6.704250,6.778742,6.629758,6.778742,4.110275,453800
1995-10-09,6.704250,6.853233,6.704250,6.853233,4.155443,424800
1995-10-10,6.704250,6.927725,6.704250,6.927725,4.200611,737100
1995-10-11,6.853233,6.927725,6.853233,6.927725,4.200611,457700
1995-10-12,6.927725,7.076708,6.853233,7.002217,4.245778,361400
1995-10-13,7.002217,7.076708,6.927725,6.927725,4.200611,452800
1995-10-16,6.853233,6.927725,6.778742,6.927725,4.200611,697800
1995-10-17,6.853233,6.927725,6.778742,6.853233,4.155443,446300
1995-10-18,6.853233,6.927725,6.853233,6.853233,4.155443,274500
1995-10-19,6.853233,7.002217,6.853233,7.002217,4.245778,496000
1995-10-20,6.927725,7.002217,6.927725,7.002217,4.245778,402100
1995-10-23,6.927725,7.151200,6.853233,7.076708,4.290949,868200
1995-10-24,7.076708,7.113954,6.927725,7.002217,4.245778,382000
1995-10-25,6.927725,7.002217,6.853233,6.927725,4.200611,544600
1995-10-26,6.853233,7.002217,6.778742,6.778742,4.110275,455800
1995-10-27,6.778742,6.853233,6.704250,6.704250,4.065108,1034600
1995-10-30,6.704250,6.853233,6.704250,6.778742,4.110275,791100
1995-10-31,6.778742,6.927725,6.704250,6.778742,4.110275,908100
1995-11-01,6.704250,6.853233,6.704250,6.778742,4.110275,541700
1995-11-02,6.778742,7.002217,6.778742,7.002217,4.245778,444100
1995-11-03,6.927725,7.002217,6.927725,7.002217,4.245778,485700
1995-11-06,7.002217,7.076708,6.927725,7.002217,4.245778,538300
1995-11-07,7.002217,7.076708,7.002217,7.002217,4.245778,494400
1995-11-08,7.002217,7.076708,7.002217,7.076708,4.290949,199600
1995-11-09,7.076708,7.151200,7.002217,7.076708,4.290949,509500
1995-11-10,7.002217,7.002217,6.927725,6.927725,4.200611,166900
1995-11-13,7.002217,7.002217,6.927725,6.927725,4.200611,217400
1995-11-14,6.927725,7.002217,6.704250,6.778742,4.110275,709100
1995-11-15,6.778742,7.002217,6.704250,7.002217,4.245778,1196200
1995-11-16,6.927725,7.002217,6.853233,6.853233,4.155443,707500
1995-11-17,6.927725,6.927725,6.778742,6.853233,4.155443,1170200
1995-11-20,6.853233,6.927725,6.853233,6.927725,4.200611,315400
1995-11-21,6.853233,7.002217,6.853233,6.853233,4.155443,534300
1995-11-22,6.853233,6.853233,6.629758,6.704250,4.065108,807400
1995-11-24,6.704250,6.778742,6.629758,6.704250,4.065108,242700
1995-11-27,6.704250,6.927725,6.704250,6.853233,4.155443,1158800
1995-11-28,6.853233,7.002217,6.853233,7.002217,4.245778,747300
1995-11-29,6.927725,7.002217,6.853233,7.002217,4.245778,294400
1995-11-30,6.853233,6.927725,6.778742,6.853233,4.155443,538000
1995-12-01,6.853233,7.002217,6.853233,7.002217,4.245778,423900
1995-12-04,6.927725,7.002217,6.853233,7.002217,4.245778,254700
1995-12-05,6.927725,7.002217,6.853233,7.002217,4.245778,603400
1995-12-06,7.151200,7.225692,6.927725,7.002217,4.245778,2025300
1995-12-07,6.927725,6.927725,6.853233,6.927725,4.200611,515200
1995-12-08,6.853233,6.927725,6.704250,6.853233,4.155443,1208300
1995-12-11,6.853233,6.927725,6.778742,6.927725,4.200611,516100
1995-12-12,6.853233,6.927725,6.853233,6.927725,4.200611,482600
1995-12-13,6.853233,6.927725,6.778742,6.927725,4.200611,857800
1995-12-14,6.927725,7.225692,6.778742,7.225692,4.381284,802500
1995-12-15,7.151200,7.151200,6.927725,7.002217,4.245778,1971800
1995-12-18,7.002217,7.076708,7.002217,7.076708,4.290949,465100
1995-12-19,7.076708,7.151200,7.002217,7.151200,4.336115,589400
1995-12-20,7.076708,7.151200,6.927725,7.002217,4.245778,931400
1995-12-21,7.002217,7.076708,7.002217,7.002217,4.245778,406100
1995-12-22,7.002217,7.002217,6.853233,6.853233,4.155443,717100
1995-12-26,6.853233,6.927725,6.853233,6.927725,4.200611,157500
1995-12-27,6.927725,7.002217,6.927725,6.927725,4.200611,243600
1995-12-28,6.927725,7.002217,6.853233,6.927725,4.200611,273900
1995-12-29,6.927725,7.076708,6.853233,7.076708,4.290949,553100
1996-01-02,6.927725,7.076708,6.853233,7.002217,4.245778,547000
1996-01-03,6.927725,7.002217,6.853233,6.927725,4.200611,535700
1996-01-04,7.002217,7.002217,6.704250,6.853233,4.155443,1321400
1996-01-05,6.704250,6.778742,6.704250,6.704250,4.065108,1090500
1996-01-08,6.704250,6.778742,6.629758,6.778742,4.110275,132600
1996-01-09,6.704250,6.778742,6.480775,6.629758,4.019940,483200
1996-01-10,6.555267,6.555267,6.331792,6.480775,3.929604,667500
1996-01-11,6.406283,6.704250,6.406283,6.629758,4.019940,763100
1996-01-12,6.629758,7.002217,6.629758,7.002217,4.245778,760400
