Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.125000,1.156250,1.125000,1.125000,0.105484,486400
1980-03-18,1.140625,1.171875,1.140625,1.140625,0.106950,859200
1980-03-19,1.148438,1.179688,1.148438,1.148438,0.107682,622400
1980-03-20,1.148438,1.179688,1.148438,1.148438,0.107682,374400
1980-03-21,1.148438,1.179688,1.148438,1.148438,0.107682,364800
1980-03-24,1.148438,1.156250,1.125000,1.125000,0.105484,168000
1980-03-25,1.109375,1.109375,1.078125,1.078125,0.101089,547200
1980-03-26,1.078125,1.093750,1.062500,1.062500,0.099624,980800
1980-03-27,1.039063,1.039063,1.007813,1.007813,0.094497,710400
1980-03-28,1.039063,1.070313,1.039063,1.039063,0.097427,712000
1980-03-31,1.078125,1.109375,1.078125,1.078125,0.101089,1020800
1980-04-01,1.101563,1.132813,1.101563,1.101563,0.103287,766400
1980-04-02,1.125000,1.156250,1.125000,1.125000,0.105484,827200
1980-04-03,1.125000,1.148438,1.117188,1.117188,0.104752,315200
1980-04-07,1.117188,1.132813,1.101563,1.101563,0.103287,417600
1980-04-08,1.109375,1.140625,1.109375,1.109375,0.104019,243200
1980-04-09,1.117188,1.148438,1.117188,1.117188,0.104752,235200
1980-04-10,1.125000,1.156250,1.125000,1.125000,0.105484,324800
1980-04-11,1.125000,1.156250,1.125000,1.125000,0.105484,259200
1980-04-14,1.132813,1.164063,1.132813,1.132813,0.106217,536000
1980-04-15,1.132813,1.164063,1.132813,1.132813,0.106217,588800
1980-04-16,1.132813,1.140625,1.109375,1.109375,0.104019,507200
1980-04-17,1.109375,1.140625,1.109375,1.109375,0.104019,995200
1980-04-18,1.109375,1.140625,1.109375,1.109375,0.104019,259200
1980-04-21,1.109375,1.132813,1.101563,1.101563,0.103287,502400
1980-04-22,1.125000,1.156250,1.125000,1.125000,0.105484,792000
1980-04-23,1.187500,1.218750,1.187500,1.187500,0.111345,360000
1980-04-24,1.218750,1.250000,1.218750,1.218750,0.114275,347200
1980-04-25,1.218750,1.250000,1.218750,1.218750,0.114275,140800
1980-04-28,1.226563,1.257813,1.226563,1.226563,0.115007,475200
1980-04-29,1.226563,1.257813,1.226563,1.226563,0.115007,296000
1980-04-30,1.226563,1.226563,1.195313,1.195313,0.112077,723200
1980-05-01,1.195313,1.203125,1.171875,1.171875,0.109880,150400
1980-05-02,1.187500,1.218750,1.187500,1.187500,0.111345,132800
1980-05-05,1.187500,1.218750,1.187500,1.187500,0.111345,51200
1980-05-06,1.187500,1.218750,1.187500,1.187500,0.111345,403200
1980-05-07,1.203125,1.234375,1.203125,1.203125,0.112810,548800
1980-05-08,1.203125,1.234375,1.203125,1.203125,0.112810,398400
1980-05-09,1.210938,1.242188,1.210938,1.210938,0.113542,248000
1980-05-12,1.210938,1.234375,1.203125,1.203125,0.112810,344000
1980-05-13,1.203125,1.234375,1.203125,1.203125,0.112810,112000
1980-05-14,1.242188,1.273438,1.242188,1.242188,0.116472,580800
1980-05-15,1.304688,1.335938,1.304688,1.304688,0.122333,752000
1980-05-16,1.312500,1.343750,1.312500,1.312500,0.123065,764800
1980-05-19,1.312500,1.312500,1.281250,1.281250,0.120135,593600
1980-05-20,1.281250,1.289063,1.257813,1.257813,0.117938,286400
1980-05-21,1.257813,1.289063,1.257813,1.257813,0.117938,1760000
1980-05-22,1.257813,1.289063,1.257813,1.257813,0.117938,192000
1980-05-23,1.257813,1.281250,1.250000,1.250000,0.117205,180800
1980-05-27,1.281250,1.312500,1.281250,1.281250,0.120135,753600
1980-05-28,1.281250,1.312500,1.281250,1.281250,0.120135,608000
1980-05-29,1.289063,1.320313,1.289063,1.289063,0.120868,672000
