Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.760417,0.776042,0.760417,0.765625,0.102364,57600
1980-03-18,0.760417,0.760417,0.750000,0.750000,0.100275,19200
1980-03-19,0.750000,0.750000,0.750000,0.750000,0.100275,0
1980-03-20,0.755208,0.755208,0.755208,0.755208,0.100971,2400
1980-03-21,0.744792,0.744792,0.739583,0.739583,0.098882,12000
1980-03-24,0.739583,0.750000,0.739583,0.739583,0.098882,9600
1980-03-25,0.734375,0.734375,0.734375,0.734375,0.098186,2400
1980-03-26,0.734375,0.734375,0.729167,0.729167,0.097489,9600
1980-03-27,0.729167,0.739583,0.729167,0.729167,0.097489,28800
1980-03-28,0.729167,0.729167,0.713542,0.723958,0.096793,67200
1980-03-31,0.723958,0.734375,0.718750,0.718750,0.096097,19200
1980-04-01,0.729167,0.734375,0.729167,0.734375,0.098186,14400
1980-04-02,0.729167,0.729167,0.729167,0.729167,0.097489,9600
1980-04-03,0.729167,0.734375,0.718750,0.734375,0.098186,38400
1980-04-07,0.723958,0.723958,0.713542,0.713542,0.095400,28800
1980-04-08,0.713542,0.723958,0.708333,0.723958,0.096793,33600
1980-04-09,0.723958,0.723958,0.713542,0.723958,0.096793,12000
1980-04-10,0.723958,0.723958,0.723958,0.723958,0.096793,0
1980-04-11,0.718750,0.718750,0.708333,0.718750,0.096097,31200
1980-04-14,0.718750,0.723958,0.718750,0.718750,0.096097,48000
1980-04-15,0.718750,0.729167,0.718750,0.729167,0.097489,24000
1980-04-16,0.739583,0.739583,0.739583,0.739583,0.098882,21600
1980-04-17,0.734375,0.734375,0.729167,0.734375,0.098186,36000
1980-04-18,0.729167,0.729167,0.723958,0.723958,0.096793,16800
1980-04-21,0.723958,0.739583,0.723958,0.723958,0.096793,24000
1980-04-22,0.723958,0.734375,0.723958,0.723958,0.096793,36000
1980-04-23,0.734375,0.755208,0.734375,0.755208,0.100971,33600
1980-04-24,0.760417,0.770833,0.760417,0.770833,0.103060,124800
1980-04-25,0.770833,0.770833,0.770833,0.770833,0.103060,24000
1980-04-28,0.781250,0.807292,0.781250,0.807292,0.107935,36000
1980-04-29,0.807292,0.812500,0.802083,0.802083,0.107238,7200
1980-04-30,0.802083,0.843750,0.786458,0.828125,0.110720,64800
1980-05-01,0.833333,0.885417,0.833333,0.885417,0.118380,79200
1980-05-02,0.885417,0.916667,0.885417,0.916667,0.122558,76800
1980-05-05,0.916667,0.916667,0.906250,0.911458,0.121862,31200
1980-05-06,0.901042,0.901042,0.890625,0.890625,0.119076,7200
1980-05-07,0.890625,0.901042,0.880208,0.895833,0.119773,45600
1980-05-08,0.895833,0.911458,0.885417,0.911458,0.121862,74400
1980-05-09,0.901042,0.901042,0.885417,0.901042,0.120469,64800
1980-05-12,0.901042,0.901042,0.885417,0.901042,0.120469,67200
1980-05-13,0.901042,0.901042,0.890625,0.890625,0.119076,7200
1980-05-14,0.890625,0.906250,0.890625,0.901042,0.120469,16800
1980-05-15,0.906250,0.911458,0.906250,0.911458,0.121862,52800
1980-05-16,0.911458,0.911458,0.901042,0.911458,0.121862,40800
1980-05-19,0.880208,0.880208,0.875000,0.875000,0.116987,4800
1980-05-20,0.875000,0.875000,0.875000,0.875000,0.116987,12000
1980-05-21,0.875000,0.875000,0.869792,0.869792,0.116291,21600
1980-05-22,0.869792,0.880208,0.869792,0.880208,0.117684,19200
1980-05-23,0.875000,0.875000,0.875000,0.875000,0.116987,4800
1980-05-27,0.875000,0.880208,0.875000,0.880208,0.117684,43200
1980-05-28,0.880208,0.880208,0.875000,0.875000,0.116987,9600
1980-05-29,0.880208,0.890625,0.880208,0.885417,0.118380,43200
1980-05-30,0.885417,0.885417,0.885417,0.885417,0.118380,0
1980-06-02,0.880208,0.880208,0.880208,0.880208,0.117684,12000
1980-06-03,0.885417,0.885417,0.885417,0.885417,0.118380,2400
1980-06-04,0.890625,0.901042,0.890625,0.901042,0.120469,38400
1980-06-05,0.901042,0.901042,0.895833,0.901042,0.120469,9600
1980-06-06,0.901042,0.906250,0.901042,0.901042,0.120469,21600
1980-06-09,0.906250,0.906250,0.906250,0.906250,0.121165,33600
1980-06-10,0.906250,0.906250,0.906250,0.906250,0.121165,0
1980-06-11,0.901042,0.901042,0.901042,0.901042,0.120469,31200
1980-06-12,0.901042,0.906250,0.895833,0.895833,0.119773,19200
1980-06-13,0.901042,0.911458,0.901042,0.906250,0.121165,33600
1980-06-16,0.906250,0.916667,0.906250,0.906250,0.121165,67200
1980-06-17,0.927083,0.947917,0.927083,0.947917,0.126736,79200
1980-06-18,0.968750,0.989583,0.968750,0.989583,0.132307,93600
1980-06-19,0.989583,0.989583,0.984375,0.989583,0.132307,52800
1980-06-20,0.989583,0.994792,0.973958,0.973958,0.130218,93600
1980-06-23,0.968750,0.968750,0.947917,0.958333,0.128129,110400
1980-06-24,0.963542,0.963542,0.963542,0.963542,0.128825,2400
1980-06-25,0.958333,0.958333,0.958333,0.958333,0.128129,2400
1980-06-26,0.958333,0.958333,0.958333,0.958333,0.128129,0
1980-06-27,0.958333,0.958333,0.958333,0.958333,0.128129,14400
1980-06-30,0.947917,0.947917,0.937500,0.937500,0.125343,14400
1980-07-01,0.937500,0.937500,0.911458,0.911458,0.121862,33600
1980-07-02,0.916667,0.921875,0.916667,0.916667,0.122558,21600
1980-07-03,0.916667,0.921875,0.916667,0.921875,0.123254,7200
1980-07-07,0.921875,0.921875,0.911458,0.916667,0.122558,28800
1980-07-08,0.916667,0.916667,0.911458,0.911458,0.121862,122400
1980-07-09,0.911458,0.927083,0.901042,0.927083,0.123951,19200
1980-07-10,0.927083,0.927083,0.906250,0.916667,0.122558,45600
1980-07-11,0.916667,0.916667,0.906250,0.916667,0.122558,21600
1980-07-14,0.916667,0.953125,0.916667,0.942708,0.126040,36000
1980-07-15,0.953125,0.958333,0.953125,0.953125,0.127433,14400
1980-07-16,0.953125,0.958333,0.947917,0.947917,0.126736,31200
1980-07-17,0.947917,0.947917,0.937500,0.937500,0.125343,36000
1980-07-18,0.947917,0.968750,0.947917,0.947917,0.126736,31200
1980-07-21,0.958333,0.973958,0.958333,0.968750,0.129522,36000
1980-07-22,0.968750,0.979167,0.968750,0.979167,0.130914,50400
1980-07-23,0.979167,0.979167,0.963542,0.979167,0.130914,12000
1980-07-24,0.979167,0.979167,0.963542,0.963542,0.128825,28800
1980-07-25,0.963542,0.968750,0.963542,0.963542,0.128825,4800
1980-07-28,0.958333,0.958333,0.942708,0.942708,0.126040,24000
1980-07-29,0.942708,0.953125,0.942708,0.953125,0.127433,43200
1980-07-30,0.953125,0.963542,0.953125,0.958333,0.128129,33600
1980-07-31,0.958333,0.958333,0.958333,0.958333,0.128129,33600
1980-08-01,0.958333,0.979167,0.958333,0.979167,0.130914,60000
1980-08-04,0.968750,0.968750,0.963542,0.968750,0.129522,14400
1980-08-05,0.968750,0.973958,0.958333,0.968750,0.129522,52800
