Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,9.437500,9.593750,9.312500,9.562500,1.757664,45600
1970-01-05,9.562500,9.718750,9.468750,9.468750,1.740431,32800
1970-01-06,9.468750,9.500000,9.406250,9.500000,1.746176,48400
1970-01-07,9.437500,9.437500,9.312500,9.312500,1.711712,31200
1970-01-08,9.312500,9.437500,9.250000,9.375000,1.723199,40400
1970-01-09,9.343750,9.343750,9.250000,9.250000,1.700223,35600
1970-01-12,9.250000,9.343750,9.156250,9.156250,1.682992,30400
1970-01-13,9.156250,9.250000,9.093750,9.250000,1.700223,14800
1970-01-14,9.250000,9.343750,9.187500,9.250000,1.700223,36800
1970-01-15,9.250000,9.312500,9.187500,9.250000,1.700223,53200
1970-01-16,9.250000,9.343750,9.218750,9.218750,1.694480,62800
1970-01-19,9.218750,9.218750,9.125000,9.125000,1.677249,32000
1970-01-20,9.125000,9.218750,9.125000,9.125000,1.677249,34000
1970-01-21,9.125000,9.187500,9.093750,9.093750,1.671504,12800
1970-01-22,9.093750,9.218750,9.000000,9.187500,1.688734,77200
1970-01-23,9.187500,9.187500,9.062500,9.125000,1.677249,72400
1970-01-26,9.093750,9.093750,8.718750,8.781250,1.614063,173600
1970-01-27,8.781250,8.875000,8.750000,8.750000,1.622174,71200
1970-01-28,8.750000,8.781250,8.593750,8.593750,1.593207,168800
1970-01-29,8.562500,8.562500,8.531250,8.531250,1.581620,45200
1970-01-30,8.531250,8.562500,8.406250,8.406250,1.558446,102000
1970-02-02,8.406250,8.468750,8.343750,8.406250,1.558446,61200
1970-02-03,8.406250,8.750000,8.406250,8.625000,1.599000,56400
1970-02-04,8.625000,8.750000,8.625000,8.718750,1.616381,44800
1970-02-05,8.687500,8.687500,8.593750,8.656250,1.604794,20800
1970-02-06,8.656250,8.718750,8.593750,8.593750,1.593207,34400
1970-02-09,8.593750,8.625000,8.500000,8.500000,1.575827,84000
1970-02-10,8.437500,8.437500,8.218750,8.281250,1.535271,54400
1970-02-11,8.281250,8.500000,8.281250,8.468750,1.570032,228400
1970-02-12,8.468750,8.593750,8.375000,8.437500,1.564240,34400
1970-02-13,8.437500,8.562500,8.375000,8.500000,1.575827,31200
1970-02-16,8.500000,8.562500,8.406250,8.562500,1.587414,73200
1970-02-17,8.562500,8.562500,8.500000,8.500000,1.575827,23200
1970-02-18,8.562500,8.875000,8.562500,8.812500,1.633762,63200
1970-02-19,8.812500,8.906250,8.812500,8.906250,1.651142,18800
1970-02-20,8.906250,9.000000,8.781250,8.906250,1.651142,34400
1970-02-24,8.812500,8.812500,8.437500,8.468750,1.570032,418800
1970-02-25,8.468750,8.593750,8.250000,8.593750,1.593207,144000
