Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,4.148148,4.197531,4.148148,4.197531,1.089930,111600
1980-03-18,4.197531,4.345679,4.148148,4.345679,1.128398,88300
1980-03-19,4.345679,4.419753,4.345679,4.419753,1.147632,69000
1980-03-20,4.444445,4.493827,4.444445,4.444445,1.154044,36400
1980-03-21,4.444445,4.444445,4.345679,4.345679,1.128398,53500
1980-03-24,4.345679,4.370370,4.222222,4.246913,1.102753,247200
1980-03-25,4.246913,4.271605,4.197531,4.222222,1.096342,21600
1980-03-26,4.222222,4.444445,4.197531,4.444445,1.154044,187600
1980-03-27,4.370370,4.370370,4.246913,4.345679,1.128398,248400
1980-03-28,4.345679,4.518518,4.320988,4.493827,1.166866,174100
1980-03-31,4.493827,4.518518,4.419753,4.518518,1.173278,74200
1980-04-01,4.518518,4.543210,4.493827,4.543210,1.179689,42700
1980-04-02,4.543210,4.543210,4.444445,4.469136,1.160455,63000
1980-04-03,4.543210,4.543210,4.543210,4.543210,1.179689,28300
1980-04-07,4.518518,4.518518,4.395061,4.444445,1.154044,90000
1980-04-08,4.469136,4.543210,4.469136,4.518518,1.173278,15400
1980-04-09,4.518518,4.543210,4.518518,4.543210,1.179689,115300
1980-04-10,4.543210,4.543210,4.518518,4.543210,1.179689,90400
1980-04-11,4.493827,4.493827,4.370370,4.395061,1.141221,135600
1980-04-14,4.395061,4.395061,4.024692,4.074074,1.057874,40600
1980-04-15,4.074074,4.098765,4.074074,4.098765,1.064284,244900
1980-04-16,4.098765,4.098765,4.024692,4.049383,1.051462,91000
1980-04-17,4.049383,4.049383,4.024692,4.024692,1.045051,34600
1980-04-18,4.024692,4.074074,4.024692,4.049383,1.051462,24300
1980-04-21,4.049383,4.049383,4.000000,4.049383,1.051462,101200
1980-04-22,4.049383,4.098765,4.024692,4.049383,1.051462,244900
1980-04-23,4.024692,4.024692,3.950617,3.950617,1.025816,144000
1980-04-24,3.950617,4.074074,3.950617,3.975309,1.032227,102600
1980-04-25,3.975309,4.024692,3.950617,3.975309,1.032227,95400
1980-04-28,3.975309,4.098765,3.975309,4.024692,1.045051,173400
1980-04-29,4.049383,4.123457,4.049383,4.123457,1.070696,349600
1980-04-30,4.098765,4.098765,4.000000,4.074074,1.057874,96000
1980-05-01,4.074074,4.074074,4.000000,4.000000,1.038639,68800
1980-05-02,4.000000,4.000000,3.950617,3.950617,1.025816,47400
