Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.037037,0.037809,0.037037,0.037037,0.001429,810000
1980-03-18,0.037037,0.038580,0.037037,0.038580,0.001488,518400
1980-03-19,0.038580,0.038580,0.037809,0.038580,0.001488,172800
1980-03-20,0.038580,0.038580,0.037037,0.038580,0.001488,658800
1980-03-21,0.038580,0.039352,0.037037,0.038580,0.001488,842400
1980-03-24,0.037809,0.037809,0.036265,0.036265,0.001399,680400
1980-03-25,0.036265,0.037037,0.036265,0.036265,0.001399,550800
1980-03-26,0.036265,0.037037,0.036265,0.037037,0.001429,259200
1980-03-27,0.037037,0.037037,0.036265,0.036265,0.001399,529200
1980-03-28,0.036265,0.037037,0.033951,0.037037,0.001429,1231200
1980-03-31,0.036265,0.036265,0.035494,0.035494,0.001369,108000
1980-04-01,0.037037,0.039352,0.037037,0.039352,0.001518,2926800
1980-04-02,0.039352,0.040123,0.039352,0.040123,0.001548,756000
1980-04-03,0.040123,0.041667,0.040123,0.040895,0.001578,324000
1980-04-07,0.040895,0.040895,0.040123,0.040895,0.001578,356400
1980-04-08,0.040895,0.040895,0.040123,0.040895,0.001578,205200
1980-04-09,0.040895,0.040895,0.039352,0.040895,0.001578,853200
1980-04-10,0.040895,0.040895,0.039352,0.040895,0.001578,226800
1980-04-11,0.040895,0.041667,0.040895,0.041667,0.001608,1404000
1980-04-14,0.041667,0.041667,0.040123,0.041667,0.001608,756000
1980-04-15,0.040895,0.040895,0.040123,0.040895,0.001578,172800
1980-04-16,0.040895,0.040895,0.039352,0.039352,0.001518,356400
1980-04-17,0.039352,0.040123,0.039352,0.040123,0.001548,43200
1980-04-18,0.040123,0.040895,0.039352,0.040895,0.001578,367200
1980-04-21,0.040123,0.040123,0.038580,0.040123,0.001548,777600
1980-04-22,0.040123,0.041667,0.040123,0.040895,0.001578,518400
1980-04-23,0.040895,0.041667,0.040123,0.041667,0.001608,237600
1980-04-24,0.041667,0.041667,0.040123,0.041667,0.001608,399600
1980-04-25,0.040123,0.040123,0.040123,0.040123,0.001548,97200
1980-04-28,0.040123,0.040895,0.039352,0.040895,0.001578,874800
1980-04-29,0.040895,0.040895,0.040123,0.040895,0.001578,129600
1980-04-30,0.040895,0.040895,0.040895,0.040895,0.001578,0
1980-05-01,0.040895,0.040895,0.040895,0.040895,0.001578,43200
1980-05-02,0.040895,0.040895,0.040123,0.040895,0.001578,140400
1980-05-05,0.040123,0.040123,0.040123,0.040123,0.001548,140400
1980-05-06,0.040123,0.041667,0.040123,0.041667,0.001608,205200
1980-05-07,0.041667,0.043210,0.041667,0.042438,0.001637,1425600
1980-05-08,0.043210,0.043981,0.043210,0.043981,0.001697,1425600
1980-05-09,0.044753,0.044753,0.044753,0.044753,0.001727,75600
