Date,Open,High,Low,Close,Adj Close,Volume
1986-07-08,0.343750,0.351563,0.343750,0.343750,0.212340,17004800
1986-07-09,0.347656,0.402344,0.347656,0.398438,0.246121,11001600
1986-07-10,0.398438,0.417969,0.371094,0.406250,0.250947,8822400
1986-07-11,0.406250,0.433594,0.402344,0.433594,0.267838,5884800
1986-07-14,0.433594,0.433594,0.386719,0.390625,0.241295,4313600
1986-07-15,0.390625,0.394531,0.367188,0.386719,0.238882,3145600
1986-07-16,0.386719,0.394531,0.371094,0.371094,0.229230,1475200
1986-07-17,0.371094,0.375000,0.355469,0.363281,0.224405,2291200
1986-07-18,0.363281,0.363281,0.351563,0.359375,0.221992,1238400
1986-07-21,0.359375,0.359375,0.351563,0.351563,0.217166,646400
1986-07-22,0.351563,0.371094,0.351563,0.367188,0.226818,681600
1986-07-23,0.371094,0.378906,0.371094,0.375000,0.231643,1216000
1986-07-24,0.375000,0.382813,0.355469,0.355469,0.219579,252800
1986-07-25,0.355469,0.375000,0.355469,0.371094,0.229230,694400
1986-07-28,0.371094,0.371094,0.363281,0.363281,0.224405,825600
1986-07-29,0.363281,0.375000,0.363281,0.371094,0.229230,262400
1986-07-30,0.371094,0.378906,0.367188,0.367188,0.226818,380800
1986-07-31,0.367188,0.367188,0.359375,0.359375,0.221992,169600
1986-08-01,0.359375,0.363281,0.359375,0.363281,0.224405,278400
1986-08-04,0.363281,0.363281,0.320313,0.328125,0.202688,1100800
1986-08-05,0.328125,0.339844,0.316406,0.320313,0.197862,784000
1986-08-06,0.320313,0.332031,0.308594,0.312500,0.193036,521600
1986-08-07,0.312500,0.312500,0.285156,0.304688,0.188210,1068800
1986-08-08,0.304688,0.304688,0.289063,0.300781,0.185797,483200
1986-08-11,0.300781,0.312500,0.300781,0.308594,0.190623,316800
1986-08-12,0.308594,0.316406,0.308594,0.308594,0.190623,460800
1986-08-13,0.312500,0.324219,0.312500,0.316406,0.195449,342400
1986-08-14,0.320313,0.335938,0.320313,0.328125,0.202688,131200
1986-08-15,0.328125,0.339844,0.328125,0.339844,0.209927,592000
1986-08-18,0.339844,0.339844,0.324219,0.324219,0.200275,284800
1986-08-19,0.324219,0.328125,0.320313,0.328125,0.202688,329600
1986-08-20,0.328125,0.328125,0.320313,0.320313,0.197862,86400
1986-08-21,0.320313,0.324219,0.308594,0.312500,0.193036,204800
1986-08-22,0.308594,0.308594,0.292969,0.300781,0.185797,1452800
1986-08-25,0.300781,0.304688,0.296875,0.300781,0.185797,105600
1986-08-26,0.300781,0.312500,0.300781,0.312500,0.193036,310400
1986-08-27,0.312500,0.312500,0.304688,0.304688,0.188210,169600
1986-08-28,0.304688,0.304688,0.300781,0.304688,0.188210,83200
1986-08-29,0.304688,0.312500,0.300781,0.304688,0.188210,387200
1986-09-02,0.304688,0.304688,0.289063,0.289063,0.178558,553600
1986-09-03,0.289063,0.292969,0.277344,0.277344,0.171320,348800
1986-09-04,0.277344,0.292969,0.277344,0.285156,0.176145,144000
1986-09-05,0.285156,0.289063,0.277344,0.281250,0.173733,172800
1986-09-08,0.281250,0.281250,0.265625,0.265625,0.164081,211200
1986-09-09,0.265625,0.277344,0.265625,0.269531,0.166494,396800
1986-09-10,0.269531,0.273438,0.265625,0.265625,0.164081,28800
1986-09-11,0.265625,0.273438,0.242188,0.246094,0.152016,316800
1986-09-12,0.238281,0.238281,0.226563,0.230469,0.142364,1676800
1986-09-15,0.234375,0.246094,0.234375,0.246094,0.152016,496000
1986-09-16,0.246094,0.273438,0.246094,0.273438,0.168907,278400
1986-09-17,0.273438,0.273438,0.261719,0.273438,0.168907,220800
1986-09-18,0.273438,0.277344,0.269531,0.273438,0.168907,185600
1986-09-19,0.273438,0.281250,0.261719,0.269531,0.166494,316800
1986-09-22,0.269531,0.269531,0.250000,0.257813,0.159255,182400
1986-09-23,0.257813,0.261719,0.257813,0.257813,0.159255,73600
1986-09-24,0.253906,0.253906,0.246094,0.253906,0.156842,92800
1986-09-25,0.250000,0.250000,0.238281,0.238281,0.147190,166400
1986-09-26,0.238281,0.250000,0.238281,0.250000,0.154429,115200
1986-09-29,0.250000,0.253906,0.246094,0.246094,0.152016,57600
1986-09-30,0.246094,0.250000,0.238281,0.238281,0.147190,115200
1986-10-01,0.242188,0.253906,0.242188,0.250000,0.154429,809600
1986-10-02,0.253906,0.257813,0.253906,0.257813,0.159255,915200
1986-10-03,0.257813,0.257813,0.253906,0.257813,0.159255,80000
1986-10-06,0.257813,0.261719,0.253906,0.257813,0.159255,1164800
1986-10-07,0.257813,0.257813,0.246094,0.246094,0.152016,128000
1986-10-08,0.246094,0.253906,0.242188,0.253906,0.156842,195200
1986-10-09,0.253906,0.257813,0.246094,0.250000,0.154429,67200
1986-10-10,0.250000,0.253906,0.242188,0.242188,0.149603,144000
