Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,4.037997,4.181479,4.037997,4.119987,0.827580,54800
1970-01-05,4.160981,4.263469,4.160981,4.263469,0.856402,112500
1970-01-06,4.263469,4.345459,4.222474,4.263469,0.856402,90200
1970-01-07,4.263469,4.324961,4.242971,4.242971,0.852284,65800
1970-01-08,4.263469,4.345459,4.263469,4.345459,0.872871,57300
1970-01-09,4.345459,4.365956,4.263469,4.304463,0.864635,76800
1970-01-12,4.304463,4.304463,4.242971,4.283966,0.860518,57700
1970-01-13,4.283966,4.283966,4.140484,4.140484,0.831697,106500
1970-01-14,4.140484,4.242971,4.140484,4.242971,0.852284,45500
1970-01-15,4.201976,4.201976,4.119987,4.140484,0.831697,67000
1970-01-16,4.140484,4.201976,4.099489,4.140484,0.831697,45100
1970-01-19,4.140484,4.201976,4.099489,4.160981,0.835815,43900
1970-01-20,4.160981,4.181479,4.058494,4.140484,0.831697,49900
1970-01-21,4.181479,4.591428,4.181479,4.468443,0.897574,142700
1970-01-22,4.468443,4.509438,4.304463,4.324961,0.868753,156500
1970-01-23,4.324961,4.345459,4.222474,4.242971,0.852284,62200
1970-01-26,4.222474,4.222474,4.017499,4.099489,0.823463,95000
1970-01-27,4.099489,4.099489,3.997002,4.099489,0.823463,54800
1970-01-28,4.058494,4.058494,3.894515,3.894515,0.782290,107700
1970-01-29,3.874017,3.874017,3.751032,3.833022,0.769938,223500
1970-01-30,3.833022,3.853520,3.771530,3.853520,0.774055,165000
1970-02-02,3.853520,3.894515,3.812525,3.894515,0.782290,134200
1970-02-03,3.894515,3.935509,3.792027,3.935509,0.790525,141400
1970-02-04,3.935509,3.935509,3.771530,3.833022,0.779685,149900
1970-02-05,3.833022,3.833022,3.751032,3.771530,0.767176,77200
1970-02-06,3.771530,3.792027,3.730535,3.771530,0.767176,111300
1970-02-09,3.771530,3.771530,3.730535,3.771530,0.767176,121100
1970-02-10,3.771530,3.771530,3.730535,3.771530,0.767176,63400
1970-02-11,3.771530,3.812525,3.751032,3.812525,0.775515,75900
1970-02-12,3.812525,3.812525,3.751032,3.771530,0.767176,68200
1970-02-13,3.771530,3.812525,3.751032,3.771530,0.767176,48700
1970-02-16,3.771530,3.792027,3.730535,3.792027,0.771346,69500
1970-02-17,3.771530,3.771530,3.689540,3.689540,0.750499,84100
1970-02-18,3.710037,3.792027,3.710037,3.730535,0.758838,81700
1970-02-19,3.730535,3.812525,3.710037,3.710037,0.754668,104000
1970-02-20,3.730535,3.853520,3.730535,3.751032,0.763008,182900
1970-02-24,3.751032,3.792027,3.751032,3.771530,0.767176,162200
1970-02-25,3.771530,3.812525,3.730535,3.771530,0.767176,195500
1970-02-26,3.771530,3.792027,3.730535,3.751032,0.763008,186500
1970-02-27,3.751032,3.935509,3.710037,3.853520,0.783855,215800
1970-03-02,3.894515,4.037997,3.894515,3.935509,0.800532,204800
1970-03-03,3.935509,4.037997,3.894515,4.037997,0.821379,120700
1970-03-04,4.037997,4.119987,4.017499,4.058494,0.825549,159700
1970-03-05,4.058494,4.099489,3.997002,4.037997,0.821379,104800
1970-03-06,4.037997,4.058494,3.935509,3.956007,0.804702,78500
1970-03-09,3.956007,3.976504,3.915012,3.935509,0.800532,65000
1970-03-10,3.935509,3.997002,3.915012,3.976504,0.808871,38200
1970-03-11,3.976504,3.997002,3.956007,3.956007,0.804702,56400
1970-03-12,3.956007,3.956007,3.894515,3.915012,0.796362,53600
1970-03-13,3.915012,3.956007,3.874017,3.956007,0.804702,57300
1970-03-16,3.956007,3.976504,3.853520,3.915012,0.796362,49900
1970-03-17,3.915012,3.935509,3.853520,3.915012,0.796362,56400
1970-03-18,3.915012,3.997002,3.853520,3.894515,0.792193,195100
1970-03-19,3.894515,3.894515,3.812525,3.853520,0.783855,56400
1970-03-20,3.853520,3.874017,3.771530,3.853520,0.783855,178000
1970-03-23,3.853520,3.894515,3.812525,3.833022,0.779685,48700
1970-03-24,3.853520,3.915012,3.853520,3.915012,0.796362,47900
1970-03-25,3.915012,3.997002,3.874017,3.976504,0.808871,168600
1970-03-26,3.976504,3.997002,3.935509,3.976504,0.808871,88200
1970-03-30,3.976504,4.017499,3.915012,3.935509,0.800532,83300
1970-03-31,3.935509,3.956007,3.894515,3.894515,0.792193,67000
1970-04-01,3.915012,3.976504,3.915012,3.935509,0.800532,73100
1970-04-02,3.935509,3.976504,3.915012,3.915012,0.796362,108900
1970-04-03,3.915012,3.956007,3.874017,3.956007,0.804702,186500
1970-04-06,3.956007,3.976504,3.894515,3.894515,0.792193,119900
1970-04-07,3.894515,3.956007,3.874017,3.956007,0.804702,75500
1970-04-08,3.956007,3.956007,3.915012,3.915012,0.796362,40600
1970-04-09,3.915012,3.935509,3.874017,3.894515,0.792193,41500
1970-04-10,3.874017,3.874017,3.812525,3.812525,0.775515,120700
