Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,0.365435,0.365435,0.361443,0.363217,0.021583,1324700
1970-01-05,0.363661,0.375192,0.363661,0.373861,0.022215,4368700
1970-01-06,0.373861,0.374305,0.369870,0.369870,0.021978,2395700
1970-01-07,0.370313,0.372087,0.370313,0.370757,0.022031,1014600
1970-01-08,0.370757,0.379183,0.370313,0.374305,0.022242,3325900
1970-01-09,0.374305,0.378740,0.373861,0.377853,0.022453,873700
1970-01-12,0.379183,0.384061,0.379183,0.384061,0.022822,394500
1970-01-13,0.384061,0.392044,0.383174,0.383174,0.022769,1860200
1970-01-14,0.383174,0.386279,0.377409,0.382287,0.022716,3100400
1970-01-15,0.382287,0.389383,0.380513,0.389383,0.023138,1240100
1970-01-16,0.389383,0.390270,0.374305,0.385835,0.022927,5355200
1970-01-19,0.385835,0.385835,0.380957,0.380957,0.022637,2001100
1970-01-20,0.382731,0.389383,0.382731,0.389383,0.023138,1324700
1970-01-21,0.389383,0.389827,0.386722,0.389383,0.023138,761000
1970-01-22,0.389383,0.391157,0.387166,0.388496,0.023085,1042800
1970-01-23,0.386279,0.386279,0.381844,0.381844,0.022690,535500
1970-01-26,0.381844,0.381844,0.375192,0.376079,0.022347,5411600
1970-01-27,0.375192,0.375192,0.368983,0.368983,0.021926,7130900
1970-01-28,0.368983,0.370313,0.364548,0.364548,0.021662,1352900
1970-01-29,0.364548,0.374748,0.354791,0.358783,0.021319,8202000
1970-01-30,0.357452,0.357452,0.355235,0.355678,0.021135,1099200
1970-02-02,0.355678,0.362774,0.355235,0.356122,0.021161,1352900
1970-02-03,0.354791,0.354791,0.339269,0.353017,0.020977,4904200
1970-02-04,0.353017,0.368096,0.348139,0.348582,0.020713,3015800
1970-02-05,0.346808,0.346808,0.337495,0.341930,0.020318,3156700
1970-02-06,0.341930,0.357452,0.341486,0.357452,0.021240,5468000
1970-02-09,0.357452,0.360113,0.354791,0.355678,0.021135,1550200
1970-02-10,0.355235,0.355235,0.354348,0.355235,0.021109,620000
1970-02-11,0.355235,0.362774,0.352574,0.358339,0.021293,2283000
1970-02-12,0.360556,0.362774,0.360556,0.360556,0.021425,1606500
1970-02-13,0.359226,0.359226,0.357452,0.359226,0.021346,986400
1970-02-16,0.362774,0.369870,0.362774,0.369870,0.021978,2452100
