Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,9.826389,9.930555,9.722222,9.722222,1.965525,67800
1982-01-04,9.965278,10.104167,9.791667,10.069445,2.035722,106500
1982-01-05,10.000000,10.173611,9.826389,9.861111,1.993603,240600
1982-01-06,9.826389,9.930555,9.687500,9.791667,1.979564,238900
1982-01-07,9.756945,9.791667,9.722222,9.791667,1.979564,162600
1982-01-08,9.826389,9.895833,9.756945,9.861111,1.993603,210900
1982-01-11,9.826389,9.930555,9.687500,9.687500,1.958506,218100
1982-01-12,9.652778,9.687500,9.583333,9.618055,1.944465,198100
1982-01-13,9.618055,9.652778,9.583333,9.618055,1.944465,465000
1982-01-14,9.479167,9.548611,9.375000,9.479167,1.916387,288100
1982-01-15,9.444445,9.479167,9.409722,9.409722,1.902348,408100
1982-01-18,9.340278,9.409722,9.236111,9.270833,1.874269,623400
1982-01-19,9.236111,9.375000,9.097222,9.131945,1.846189,420600
1982-01-20,9.027778,9.131945,8.923611,9.097222,1.839170,345700
1982-01-21,9.062500,9.097222,8.993055,9.027778,1.825131,339900
1982-01-22,8.993055,9.027778,8.958333,8.958333,1.811091,257700
1982-01-25,9.027778,9.097222,8.923611,8.958333,1.811091,269200
1982-01-26,8.854167,8.993055,8.715278,8.750000,1.768972,187200
1982-01-27,8.784722,8.819445,8.715278,8.784722,1.775993,236800
1982-01-28,9.201389,9.513889,8.854167,9.513889,1.923407,448600
1982-01-29,9.861111,9.965278,9.722222,9.895833,2.000623,432100
1982-02-01,9.635417,9.791667,9.427083,9.479167,1.916387,315000
1982-02-02,9.479167,9.531250,9.375000,9.531250,1.926918,206500
1982-02-03,9.635417,9.739583,9.531250,9.739583,1.969034,153400
1982-02-04,9.427083,9.635417,9.166667,9.375000,1.895327,201600
1982-02-05,9.687500,9.843750,9.479167,9.791667,1.979564,310200
1982-02-08,9.947917,10.312500,9.583333,9.843750,1.990094,374400
1982-02-09,9.843750,10.104167,9.583333,9.635417,1.947976,225600
1982-02-10,9.843750,10.000000,9.635417,9.895833,2.000623,233400
1982-02-11,9.895833,10.052083,9.687500,9.843750,1.990094,239400
1982-02-12,10.052083,10.208333,9.843750,10.104167,2.042742,180000
1982-02-16,9.947917,10.052083,9.843750,9.947917,2.011153,340600
1982-02-17,10.156250,10.260417,10.000000,10.156250,2.053273,212700
1982-02-18,10.364583,10.520833,10.208333,10.416667,2.105920,199300
1982-02-19,10.572917,10.833333,10.312500,10.625000,2.148038,434800
1982-02-22,10.572917,10.885417,10.208333,10.208333,2.063801,430200
1982-02-23,10.156250,10.364583,9.947917,10.208333,2.063801,280000
1982-02-24,10.208333,10.416667,10.000000,10.416667,2.105920,235000
1982-02-25,10.520833,10.729167,10.312500,10.416667,2.105920,208900
1982-02-26,10.312500,10.572917,10.000000,10.208333,2.063801,200200
1982-03-01,10.468750,10.625000,10.312500,10.364583,2.095390,157800
1982-03-02,10.364583,10.364583,10.312500,10.312500,2.084861,69400
1982-03-03,10.208333,10.312500,10.052083,10.104167,2.042742,171600
1982-03-04,9.843750,10.000000,9.635417,9.895833,2.000623,269400
1982-03-05,9.635417,9.843750,9.375000,9.635417,1.947976,148500
1982-03-08,9.375000,9.739583,8.958333,9.010417,1.821621,444100
1982-03-09,9.322917,9.791667,8.854167,9.583333,1.937446,366700
1982-03-10,9.531250,9.635417,9.375000,9.375000,1.895327,103000
1982-03-11,9.218750,9.375000,9.010417,9.114583,1.842679,471600
1982-03-12,8.958333,9.270833,8.645833,8.697917,1.758443,321000
1982-03-15,8.750000,8.854167,8.593750,8.802083,1.779503,185100
1982-03-16,8.958333,9.114583,8.802083,8.906250,1.800562,317700
1982-03-17,8.697917,8.958333,8.385417,8.541667,1.726854,852600
1982-03-18,8.697917,8.802083,8.541667,8.802083,1.779503,355600
1982-03-19,9.166667,9.270833,9.010417,9.062500,1.832151,191100
1982-03-22,9.322917,9.479167,9.114583,9.479167,1.916387,245400
1982-03-23,9.635417,9.739583,9.479167,9.687500,1.958506,362100
1982-03-24,10.104167,10.312500,9.895833,10.000000,2.021684,270000
1982-03-25,10.000000,10.052083,9.895833,10.000000,2.021684,157200
1982-03-26,9.843750,10.000000,9.687500,9.791667,1.979564,435000
