Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,9.153107,9.461292,9.122288,9.430473,1.183667,71700
1970-01-05,9.584566,9.861933,9.584566,9.769477,1.226217,118400
1970-01-06,9.769477,9.800296,9.615385,9.677022,1.214612,84300
1970-01-07,9.646203,9.646203,9.399654,9.461292,1.187535,93600
1970-01-08,9.492110,9.584566,9.492110,9.553747,1.199140,74200
1970-01-09,9.522929,9.522929,9.368836,9.461292,1.187535,93200
1970-01-12,9.461292,9.492110,9.276381,9.338017,1.172062,39300
1970-01-13,9.338017,9.368836,9.245563,9.276381,1.164326,108200
1970-01-14,9.276381,9.276381,9.153107,9.245563,1.160458,38500
1970-01-15,9.245563,9.245563,9.060651,9.153107,1.148853,47800
1970-01-16,9.091470,9.091470,8.505918,8.783284,1.102435,95700
1970-01-19,8.783284,8.921968,8.783284,8.844921,1.110171,63600
1970-01-20,8.844921,8.906558,8.783284,8.875740,1.114039,75800
1970-01-21,8.875740,8.906558,8.690828,8.783284,1.102435,71700
1970-01-22,8.783284,8.875740,8.721647,8.752465,1.098567,51100
1970-01-23,8.752465,8.814102,8.567554,8.567554,1.075357,81100
1970-01-26,8.567554,8.567554,8.382643,8.505918,1.067621,58000
1970-01-27,8.505918,8.505918,8.351825,8.413462,1.056017,63200
1970-01-28,8.382643,8.382643,8.197732,8.290188,1.040544,72100
1970-01-29,8.197732,8.197732,7.951183,8.074457,1.013466,107800
1970-01-30,8.074457,8.321006,8.043639,8.105276,1.017334,63600
1970-02-02,8.166913,8.444280,8.166913,8.166913,1.025070,135000
1970-02-03,8.166913,8.444280,8.136095,8.351825,1.048280,150400
1970-02-04,8.351825,8.475099,8.351825,8.444280,1.059885,111900
1970-02-05,8.444280,8.629191,8.444280,8.598372,1.079226,41300
1970-02-06,8.660010,8.937377,8.660010,8.875740,1.114039,85900
1970-02-09,8.937377,9.091470,8.937377,9.029832,1.133381,41300
1970-02-10,9.029832,9.060651,8.906558,8.999014,1.129512,87200
1970-02-11,8.999014,9.153107,8.783284,9.122288,1.144984,137400
1970-02-12,9.122288,9.307199,9.029832,9.245563,1.160458,60800
1970-02-13,9.245563,9.245563,9.153107,9.214744,1.156590,62400
1970-02-16,9.214744,9.214744,8.752465,8.844921,1.121424,49000
1970-02-17,8.844921,8.875740,8.629191,8.629191,1.094072,163400
1970-02-18,8.660010,8.814102,8.660010,8.814102,1.117516,98100
1970-02-19,8.814102,8.968195,8.629191,8.660010,1.097980,90800
1970-02-20,8.660010,8.660010,8.505918,8.660010,1.097980,62000
1970-02-24,8.660010,8.752465,8.567554,8.567554,1.086256,61200
1970-02-25,8.567554,8.814102,8.505918,8.783284,1.113609,70500
1970-02-26,8.783284,8.783284,8.660010,8.752465,1.109701,43300
1970-02-27,8.752465,8.999014,8.690828,8.968195,1.137052,67700
1970-03-02,8.999014,9.183925,8.999014,9.060651,1.148776,82700
1970-03-03,9.060651,9.091470,8.906558,8.999014,1.140961,55900
