Date,Open,High,Low,Close,Adj Close,Volume
1991-11-22,4.444445,4.472222,4.416667,4.444445,0.181034,6522600
1991-11-25,4.444445,4.444445,4.416667,4.444445,0.181034,868800
1991-11-26,4.444445,4.444445,4.444445,4.444445,0.181034,165000
1991-11-27,4.444445,4.444445,4.416667,4.444445,0.181034,93600
1991-11-29,4.444445,4.444445,4.416667,4.444445,0.181034,151400
1991-12-02,4.444445,4.444445,4.388889,4.416667,0.179903,420200
1991-12-03,4.416667,4.444445,4.388889,4.416667,0.179903,154800
1991-12-04,4.444445,4.444445,4.416667,4.416667,0.179903,189200
1991-12-05,4.416667,4.416667,4.416667,4.416667,0.179903,173600
1991-12-06,4.416667,4.416667,4.388889,4.388889,0.178771,270200
1991-12-09,4.388889,4.416667,4.388889,4.388889,0.178771,54200
1991-12-10,4.388889,4.416667,4.388889,4.388889,0.178771,177600
1991-12-11,4.333333,4.388889,4.277778,4.388889,0.178771,302600
1991-12-12,4.388889,4.388889,4.361111,4.388889,0.178771,72800
1991-12-13,4.388889,4.416667,4.388889,4.388889,0.178771,157800
1991-12-16,4.416667,4.416667,4.388889,4.388889,0.178771,49400
1991-12-17,4.416667,4.416667,4.388889,4.416667,0.179903,63200
1991-12-18,4.416667,4.416667,4.388889,4.416667,0.179903,24200
1991-12-19,4.388889,4.444445,4.388889,4.444445,0.181034,62000
1991-12-20,4.444445,4.472222,4.444445,4.444445,0.181034,137600
1991-12-23,4.444445,4.555555,4.444445,4.555555,0.185560,158600
1991-12-24,4.555555,4.555555,4.500000,4.527778,0.184429,62400
1991-12-26,4.555555,4.638889,4.555555,4.611111,0.187823,83600
1991-12-27,4.611111,4.611111,4.555555,4.583333,0.186692,183000
1991-12-30,4.611111,4.611111,4.583333,4.583333,0.186692,101600
1991-12-31,4.611111,4.777778,4.611111,4.777778,0.194612,126000
1992-01-02,4.750000,4.833333,4.694445,4.777778,0.194612,173000
1992-01-03,4.777778,4.861111,4.777778,4.805555,0.195743,215000
1992-01-06,4.833333,5.000000,4.833333,4.916667,0.200269,198000
1992-01-07,4.916667,5.027778,4.916667,4.944445,0.201401,434000
1992-01-08,4.944445,4.972222,4.916667,4.944445,0.201401,131600
1992-01-09,4.944445,4.944445,4.916667,4.916667,0.200269,149400
1992-01-10,4.916667,5.000000,4.916667,5.000000,0.203664,184400
1992-01-13,4.972222,5.027778,4.972222,5.000000,0.203664,92600
1992-01-14,5.000000,5.083333,5.000000,5.083333,0.207058,153000
1992-01-15,5.055555,5.138889,5.055555,5.138889,0.209321,106200
1992-01-16,5.194445,5.222222,5.138889,5.138889,0.209321,73200
1992-01-17,5.111111,5.166667,5.111111,5.166667,0.210452,116000
1992-01-20,5.166667,5.194445,5.138889,5.138889,0.209321,60200
1992-01-21,5.138889,5.194445,5.138889,5.166667,0.210452,37800
1992-01-22,5.138889,5.194445,5.138889,5.166667,0.210452,36000
1992-01-23,5.138889,5.194445,5.138889,5.166667,0.210452,50600
1992-01-24,5.138889,5.194445,5.111111,5.166667,0.217109,44000
1992-01-27,5.166667,5.166667,5.111111,5.138889,0.215941,35400
1992-01-28,5.194445,5.194445,5.138889,5.194445,0.218276,31400
1992-01-29,5.277778,5.361111,5.222222,5.222222,0.219443,222600
1992-01-30,5.222222,5.250000,5.222222,5.250000,0.220610,224400
1992-01-31,5.222222,5.277778,5.222222,5.250000,0.220610,32600
1992-02-03,5.250000,5.333333,5.222222,5.277778,0.221778,148400
1992-02-04,5.277778,5.416667,5.277778,5.333333,0.224112,55800
1992-02-05,5.333333,5.388889,5.333333,5.388889,0.226447,30600
1992-02-06,5.388889,5.472222,5.388889,5.388889,0.226447,129000
1992-02-07,5.388889,5.472222,5.388889,5.444445,0.228781,152400
1992-02-10,5.444445,5.500000,5.416667,5.444445,0.228781,49400
1992-02-11,5.500000,5.500000,5.416667,5.416667,0.227614,37800
1992-02-12,5.388889,5.416667,5.361111,5.416667,0.227614,321200
1992-02-13,5.388889,5.388889,5.333333,5.361111,0.225279,263600
1992-02-14,5.333333,5.361111,5.333333,5.361111,0.225279,41400
1992-02-18,5.388889,5.388889,5.333333,5.333333,0.224112,26000
1992-02-19,5.333333,5.333333,5.305555,5.305555,0.222945,36200
1992-02-20,5.250000,5.305555,5.250000,5.277778,0.221778,138600
1992-02-21,5.250000,5.277778,5.250000,5.277778,0.221778,4800
1992-02-24,5.277778,5.305555,5.277778,5.305555,0.222945,117000
1992-02-25,5.305555,5.333333,5.277778,5.333333,0.224112,65600
1992-02-26,5.305555,5.305555,5.277778,5.277778,0.221778,101000
1992-02-27,5.333333,5.388889,5.333333,5.388889,0.226447,96600
1992-02-28,5.361111,5.361111,5.333333,5.333333,0.224112,5600
1992-03-02,5.388889,5.472222,5.388889,5.472222,0.229948,162200
1992-03-03,5.527778,5.638889,5.527778,5.555555,0.233450,96200
1992-03-04,5.583333,5.638889,5.555555,5.583333,0.234617,43400
1992-03-05,5.555555,5.583333,5.444445,5.444445,0.228781,31800
1992-03-06,5.472222,5.472222,5.333333,5.361111,0.225279,174000
1992-03-09,5.361111,5.527778,5.361111,5.444445,0.228781,29600
1992-03-10,5.472222,5.472222,5.388889,5.388889,0.226447,503400
1992-03-11,5.416667,5.416667,5.388889,5.388889,0.226447,13400
1992-03-12,5.444445,5.444445,5.361111,5.361111,0.225279,23400
1992-03-13,5.361111,5.416667,5.361111,5.416667,0.227614,311400
1992-03-16,5.388889,5.388889,5.361111,5.361111,0.225279,36000
1992-03-17,5.361111,5.361111,5.305555,5.333333,0.224112,46800
1992-03-18,5.333333,5.361111,5.333333,5.333333,0.224112,79200
1992-03-19,5.388889,5.388889,5.361111,5.388889,0.226447,16200
1992-03-20,5.388889,5.388889,5.333333,5.333333,0.224112,28200
1992-03-23,5.333333,5.361111,5.333333,5.361111,0.225279,16200
1992-03-24,5.333333,5.361111,5.277778,5.277778,0.221778,204600
1992-03-25,5.333333,5.333333,5.222222,5.250000,0.220610,63800
1992-03-26,5.222222,5.250000,5.222222,5.222222,0.219443,7200
1992-03-27,5.222222,5.222222,5.222222,5.222222,0.219443,40400
1992-03-30,5.222222,5.222222,5.194445,5.222222,0.219443,9200
1992-03-31,5.194445,5.250000,5.194445,5.250000,0.220610,56600
1992-04-01,5.222222,5.250000,5.222222,5.222222,0.219443,147600
1992-04-02,5.222222,5.222222,5.194445,5.194445,0.218276,120600
1992-04-03,5.222222,5.222222,5.194445,5.194445,0.218276,2000
1992-04-06,5.222222,5.222222,5.166667,5.166667,0.217109,46800
1992-04-07,5.194445,5.194445,5.055555,5.055555,0.212440,55800
1992-04-08,5.027778,5.055555,4.916667,5.000000,0.210105,65600
1992-04-09,4.972222,5.027778,4.944445,4.944445,0.207771,108800
1992-04-10,4.944445,4.972222,4.916667,4.972222,0.208938,174000
1992-04-13,4.972222,5.055555,4.944445,5.027778,0.211272,219600
1992-04-14,5.083333,5.111111,5.083333,5.111111,0.214774,115400
1992-04-15,5.138889,5.166667,5.138889,5.166667,0.217109,99800
1992-04-16,5.166667,5.166667,5.166667,5.166667,0.217109,4400
1992-04-20,5.166667,5.222222,5.166667,5.222222,0.219443,11600
1992-04-21,5.250000,5.250000,5.250000,5.250000,0.220610,12600
1992-04-22,5.250000,5.277778,5.250000,5.277778,0.221778,17400
1992-04-23,5.222222,5.222222,5.194445,5.194445,0.218276,390600
1992-04-24,5.083333,5.194445,5.083333,5.194445,0.238504,9000
1992-04-27,5.250000,5.277778,5.222222,5.250000,0.241055,21800
1992-04-28,5.222222,5.250000,5.222222,5.250000,0.241055,44000
1992-04-29,5.250000,5.305555,5.250000,5.305555,0.243605,8400
1992-04-30,5.333333,5.416667,5.333333,5.416667,0.248707,21600
