Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.494792,0.500000,0.494792,0.494792,0.047169,156000
1980-03-18,0.494792,0.494792,0.484375,0.484375,0.046176,43200
1980-03-19,0.484375,0.484375,0.479167,0.479167,0.045679,72000
1980-03-20,0.473958,0.473958,0.468750,0.473958,0.045183,16800
1980-03-21,0.473958,0.473958,0.473958,0.473958,0.045183,12000
1980-03-24,0.473958,0.479167,0.458333,0.458333,0.043693,21600
1980-03-25,0.458333,0.458333,0.458333,0.458333,0.043693,81600
1980-03-26,0.458333,0.458333,0.458333,0.458333,0.043693,204000
1980-03-27,0.458333,0.458333,0.458333,0.458333,0.043693,38400
1980-03-28,0.458333,0.463542,0.453125,0.453125,0.043197,43200
1980-03-31,0.453125,0.463542,0.453125,0.453125,0.043197,33600
1980-04-01,0.453125,0.453125,0.453125,0.453125,0.043197,7200
1980-04-02,0.453125,0.458333,0.447917,0.447917,0.042700,14400
1980-04-03,0.447917,0.447917,0.447917,0.447917,0.042700,4800
1980-04-07,0.442708,0.442708,0.437500,0.437500,0.041707,43200
1980-04-08,0.437500,0.437500,0.432292,0.437500,0.041707,21600
1980-04-09,0.427083,0.427083,0.416667,0.416667,0.039721,52800
1980-04-10,0.416667,0.421875,0.416667,0.421875,0.040218,115200
1980-04-11,0.416667,0.416667,0.416667,0.416667,0.039721,12000
1980-04-14,0.416667,0.416667,0.416667,0.416667,0.039721,0
1980-04-15,0.416667,0.416667,0.416667,0.416667,0.039721,7200
1980-04-16,0.416667,0.427083,0.416667,0.416667,0.039721,24000
1980-04-17,0.427083,0.453125,0.427083,0.453125,0.043197,134400
1980-04-18,0.458333,0.458333,0.458333,0.458333,0.043693,2400
1980-04-21,0.458333,0.458333,0.442708,0.442708,0.042204,31200
1980-04-22,0.447917,0.468750,0.447917,0.468750,0.044686,182400
1980-04-23,0.468750,0.468750,0.468750,0.468750,0.044686,0
1980-04-24,0.463542,0.463542,0.458333,0.463542,0.044190,38400
1980-04-25,0.458333,0.458333,0.458333,0.458333,0.043693,26400
1980-04-28,0.458333,0.463542,0.458333,0.458333,0.043693,26400
1980-04-29,0.453125,0.453125,0.453125,0.453125,0.043197,12000
1980-04-30,0.458333,0.468750,0.458333,0.468750,0.044686,33600
1980-05-01,0.479167,0.494792,0.479167,0.489583,0.046672,19200
1980-05-02,0.494792,0.500000,0.494792,0.494792,0.047169,4800
1980-05-05,0.494792,0.494792,0.494792,0.494792,0.047169,0
1980-05-06,0.500000,0.500000,0.500000,0.500000,0.047665,33600
1980-05-07,0.510417,0.515625,0.510417,0.515625,0.049155,36000
1980-05-08,0.505208,0.505208,0.500000,0.505208,0.048162,273600
1980-05-09,0.505208,0.505208,0.489583,0.489583,0.046672,240000
1980-05-12,0.489583,0.489583,0.489583,0.489583,0.046672,0
1980-05-13,0.484375,0.484375,0.479167,0.479167,0.045679,7200
1980-05-14,0.484375,0.484375,0.484375,0.484375,0.046176,7200
1980-05-15,0.479167,0.479167,0.479167,0.479167,0.045679,7200
1980-05-16,0.473958,0.473958,0.468750,0.468750,0.044686,28800
1980-05-19,0.468750,0.468750,0.463542,0.463542,0.044190,31200
1980-05-20,0.463542,0.473958,0.463542,0.473958,0.045183,19200
1980-05-21,0.473958,0.479167,0.473958,0.473958,0.045183,36000
1980-05-22,0.468750,0.468750,0.463542,0.468750,0.044686,127200
1980-05-23,0.463542,0.463542,0.463542,0.463542,0.044190,57600
1980-05-27,0.463542,0.463542,0.447917,0.447917,0.042700,300000
1980-05-28,0.458333,0.468750,0.458333,0.468750,0.044686,50400
1980-05-29,0.473958,0.479167,0.473958,0.473958,0.045183,33600
1980-05-30,0.473958,0.489583,0.468750,0.489583,0.046672,38400
