Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.208620,1.280318,1.208620,1.208620,0.165504,235500
1980-03-18,1.208620,1.259833,1.188135,1.239348,0.169712,165900
1980-03-19,1.239348,1.249590,1.229105,1.229105,0.168309,42700
1980-03-20,1.229105,1.249590,1.229105,1.229105,0.168309,24400
1980-03-21,1.229105,1.290560,1.229105,1.229105,0.168309,97600
1980-03-24,1.229105,1.239348,1.177892,1.177892,0.161296,153700
1980-03-25,1.177892,1.259833,1.177892,1.218863,0.166907,117100
1980-03-26,1.229105,1.382743,1.229105,1.300803,0.178127,147600
1980-03-27,1.280318,1.280318,1.157407,1.188135,0.162699,202500
1980-03-28,1.249590,1.290560,1.249590,1.290560,0.176725,162300
1980-03-31,1.290560,1.300803,1.290560,1.300803,0.178127,90300
1980-04-01,1.300803,1.300803,1.290560,1.300803,0.178127,73200
1980-04-02,1.300803,1.341773,1.300803,1.331531,0.182335,95100
1980-04-03,1.331531,1.331531,1.311046,1.331531,0.182335,19500
1980-04-07,1.331531,1.352016,1.331531,1.331531,0.182335,103700
1980-04-08,1.331531,1.352016,1.331531,1.341773,0.183738,91500
1980-04-09,1.362258,1.433956,1.362258,1.413471,0.193556,84200
1980-04-10,1.433956,1.495411,1.433956,1.454441,0.199166,157400
1980-04-11,1.454441,1.454441,1.423714,1.423714,0.194958,26800
1980-04-14,1.413471,1.413471,1.382743,1.392986,0.190750,73200
1980-04-15,1.392986,1.392986,1.362258,1.362258,0.186543,150100
1980-04-16,1.362258,1.392986,1.352016,1.352016,0.185140,118300
1980-04-17,1.352016,1.392986,1.352016,1.392986,0.190750,89000
1980-04-18,1.392986,1.433956,1.392986,1.392986,0.190750,54900
1980-04-21,1.392986,1.392986,1.352016,1.352016,0.185140,40200
1980-04-22,1.362258,1.495411,1.362258,1.495411,0.204776,130500
1980-04-23,1.536381,1.597837,1.536381,1.536381,0.210386,165900
1980-04-24,1.536381,1.567109,1.536381,1.567109,0.214594,62200
1980-04-25,1.536381,1.536381,1.505654,1.515896,0.207581,62200
1980-04-28,1.515896,1.577352,1.515896,1.526139,0.208984,118300
1980-04-29,1.536381,1.587594,1.536381,1.556867,0.213192,108600
1980-04-30,1.556867,1.567109,1.526139,1.546624,0.211789,78100
1980-05-01,1.546624,1.567109,1.546624,1.556867,0.213192,70700
1980-05-02,1.556867,1.567109,1.526139,1.526139,0.208984,75600
1980-05-05,1.526139,1.556867,1.495411,1.515896,0.207581,135400
1980-05-06,1.505654,1.505654,1.474926,1.505654,0.206179,102500
1980-05-07,1.515896,1.659292,1.515896,1.638807,0.224412,429500
1980-05-08,1.659292,1.730990,1.659292,1.690020,0.231425,473500
1980-05-09,1.690020,1.710505,1.659292,1.659292,0.227217,169600
1980-05-12,1.659292,1.679777,1.608079,1.659292,0.227217,147600
1980-05-13,1.679777,1.761717,1.679777,1.720747,0.235633,272100
1980-05-14,1.730990,1.782203,1.730990,1.761717,0.241243,235500
1980-05-15,1.761717,1.823173,1.761717,1.802688,0.246853,401500
1980-05-16,1.802688,1.823173,1.771960,1.812930,0.248256,307500
1980-05-19,1.802688,1.802688,1.771960,1.771960,0.242646,115900
1980-05-20,1.771960,1.782203,1.659292,1.710505,0.234230,142700
1980-05-21,1.700262,1.700262,1.659292,1.679777,0.230023,114700
1980-05-22,1.700262,1.802688,1.700262,1.761717,0.241243,401500
1980-05-23,1.771960,1.823173,1.771960,1.792445,0.245451,167100
1980-05-27,1.792445,1.884628,1.782203,1.874385,0.256672,341700
1980-05-28,1.894871,1.966568,1.894871,1.946083,0.266490,408800
1980-05-29,1.946083,1.966568,1.874385,1.874385,0.256672,466100
1980-05-30,1.874385,1.976811,1.843658,1.966568,0.269295,317300
1980-06-02,1.966568,1.987053,1.925598,1.966568,0.269295,218400
1980-06-03,1.966568,1.966568,1.946083,1.956326,0.267892,194000
1980-06-04,1.956326,1.956326,1.884628,1.884628,0.258074,214700
1980-06-05,1.884628,1.956326,1.874385,1.884628,0.258074,212300
1980-06-06,1.884628,1.905113,1.864143,1.864143,0.255269,136600
1980-06-09,1.864143,1.874385,1.823173,1.843658,0.252464,92700
1980-06-10,1.823173,1.823173,1.771960,1.792445,0.245451,154900
1980-06-11,1.792445,1.884628,1.761717,1.853900,0.253866,256200
1980-06-12,1.853900,1.874385,1.853900,1.864143,0.255269,113400
1980-06-13,1.864143,2.007539,1.833415,2.007539,0.274905,279400
1980-06-16,2.007539,2.079236,1.997296,2.058751,0.281918,512500
1980-06-17,2.058751,2.068994,1.976811,1.976811,0.270697,150100
1980-06-18,1.976811,2.007539,1.935841,1.987053,0.272100,278200
1980-06-19,1.987053,2.038266,1.966568,1.987053,0.272100,218400
1980-06-20,1.987053,2.038266,1.966568,2.017781,0.276308,87800
1980-06-23,2.017781,2.048509,2.007539,2.038266,0.279113,323400
1980-06-24,2.038266,2.048509,2.028023,2.048509,0.280515,198900
1980-06-25,2.048509,2.171419,2.048509,2.109964,0.288931,417300
1980-06-26,2.130449,2.171419,2.130449,2.171419,0.297346,630900
1980-06-27,2.171419,2.171419,2.089479,2.140692,0.293138,184200
1980-06-30,2.140692,2.171419,2.089479,2.130449,0.291736,168400
1980-07-01,2.150934,2.335300,2.150934,2.335300,0.319787,207400
1980-07-02,2.335300,2.335300,2.253360,2.273845,0.311372,214700
1980-07-03,2.273845,2.314815,2.273845,2.273845,0.311372,220800
1980-07-07,2.284087,2.355785,2.284087,2.335300,0.319787,723600
1980-07-08,2.335300,2.335300,2.273845,2.284087,0.312775,113400
1980-07-09,2.284087,2.325057,2.284087,2.314815,0.316982,154900
1980-07-10,2.304572,2.304572,2.273845,2.284087,0.312775,103700
1980-07-11,2.284087,2.325057,2.253360,2.304572,0.315580,1034800
1980-07-14,2.304572,2.335300,2.294330,2.335300,0.319787,163500
1980-07-15,2.335300,2.366028,2.335300,2.345542,0.321190,298900
1980-07-16,2.345542,2.355785,2.325057,2.345542,0.321190,267200
1980-07-17,2.345542,2.560636,2.314815,2.540151,0.347839,604000
1980-07-18,2.591363,2.724517,2.591363,2.601606,0.356255,733400
1980-07-21,2.632334,2.755244,2.632334,2.755244,0.377293,316000
1980-07-22,2.755244,2.785972,2.683546,2.683546,0.367475,438100
1980-07-23,2.704031,2.765487,2.704031,2.704031,0.370280,240400
1980-07-24,2.704031,2.704031,2.622091,2.642576,0.361865,274500
1980-07-25,2.642576,2.642576,2.560636,2.581121,0.353449,468600
1980-07-28,2.581121,2.642576,2.570879,2.632334,0.360462,113400
1980-07-29,2.642576,2.693789,2.642576,2.642576,0.361865,202500
1980-07-30,2.652819,2.673304,2.652819,2.652819,0.363267,129300
1980-07-31,2.652819,2.663061,2.560636,2.663061,0.364670,195200
1980-08-01,2.663061,2.683546,2.663061,2.683546,0.367475,93900
1980-08-04,2.652819,2.652819,2.581121,2.601606,0.356255,87800
1980-08-05,2.570879,2.570879,2.427483,2.488938,0.340826,384400
1980-08-06,2.488938,2.601606,2.478695,2.601606,0.356255,118300
1980-08-07,2.663061,2.704031,2.663061,2.673304,0.366073,147600
1980-08-08,2.673304,2.796214,2.663061,2.663061,0.364670,184200
1980-08-11,2.693789,2.755244,2.693789,2.745002,0.375891,90300
1980-08-12,2.745002,2.765487,2.693789,2.693789,0.368878,217200
1980-08-13,2.734759,2.755244,2.734759,2.755244,0.377293,68300
1980-08-14,2.755244,2.765487,2.745002,2.745002,0.375891,39000
1980-08-15,2.734759,2.734759,2.622091,2.622091,0.359060,151300
1980-08-18,2.622091,2.642576,2.550393,2.560636,0.350644,201300
1980-08-19,2.540151,2.540151,2.325057,2.447968,0.335216,623600
1980-08-20,2.447968,2.458210,2.366028,2.458210,0.336618,272100
1980-08-21,2.458210,2.519666,2.458210,2.458210,0.336618,499100
1980-08-22,2.458210,2.478695,2.458210,2.478695,0.339424,102500
1980-08-25,2.478695,2.478695,2.458210,2.468453,0.338021,41400
1980-08-26,2.468453,2.478695,2.427483,2.447968,0.335216,72000
1980-08-27,2.447968,2.447968,2.345542,2.355785,0.322592,93900
