Date,Open,High,Low,Close,Adj Close,Volume
1992-02-05,9.125000,9.125000,8.250000,8.625000,5.864498,11325800
1992-02-06,8.625000,8.625000,8.375000,8.437500,5.737010,5696400
1992-02-07,8.437500,8.437500,7.812500,7.812500,5.312045,1698000
1992-02-10,7.875000,7.875000,7.500000,7.562500,5.142061,1104400
1992-02-11,7.562500,7.687500,7.562500,7.687500,5.227054,656200
1992-02-12,7.687500,8.000000,7.625000,7.937500,5.397038,629600
1992-02-13,8.000000,8.187500,7.937500,8.000000,5.439535,808200
1992-02-14,8.000000,8.000000,7.812500,7.812500,5.312045,418000
1992-02-18,7.875000,7.875000,7.750000,7.812500,5.312045,687200
1992-02-19,7.812500,8.000000,7.812500,8.000000,5.439535,638000
1992-02-20,8.000000,8.000000,7.812500,7.812500,5.312045,139000
1992-02-21,7.937500,7.937500,7.875000,7.937500,5.397038,410600
1992-02-24,7.937500,8.000000,7.875000,7.937500,5.397038,353800
1992-02-25,7.937500,7.937500,7.625000,7.687500,5.227054,590400
1992-02-26,7.750000,7.812500,7.562500,7.625000,5.184556,155200
1992-02-27,7.625000,7.875000,7.625000,7.687500,5.227054,438000
1992-02-28,7.875000,7.875000,7.750000,7.750000,5.269549,266600
1992-03-02,7.625000,7.937500,7.625000,7.812500,5.312045,83800
1992-03-03,7.750000,7.875000,7.750000,7.875000,5.354544,177400
1992-03-04,7.875000,7.875000,7.750000,7.750000,5.269549,247800
1992-03-05,7.812500,7.875000,7.687500,7.687500,5.227054,131200
1992-03-06,7.687500,7.812500,7.687500,7.812500,5.312045,453400
1992-03-09,7.750000,7.812500,7.750000,7.812500,5.312045,114000
1992-03-10,7.750000,7.812500,7.750000,7.750000,5.269549,57800
1992-03-11,7.750000,7.812500,7.687500,7.687500,5.227054,104200
1992-03-12,7.750000,7.750000,7.687500,7.687500,5.227054,70800
1992-03-13,7.687500,7.750000,7.687500,7.687500,5.227054,124800
