Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.048000,2.150400,2.048000,2.048000,0.932055,106200
1980-03-18,2.013867,2.013867,1.911467,2.013867,0.916521,159500
1980-03-19,2.013867,2.116267,1.979733,2.013867,0.916521,144700
1980-03-20,2.013867,2.048000,1.979733,2.013867,0.916521,82500
1980-03-21,2.082133,2.252800,2.082133,2.150400,0.978658,240800
1980-03-24,2.150400,2.184533,1.979733,2.013867,0.916521,170000
1980-03-25,2.013867,2.013867,1.945600,1.979733,0.900986,165800
1980-03-26,1.979733,2.013867,1.979733,1.979733,0.900986,90700
1980-03-27,1.979733,2.013867,1.740800,1.877333,0.854384,279600
1980-03-28,1.877333,1.979733,1.877333,1.979733,0.900986,300300
1980-03-31,1.979733,2.082133,1.911467,1.979733,0.900986,223100
1980-04-01,2.013867,2.150400,2.013867,2.048000,0.932055,115000
1980-04-02,2.048000,2.082133,2.013867,2.082133,0.947589,86800
1980-04-03,2.048000,2.048000,2.013867,2.013867,0.916521,50200
1980-04-07,2.013867,2.048000,1.945600,1.945600,0.885452,78100
1980-04-08,1.945600,1.979733,1.945600,1.979733,0.900986,41000
1980-04-09,1.979733,2.013867,1.945600,1.979733,0.900986,65000
1980-04-10,1.979733,2.082133,1.979733,2.013867,0.916521,73300
1980-04-11,2.013867,2.013867,1.979733,2.013867,0.916521,29300
1980-04-14,1.979733,1.979733,1.945600,1.979733,0.900986,54000
1980-04-15,1.979733,1.979733,1.911467,1.911467,0.869918,81300
1980-04-16,1.911467,1.945600,1.843200,1.877333,0.854384,160100
1980-04-17,1.877333,1.877333,1.809067,1.843200,0.838850,97200
1980-04-18,1.843200,1.843200,1.774933,1.809067,0.823315,67500
1980-04-21,1.809067,2.048000,1.774933,1.809067,0.823315,57500
1980-04-22,1.877333,1.945600,1.877333,1.945600,0.885452,173300
1980-04-23,1.945600,1.979733,1.945600,1.979733,0.900986,77700
1980-04-24,1.979733,2.048000,1.945600,2.048000,0.932055,136000
1980-04-25,1.979733,1.979733,1.877333,1.945600,0.885452,82700
1980-04-28,1.945600,1.979733,1.945600,1.945600,0.885452,43200
1980-04-29,1.945600,2.013867,1.945600,2.013867,0.916521,29100
1980-04-30,2.013867,2.013867,1.945600,1.979733,0.900986,56200
1980-05-01,1.979733,2.013867,1.979733,1.979733,0.900986,119500
1980-05-02,1.979733,1.979733,1.945600,1.945600,0.885452,100100
1980-05-05,1.945600,1.979733,1.945600,1.945600,0.885452,73100
1980-05-06,1.979733,2.013867,1.979733,1.979733,0.900986,120700
1980-05-07,1.979733,2.184533,1.979733,2.150400,0.978658,252500
1980-05-08,2.150400,2.218667,2.116267,2.150400,0.978658,162500
1980-05-09,2.150400,2.150400,2.082133,2.116267,0.963123,34500
1980-05-12,2.116267,2.116267,2.013867,2.048000,0.932055,43200
1980-05-13,2.048000,2.116267,2.048000,2.082133,0.947589,89700
1980-05-14,2.082133,2.150400,2.082133,2.116267,0.963123,68100
1980-05-15,2.116267,2.218667,2.116267,2.218667,1.009726,128800
1980-05-16,2.218667,2.218667,2.150400,2.184533,0.994192,42600
1980-05-19,2.184533,2.286933,2.184533,2.252800,1.025261,126600
1980-05-20,2.252800,2.252800,2.218667,2.218667,1.009726,42600
1980-05-21,2.184533,2.184533,2.150400,2.184533,0.994192,37000
1980-05-22,2.184533,2.218667,2.150400,2.150400,0.978658,57500
1980-05-23,2.150400,2.321067,2.150400,2.286933,1.040795,291600
1980-05-27,2.321067,2.355200,2.321067,2.321067,1.056329,175100
1980-05-28,2.321067,2.389333,2.321067,2.389333,1.087397,94100
1980-05-29,2.355200,2.355200,2.252800,2.252800,1.025261,121800
1980-05-30,2.252800,2.286933,2.184533,2.286933,1.040795,119500
1980-06-02,2.286933,2.286933,2.218667,2.218667,1.009726,60800
1980-06-03,2.218667,2.218667,2.150400,2.150400,0.978658,65700
1980-06-04,2.150400,2.184533,2.116267,2.184533,0.994192,109600
1980-06-05,2.184533,2.218667,2.150400,2.184533,0.994192,111800
1980-06-06,2.218667,2.321067,2.218667,2.286933,1.040795,269600
1980-06-09,2.286933,2.286933,2.252800,2.252800,1.025261,81300
1980-06-10,2.321067,2.423467,2.321067,2.423467,1.102932,306300
