Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,0.596680,0.599609,0.593750,0.599609,0.004211,563200
1982-01-04,0.601563,0.605469,0.595703,0.605469,0.004268,1305600
1982-01-05,0.601563,0.605469,0.595703,0.601563,0.004240,486400
1982-01-06,0.593750,0.595703,0.589844,0.589844,0.004158,595200
1982-01-07,0.583984,0.589844,0.578125,0.582031,0.004103,4870400
1982-01-08,0.585938,0.589844,0.580078,0.582031,0.004103,198400
1982-01-11,0.582031,0.585938,0.578125,0.580078,0.004089,1612800
1982-01-12,0.568359,0.574219,0.562500,0.564453,0.003979,6675200
1982-01-13,0.566406,0.570313,0.560547,0.564453,0.003979,889600
1982-01-14,0.552734,0.562500,0.542969,0.546875,0.003855,2380800
1982-01-15,0.558594,0.568359,0.546875,0.558594,0.003937,1715200
1982-01-18,0.570313,0.578125,0.562500,0.578125,0.004075,544000
1982-01-19,0.578125,0.578125,0.576172,0.578125,0.004075,96000
1982-01-20,0.578125,0.578125,0.576172,0.578125,0.004075,204800
1982-01-21,0.570313,0.580078,0.558594,0.558594,0.003937,1305600
1982-01-22,0.562500,0.566406,0.558594,0.566406,0.003993,268800
1982-01-25,0.564453,0.570313,0.558594,0.570313,0.004020,768000
1982-01-26,0.560547,0.562500,0.556641,0.558594,0.003937,396800
1982-01-27,0.570313,0.576172,0.562500,0.566406,0.003993,2163200
1982-01-28,0.572266,0.582031,0.562500,0.562500,0.003965,3699200
1982-01-29,0.580078,0.585938,0.574219,0.574219,0.004048,1619200
1982-02-01,0.580078,0.582031,0.576172,0.578125,0.004075,2713600
1982-02-02,0.580078,0.585938,0.574219,0.578125,0.004075,947200
1982-02-03,0.572266,0.578125,0.566406,0.568359,0.004006,608000
1982-02-04,0.570313,0.578125,0.560547,0.578125,0.004075,4160000
1982-02-05,0.593750,0.603516,0.582031,0.599609,0.004227,889600
1982-02-08,0.607422,0.619141,0.593750,0.601563,0.004240,1568000
1982-02-09,0.587891,0.595703,0.580078,0.580078,0.004089,268800
1982-02-10,0.570313,0.578125,0.562500,0.562500,0.003965,2457600
1982-02-11,0.564453,0.568359,0.560547,0.562500,0.003965,3635200
1982-02-12,0.566406,0.568359,0.562500,0.562500,0.003965,640000
1982-02-16,0.562500,0.566406,0.558594,0.560547,0.003951,1337600
1982-02-17,0.566406,0.570313,0.562500,0.570313,0.004020,1216000
1982-02-18,0.576172,0.578125,0.574219,0.574219,0.004048,454400
1982-02-19,0.580078,0.585938,0.574219,0.574219,0.004048,627200
1982-02-22,0.580078,0.585938,0.574219,0.574219,0.004048,716800
1982-02-23,0.564453,0.572266,0.554688,0.558594,0.003937,1952000
1982-02-24,0.562500,0.568359,0.556641,0.568359,0.004006,812800
1982-02-25,0.587891,0.601563,0.572266,0.583984,0.004116,2668800
1982-02-26,0.589844,0.593750,0.583984,0.593750,0.004185,3539200
1982-03-01,0.595703,0.601563,0.587891,0.601563,0.004240,704000
1982-03-02,0.599609,0.605469,0.593750,0.605469,0.004268,857600
1982-03-03,0.601563,0.605469,0.597656,0.601563,0.004240,1036800
1982-03-04,0.595703,0.601563,0.587891,0.593750,0.004185,3001600
1982-03-05,0.583984,0.589844,0.578125,0.578125,0.004075,2220800
1982-03-08,0.568359,0.587891,0.546875,0.546875,0.003855,2041600
1982-03-09,0.550781,0.560547,0.539063,0.560547,0.003951,2310400
1982-03-10,0.554688,0.558594,0.550781,0.558594,0.003937,492800
1982-03-11,0.578125,0.589844,0.566406,0.587891,0.004144,902400
1982-03-12,0.576172,0.587891,0.562500,0.562500,0.003965,1504000
1982-03-15,0.542969,0.550781,0.535156,0.542969,0.003827,3232000
1982-03-16,0.537109,0.541016,0.531250,0.531250,0.003745,2246400
1982-03-17,0.529297,0.539063,0.519531,0.539063,0.003800,1081600
1982-03-18,0.541016,0.546875,0.535156,0.546875,0.003855,595200
1982-03-19,0.531250,0.546875,0.529297,0.542969,0.003827,1676800
1982-03-22,0.541016,0.546875,0.535156,0.546875,0.003855,339200
1982-03-23,0.554688,0.562500,0.546875,0.562500,0.003965,4185600
1982-03-24,0.556641,0.562500,0.548828,0.550781,0.003882,422400
1982-03-25,0.558594,0.562500,0.554688,0.560547,0.003951,1068800
1982-03-26,0.556641,0.558594,0.552734,0.552734,0.003896,531200
1982-03-29,0.552734,0.556641,0.548828,0.548828,0.003869,211200
1982-03-30,0.544922,0.546875,0.542969,0.542969,0.003827,115200
1982-03-31,0.548828,0.554688,0.541016,0.541016,0.003814,2752000
1982-04-01,0.544922,0.552734,0.537109,0.552734,0.003896,3808000
1982-04-02,0.562500,0.566406,0.556641,0.566406,0.004008,1433600
1982-04-05,0.568359,0.574219,0.562500,0.566406,0.004008,4761600
1982-04-06,0.580078,0.589844,0.570313,0.589844,0.004174,4633600
1982-04-07,0.591797,0.595703,0.587891,0.589844,0.004174,3187200
1982-04-08,0.599609,0.613281,0.583984,0.607422,0.004299,4441600
1982-04-12,0.611328,0.617188,0.603516,0.603516,0.004271,1868800
1982-04-13,0.605469,0.613281,0.595703,0.605469,0.004285,1779200
1982-04-14,0.607422,0.609375,0.605469,0.609375,0.004313,768000
1982-04-15,0.597656,0.601563,0.593750,0.597656,0.004230,3392000
1982-04-16,0.599609,0.603516,0.595703,0.595703,0.004216,1836800
1982-04-19,0.607422,0.613281,0.599609,0.613281,0.004340,10028800
1982-04-20,0.621094,0.636719,0.605469,0.634766,0.004492,3852800
1982-04-21,0.654297,0.671875,0.636719,0.664063,0.004700,11552000
1982-04-22,0.666016,0.669922,0.660156,0.666016,0.004713,4416000
1982-04-23,0.666016,0.671875,0.660156,0.671875,0.004755,2860800
1982-04-26,0.673828,0.679688,0.666016,0.669922,0.004741,1881600
1982-04-27,0.658203,0.666016,0.650391,0.664063,0.004700,3033600
1982-04-28,0.662109,0.666016,0.656250,0.664063,0.004700,3744000
1982-04-29,0.654297,0.664063,0.644531,0.652344,0.004617,1920000
1982-04-30,0.656250,0.664063,0.646484,0.658203,0.004658,5420800
1982-05-03,0.660156,0.666016,0.654297,0.664063,0.004700,1580800
1982-05-04,0.675781,0.683594,0.667969,0.683594,0.004838,9286400
1982-05-05,0.687500,0.693359,0.681641,0.681641,0.004824,2585600
1982-05-06,0.689453,0.695313,0.681641,0.695313,0.004921,1696000
1982-05-07,0.707031,0.720703,0.693359,0.712891,0.005045,5836800
1982-05-10,0.707031,0.710938,0.703125,0.703125,0.004976,2265600
1982-05-11,0.705078,0.714844,0.695313,0.710938,0.005031,1734400
1982-05-12,0.703125,0.714844,0.691406,0.691406,0.004893,6323200
1982-05-13,0.697266,0.703125,0.691406,0.691406,0.004893,1196800
1982-05-14,0.677734,0.683594,0.671875,0.679688,0.004810,2822400
1982-05-17,0.683594,0.687500,0.679688,0.679688,0.004810,2675200
1982-05-18,0.689453,0.699219,0.679688,0.679688,0.004810,2387200
1982-05-19,0.695313,0.712891,0.677734,0.712891,0.005045,3488000
1982-05-20,0.714844,0.716797,0.710938,0.712891,0.005045,4064000
1982-05-21,0.716797,0.722656,0.708984,0.722656,0.005114,2387200
1982-05-24,0.718750,0.726563,0.708984,0.726563,0.005142,4249600
1982-05-25,0.720703,0.722656,0.716797,0.718750,0.005087,3801600
1982-05-26,0.714844,0.716797,0.710938,0.716797,0.005073,2368000
1982-05-27,0.707031,0.712891,0.701172,0.703125,0.004976,2489600
1982-05-28,0.687500,0.701172,0.671875,0.683594,0.004838,1830400
1982-06-01,0.677734,0.683594,0.669922,0.673828,0.004769,5388800
1982-06-02,0.683594,0.687500,0.677734,0.681641,0.004824,3411200
1982-06-03,0.689453,0.695313,0.683594,0.683594,0.004838,2156800
1982-06-04,0.683594,0.687500,0.679688,0.679688,0.004810,1440000
1982-06-07,0.675781,0.679688,0.669922,0.669922,0.004741,1804800
1982-06-08,0.667969,0.677734,0.658203,0.658203,0.004658,2060800
1982-06-09,0.662109,0.664063,0.658203,0.664063,0.004700,2579200
1982-06-10,0.675781,0.683594,0.667969,0.677734,0.004796,934400
1982-06-11,0.708984,0.728516,0.687500,0.714844,0.005059,3494400
1982-06-14,0.722656,0.728516,0.714844,0.726563,0.005142,1523200
1982-06-15,0.726563,0.728516,0.722656,0.726563,0.005142,3065600
1982-06-16,0.730469,0.734375,0.724609,0.726563,0.005142,3436800
1982-06-17,0.726563,0.730469,0.720703,0.724609,0.005128,1798400
1982-06-18,0.718750,0.726563,0.708984,0.708984,0.005017,2476800
1982-06-21,0.703125,0.710938,0.693359,0.710938,0.005031,4160000
1982-06-22,0.720703,0.728516,0.710938,0.728516,0.005156,3020800
1982-06-23,0.724609,0.734375,0.714844,0.734375,0.005197,3603200
1982-06-24,0.734375,0.738281,0.730469,0.734375,0.005197,4019200
1982-06-25,0.734375,0.736328,0.730469,0.734375,0.005197,748800
1982-06-28,0.736328,0.740234,0.730469,0.734375,0.005197,1062400
1982-06-29,0.728516,0.732422,0.722656,0.728516,0.005156,4979200
1982-06-30,0.738281,0.746094,0.730469,0.740234,0.005239,6150400
