Date,Open,High,Low,Close,Adj Close,Volume
2000-04-05,12.923351,14.037434,12.756239,13.814617,9.755785,77084700
2000-04-06,13.703209,14.148841,13.591801,13.870321,9.795123,17167700
2000-04-07,13.703209,13.870321,13.480392,13.647505,9.637773,15131500
2000-04-10,13.758913,13.814617,13.591801,13.758913,9.716449,6324900
2000-04-11,13.647505,13.703209,13.424688,13.480392,9.519760,6087800
2000-04-12,13.591801,14.928699,13.480392,14.427361,10.188500,12169800
2000-04-13,14.483066,15.374331,14.204545,15.151515,10.699892,11922400
2000-04-14,15.095811,15.151515,14.093137,14.148841,9.991810,10659300
2000-04-17,14.260249,14.650178,14.260249,14.371657,10.149165,3951900
2000-04-18,14.427361,14.538770,13.814617,14.371657,10.149165,6083900
2000-04-19,14.427361,14.427361,14.037434,14.260249,10.070487,6001300
2000-04-20,14.037434,14.204545,13.703209,13.758913,9.716449,7755200
2000-04-24,13.814617,14.260249,13.758913,14.204545,10.031147,3494800
2000-04-25,14.204545,14.427361,14.148841,14.260249,10.070487,8311100
2000-04-26,14.204545,14.315953,14.148841,14.315953,10.109822,6666500
2000-04-27,14.204545,14.260249,13.814617,14.204545,10.031147,2788000
2000-04-28,14.204545,15.040107,13.703209,14.761586,10.424525,6977400
2000-05-01,15.262923,16.042780,15.040107,16.042780,11.329295,6605300
2000-05-02,15.708556,15.987077,15.485740,15.875669,11.211287,3514700
2000-05-03,15.819964,15.875669,15.374331,15.597148,11.014595,2223500
2000-05-04,15.485740,15.597148,14.427361,15.597148,11.014595,3848200
2000-05-05,15.374331,15.875669,15.207219,15.652852,11.053932,2043700
2000-05-08,15.931373,16.544117,15.875669,16.042780,11.329295,3250900
2000-05-09,16.209892,16.377005,14.928699,15.262923,10.778567,4750800
2000-05-10,15.151515,15.875669,15.151515,15.652852,11.053932,3684000
2000-05-11,15.708556,16.321301,15.485740,16.042780,11.329295,3363000
2000-05-12,16.154188,16.544117,16.098484,16.432709,11.604662,2162300
2000-05-15,16.934046,17.156862,16.599821,16.878342,11.919368,3025800
2000-05-16,16.934046,17.435383,16.766933,16.989750,11.998038,5590500
2000-05-17,16.989750,17.546791,16.377005,16.989750,11.998038,1769600
2000-05-18,16.934046,17.045454,16.655525,16.864349,11.909484,3207300
2000-05-19,16.488413,16.488413,15.931373,16.209892,11.447311,4300100
2000-05-22,16.265596,16.377005,15.485740,16.265596,11.486646,1921600
2000-05-23,16.265596,16.934046,16.265596,16.822638,11.880030,2349300
2000-05-24,16.822638,17.379679,16.599821,17.268270,12.194732,1765000
2000-05-25,17.212566,17.268270,16.711229,17.101158,12.076718,1944000
2000-05-26,17.045454,17.658199,16.878342,17.602495,12.430758,2967200
2000-05-30,17.769608,17.936720,17.379679,17.713903,12.509431,3622900
2000-05-31,17.713903,18.270945,17.268270,18.270945,12.902809,3982600
2000-06-01,18.215240,18.270945,17.769608,17.825312,12.588108,3229500
2000-06-02,18.716578,18.772282,18.159536,18.716578,13.217514,3866500
2000-06-05,18.270945,18.605169,18.159536,18.326649,12.942149,2666200
2000-06-06,18.605169,18.605169,18.159536,18.215240,12.863476,3314200
2000-06-07,18.270945,18.438057,18.103832,18.438057,13.020823,1034900
2000-06-08,18.326649,18.382353,18.048128,18.215240,12.863476,1083000
2000-06-09,18.270945,18.716578,18.270945,18.716578,13.217514,1342800
2000-06-12,18.493761,18.549465,17.546791,18.215240,12.863476,1203400
2000-06-13,18.438057,18.549465,17.992424,18.549465,13.099503,1093800
2000-06-14,18.326649,18.382353,17.658199,17.825312,12.588108,2592200
2000-06-15,17.825312,18.048128,17.713903,17.825312,12.588108,2809900
2000-06-16,17.992424,18.048128,17.602495,17.881016,12.627447,3592700
2000-06-19,17.825312,17.936720,17.602495,17.825312,12.588108,1431100
2000-06-20,17.713903,17.881016,16.544117,16.766933,11.840688,3278500
2000-06-21,16.766933,17.045454,16.154188,16.488413,11.644000,2741600
2000-06-22,16.655525,17.379679,16.488413,17.101158,12.076718,2202800
2000-06-23,16.934046,17.379679,16.711229,17.212566,12.155391,2425300
2000-06-26,17.825312,17.936720,17.045454,17.101158,12.076718,1898000
2000-06-27,17.323975,18.270945,17.101158,17.713903,12.509431,2291400
2000-06-28,18.048128,18.215240,17.268270,17.491087,12.352084,3952600
2000-06-29,17.713903,19.217915,17.491087,18.995098,13.414206,5514200
2000-06-30,19.385027,19.552139,16.934046,18.688681,13.197814,4954000
2000-07-03,18.493761,19.162210,18.438057,19.050802,13.453541,922200
2000-07-05,18.939394,18.939394,18.270945,18.827986,13.296190,2297800
2000-07-06,18.382353,19.607843,18.326649,19.496435,13.768245,1764100
2000-07-07,19.385027,19.663548,19.329323,19.496435,13.768245,1672300
2000-07-10,19.385027,19.496435,19.106506,19.106506,13.492883,923000
2000-07-11,18.995098,19.050802,18.270945,18.549465,13.099503,1630800
2000-07-12,18.493761,18.605169,17.881016,18.215240,12.863476,2226300
2000-07-13,18.215240,18.215240,17.658199,17.658199,12.470095,2124300
2000-07-14,17.658199,18.827986,17.658199,18.605169,13.138842,1449000
2000-07-17,18.493761,18.493761,17.992424,18.103832,12.784801,626400
2000-07-18,17.881016,18.215240,17.881016,18.159536,12.824137,2688600
2000-07-19,18.215240,18.549465,17.936720,18.215240,12.863476,1516800
2000-07-20,18.326649,18.883690,18.326649,18.326649,12.942149,2468100
2000-07-21,18.493761,18.716578,18.326649,18.493761,13.060161,890300
2000-07-24,18.103832,18.270945,17.825312,18.270945,12.902809,860000
2000-07-25,18.159536,18.883690,18.048128,18.716578,13.217514,1466700
2000-07-26,18.716578,18.939394,18.438057,18.549465,13.099503,1390900
2000-07-27,18.549465,18.939394,18.048128,18.215240,12.863476,1563100
2000-07-28,17.881016,18.215240,17.825312,18.103832,12.784801,911900
2000-07-31,18.270945,18.827986,17.992424,18.716578,13.217514,2730000
2000-08-01,18.660873,18.939394,18.493761,18.827986,13.296190,2287500
2000-08-02,18.716578,18.827986,18.438057,18.605169,13.138842,1530700
2000-08-03,18.605169,18.660873,17.658199,17.936720,12.666786,3767700
2000-08-04,17.936720,18.103832,17.268270,18.103832,12.784801,4718200
2000-08-07,18.438057,19.942068,18.382353,19.942068,14.082943,4259500
2000-08-08,21.278967,21.724600,20.721926,20.777630,14.673020,11405100
2000-08-09,20.721926,21.167559,20.164885,20.276293,14.318976,3920700
2000-08-10,20.499109,21.390375,20.276293,20.499109,14.476324,4870800
2000-08-11,21.390375,21.613192,20.889038,21.390375,15.105733,2556300
2000-08-14,21.390375,21.501783,20.499109,20.499109,14.476324,1473900
2000-08-15,21.334671,21.446079,21.000446,21.223263,14.987714,1746600
2000-08-16,21.334671,21.390375,20.666222,20.944742,14.791024,907100
2000-08-17,21.278967,21.501783,20.944742,21.334671,15.066390,1054000
2000-08-18,21.000446,21.446079,20.944742,21.334671,15.066390,1191200
2000-08-21,21.223263,21.446079,20.610518,20.944742,14.791024,1030600
2000-08-22,21.278967,21.557487,20.833334,21.390375,15.105733,2063400
2000-08-23,21.167559,22.281639,21.111855,22.225935,15.695801,1526500
2000-08-24,22.170231,22.393047,21.501783,21.613192,15.263085,1665000
2000-08-25,21.668896,21.668896,21.000446,21.056150,14.869702,808500
2000-08-28,20.944742,21.167559,20.833334,20.944742,14.791024,1019600
2000-08-29,21.056150,21.613192,20.944742,21.390375,15.105733,1391500
2000-08-30,21.390375,22.170231,21.334671,22.114527,15.617116,2070800
2000-08-31,22.114527,22.225935,21.557487,21.668896,15.302423,1320300
2000-09-01,21.836008,22.448751,21.390375,22.170231,15.656458,1860900
2000-09-05,21.724600,22.225935,21.167559,21.613192,15.263085,2147100
2000-09-06,21.836008,22.058823,21.780304,21.836008,15.420431,1396800
2000-09-07,22.058823,22.225935,21.724600,21.947414,15.499108,1563900
