Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,4.937500,4.989583,4.937500,4.937500,0.143026,766800
1980-03-18,4.906250,4.906250,4.812500,4.854167,0.140612,86400
1980-03-19,4.854167,4.875000,4.770833,4.791667,0.138802,105600
1980-03-20,4.791667,4.864583,4.750000,4.791667,0.138802,99600
1980-03-21,4.791667,4.812500,4.750000,4.781250,0.138500,307200
1980-03-24,4.781250,4.833333,4.760417,4.760417,0.137896,43200
1980-03-25,4.593750,4.593750,4.520833,4.541667,0.131560,132000
1980-03-26,4.552083,4.625000,4.552083,4.572917,0.132465,103200
1980-03-27,4.541667,4.541667,4.468750,4.489583,0.130051,44400
1980-03-28,4.489583,4.500000,4.479167,4.500000,0.130353,98400
1980-03-31,4.500000,4.520833,4.437500,4.500000,0.130353,379200
1980-04-01,4.500000,4.500000,4.479167,4.479167,0.129749,381600
1980-04-02,4.479167,4.500000,4.479167,4.500000,0.130353,524400
1980-04-03,4.500000,4.531250,4.500000,4.510417,0.130655,451200
1980-04-07,4.510417,4.552083,4.500000,4.531250,0.131258,66000
1980-04-08,4.541667,4.635417,4.541667,4.635417,0.134276,175200
1980-04-09,4.666667,4.708333,4.666667,4.697917,0.136086,129600
1980-04-10,4.750000,4.875000,4.750000,4.833333,0.140009,112800
1980-04-11,4.854167,5.000000,4.854167,5.000000,0.144836,43200
1980-04-14,4.947917,4.947917,4.802083,4.802083,0.139103,106800
1980-04-15,4.781250,4.781250,4.697917,4.739583,0.137293,244800
1980-04-16,4.739583,4.739583,4.687500,4.697917,0.136086,399600
1980-04-17,4.697917,4.739583,4.697917,4.729167,0.136991,154800
1980-04-18,4.729167,4.729167,4.645833,4.645833,0.134577,252000
1980-04-21,4.645833,4.645833,4.625000,4.625000,0.133974,51600
1980-04-22,4.625000,4.729167,4.604167,4.729167,0.136991,170400
1980-04-23,4.729167,4.739583,4.687500,4.687500,0.135784,133200
1980-04-24,4.666667,4.666667,4.625000,4.656250,0.134879,154800
1980-04-25,4.666667,4.687500,4.666667,4.687500,0.135784,166800
1980-04-28,4.687500,4.718750,4.645833,4.666667,0.135181,138000
1980-04-29,4.666667,4.729167,4.666667,4.729167,0.136991,117600
1980-04-30,4.729167,4.729167,4.687500,4.718750,0.136690,252000
1980-05-01,4.718750,4.729167,4.708333,4.718750,0.136690,78000
1980-05-02,4.708333,4.708333,4.666667,4.666667,0.135181,130800
1980-05-05,4.666667,4.708333,4.656250,4.708333,0.136388,92400
1980-05-06,4.697917,4.697917,4.666667,4.677083,0.135482,130800
1980-05-07,4.677083,4.708333,4.666667,4.708333,0.136388,241200
1980-05-08,4.708333,4.708333,4.656250,4.656250,0.134879,56400
1980-05-09,4.656250,4.677083,4.656250,4.677083,0.135482,516000
1980-05-12,4.666667,4.666667,4.645833,4.666667,0.135181,331200
1980-05-13,4.666667,4.687500,4.645833,4.666667,0.135181,88800
1980-05-14,4.666667,4.708333,4.666667,4.677083,0.135482,474000
1980-05-15,4.677083,4.687500,4.666667,4.687500,0.135784,265200
1980-05-16,4.687500,4.802083,4.687500,4.802083,0.139103,99600
1980-05-19,4.791667,4.791667,4.750000,4.781250,0.138500,267600
1980-05-20,4.770833,4.770833,4.750000,4.750000,0.137595,470400
1980-05-21,4.750000,4.760417,4.687500,4.718750,0.136690,205200
