Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.329826,3.413771,3.329826,3.329826,1.651210,405600
1980-03-18,3.609644,3.693589,3.609644,3.609644,1.789966,672800
1980-03-19,3.609644,3.693589,3.609644,3.609644,1.789966,275200
1980-03-20,3.609644,3.693589,3.609644,3.609644,1.789966,212600
1980-03-21,3.609644,3.637625,3.553680,3.553680,1.762214,260000
1980-03-24,3.469735,3.469735,3.385790,3.385790,1.678960,315400
1980-03-25,3.385790,3.441753,3.357808,3.357808,1.665085,298400
1980-03-26,3.441753,3.525698,3.441753,3.441753,1.706712,477100
1980-03-27,3.329826,3.329826,3.245881,3.245881,1.609581,604900
1980-03-28,3.357808,3.441753,3.357808,3.357808,1.665085,747800
1980-03-31,3.525698,3.609644,3.525698,3.525698,1.748339,344000
1980-04-01,3.665607,3.749552,3.665607,3.665607,1.817717,713000
1980-04-02,3.665607,3.749552,3.665607,3.665607,1.817717,231400
1980-04-03,3.665607,3.721570,3.637625,3.637625,1.803842,402000
1980-04-07,3.581662,3.581662,3.497717,3.497717,1.734463,233200
1980-04-08,3.525698,3.609644,3.525698,3.525698,1.748339,541400
1980-04-09,3.581662,3.665607,3.581662,3.581662,1.776089,447600
1980-04-10,3.637625,3.721570,3.637625,3.637625,1.803842,379700
1980-04-11,3.637625,3.721570,3.637625,3.637625,1.803842,427100
1980-04-14,3.637625,3.693589,3.609644,3.609644,1.789966,195700
1980-04-15,3.637625,3.721570,3.637625,3.637625,1.803842,293000
1980-04-16,3.637625,3.693589,3.609644,3.609644,1.789966,471700
1980-04-17,3.609644,3.637625,3.553680,3.553680,1.762214,235900
1980-04-18,3.581662,3.665607,3.581662,3.581662,1.776089,167100
1980-04-21,3.581662,3.581662,3.497717,3.497717,1.734463,120600
1980-04-22,3.721570,3.805516,3.721570,3.721570,1.845469,487800
1980-04-23,3.721570,3.805516,3.721570,3.721570,1.845469,388600
1980-04-24,3.777534,3.861479,3.777534,3.777534,1.873220,235000
1980-04-25,3.777534,3.833498,3.749552,3.749552,1.859345,270700
1980-04-28,3.833498,3.917443,3.833498,3.833498,1.900971,230500
1980-04-29,3.917443,4.001388,3.917443,3.917443,1.942600,349300
1980-04-30,3.917443,3.973406,3.889461,3.889461,1.928723,425300
1980-05-01,3.917443,4.001388,3.917443,3.917443,1.942600,679900
1980-05-02,3.973406,4.057352,3.973406,3.973406,1.970349,420800
1980-05-05,4.029370,4.113315,4.029370,4.029370,1.998101,290400
1980-05-06,4.029370,4.085333,4.001388,4.001388,1.984225,435100
1980-05-07,4.029370,4.113315,4.029370,4.029370,1.998101,457400
1980-05-08,4.029370,4.057352,3.973406,3.973406,1.970349,596800
1980-05-09,3.917443,3.917443,3.833498,3.833498,1.900971,237700
1980-05-12,3.833498,3.833498,3.749552,3.749552,1.859345,327000
1980-05-13,3.805516,3.889461,3.805516,3.805516,1.887095,358300
1980-05-14,3.861479,3.945424,3.861479,3.861479,1.914848,169800
1980-05-15,4.057352,4.141296,4.057352,4.057352,2.011977,695100
1980-05-16,4.085333,4.169278,4.085333,4.085333,2.025852,511900
1980-05-19,4.113315,4.197260,4.113315,4.113315,2.039729,207300
1980-05-20,4.169278,4.253223,4.169278,4.169278,2.067479,533400
