Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.796875,0.859375,0.796875,0.796875,0.127786,768000
1980-03-18,0.796875,0.807292,0.786458,0.807292,0.129457,595200
1980-03-19,0.817708,0.843750,0.817708,0.833333,0.133633,796800
1980-03-20,0.833333,0.833333,0.812500,0.822917,0.131962,201600
1980-03-21,0.822917,0.822917,0.807292,0.807292,0.129457,206400
1980-03-24,0.807292,0.807292,0.776042,0.776042,0.124445,240000
1980-03-25,0.770833,0.770833,0.710938,0.721354,0.115676,830400
1980-03-26,0.721354,0.734375,0.721354,0.723958,0.116094,240000
1980-03-27,0.718750,0.718750,0.625000,0.661458,0.106071,1684800
1980-03-28,0.705729,0.744792,0.705729,0.744792,0.119434,1056000
1980-03-31,0.757813,0.781250,0.757813,0.773438,0.124028,676800
1980-04-01,0.778646,0.812500,0.778646,0.812500,0.130292,403200
1980-04-02,0.812500,0.812500,0.807292,0.812500,0.130292,643200
1980-04-03,0.817708,0.838542,0.817708,0.825521,0.132380,1934400
1980-04-07,0.825521,0.833333,0.809896,0.809896,0.129874,643200
1980-04-08,0.794271,0.794271,0.768229,0.773438,0.124028,432000
1980-04-09,0.773438,0.783854,0.760417,0.760417,0.121940,331200
1980-04-10,0.768229,0.778646,0.768229,0.773438,0.124028,652800
1980-04-11,0.773438,0.781250,0.770833,0.781250,0.125281,369600
1980-04-14,0.781250,0.781250,0.760417,0.765625,0.122775,451200
1980-04-15,0.763021,0.763021,0.760417,0.760417,0.121940,52800
1980-04-16,0.760417,0.770833,0.757813,0.760417,0.121940,384000
1980-04-17,0.755208,0.755208,0.744792,0.747396,0.119852,403200
1980-04-18,0.747396,0.750000,0.739583,0.739583,0.118599,110400
1980-04-21,0.739583,0.739583,0.710938,0.710938,0.114005,758400
1980-04-22,0.710938,0.729167,0.710938,0.729167,0.116929,1036800
1980-04-23,0.736979,0.757813,0.736979,0.757813,0.121522,561600
1980-04-24,0.757813,0.776042,0.757813,0.776042,0.124445,321600
1980-04-25,0.776042,0.783854,0.768229,0.781250,0.125281,230400
1980-04-28,0.789063,0.820313,0.789063,0.812500,0.130292,619200
1980-04-29,0.812500,0.822917,0.812500,0.815104,0.130710,398400
1980-04-30,0.820313,0.854167,0.820313,0.854167,0.136974,648000
1980-05-01,0.854167,0.869792,0.822917,0.822917,0.131962,388800
1980-05-02,0.822917,0.822917,0.815104,0.817708,0.131127,235200
1980-05-05,0.822917,0.859375,0.822917,0.848958,0.136138,705600
1980-05-06,0.848958,0.895833,0.843750,0.875000,0.140315,508800
1980-05-07,0.880208,0.921875,0.880208,0.914063,0.146578,912000
1980-05-08,0.914063,0.932292,0.911458,0.916667,0.146996,715200
1980-05-09,0.916667,0.916667,0.895833,0.895833,0.143655,945600
1980-05-12,0.890625,0.890625,0.880208,0.882813,0.141567,1358400
1980-05-13,0.888021,0.916667,0.888021,0.916667,0.146996,446400
1980-05-14,0.927083,0.947917,0.927083,0.945313,0.151590,696000
1980-05-15,0.945313,0.989583,0.942708,0.979167,0.157019,1180800
1980-05-16,0.973958,0.973958,0.958333,0.966146,0.154930,499200
1980-05-19,0.968750,0.979167,0.968750,0.976563,0.156601,571200
1980-05-20,0.973958,0.973958,0.927083,0.934896,0.149919,1632000
1980-05-21,0.934896,0.937500,0.911458,0.927083,0.148666,609600
1980-05-22,0.927083,0.947917,0.924479,0.942708,0.151172,566400
1980-05-23,0.942708,0.968750,0.942708,0.968750,0.155348,513600
1980-05-27,0.968750,0.973958,0.960938,0.960938,0.154095,408000
1980-05-28,0.960938,0.960938,0.947917,0.958333,0.153678,571200
1980-05-29,0.958333,0.968750,0.953125,0.953125,0.152842,345600
1980-05-30,0.950521,0.950521,0.932292,0.945313,0.151590,840000
1980-06-02,0.945313,0.950521,0.945313,0.947917,0.152007,211200
1980-06-03,0.947917,0.953125,0.945313,0.950521,0.152425,422400
1980-06-04,0.950521,0.958333,0.947917,0.958333,0.153678,643200
1980-06-05,0.963542,0.976563,0.963542,0.968750,0.155348,307200
1980-06-06,0.966146,0.966146,0.958333,0.960938,0.154095,2376000
1980-06-09,0.960938,0.971354,0.953125,0.968750,0.155348,388800
1980-06-10,0.968750,0.981771,0.968750,0.981771,0.157436,576000
1980-06-11,0.981771,0.981771,0.973958,0.979167,0.157019,240000
1980-06-12,0.979167,0.981771,0.968750,0.979167,0.157019,364800
1980-06-13,0.979167,0.986979,0.971354,0.971354,0.155766,379200
1980-06-16,0.966146,0.966146,0.947917,0.963542,0.154513,432000
1980-06-17,0.963542,0.968750,0.963542,0.966146,0.154930,691200
1980-06-18,0.966146,0.966146,0.942708,0.955729,0.153260,508800
1980-06-19,0.955729,0.958333,0.947917,0.947917,0.152007,379200
1980-06-20,0.947917,0.947917,0.937500,0.945313,0.151590,321600
1980-06-23,0.950521,0.986979,0.950521,0.986979,0.158271,648000
1980-06-24,0.986979,1.010417,0.981771,1.010417,0.162030,432000
1980-06-25,1.013021,1.041667,1.013021,1.013021,0.162447,691200
1980-06-26,1.013021,1.031250,1.013021,1.013021,0.162447,604800
1980-06-27,1.007813,1.007813,0.994792,1.000000,0.160359,235200
1980-06-30,0.994792,0.994792,0.981771,0.984375,0.157854,465600
1980-07-01,0.984375,0.994792,0.979167,0.989583,0.158689,206400
1980-07-02,0.989583,0.994792,0.984375,0.994792,0.159524,120000
