Date,Open,High,Low,Close,Adj Close,Volume
1985-07-01,6.543210,6.716050,6.543210,6.716050,1.474987,200700
1985-07-02,6.716050,6.790120,6.691360,6.790120,1.491254,271300
1985-07-03,6.790120,6.814810,6.716050,6.716050,1.474987,263200
1985-07-05,6.740740,6.839510,6.740740,6.839510,1.502101,102600
1985-07-08,6.765430,6.765430,6.716050,6.765430,1.485832,72900
1985-07-09,6.765430,6.765430,6.666670,6.691360,1.469564,137700
1985-07-10,6.666670,6.666670,6.592590,6.641980,1.458719,81900
1985-07-11,6.641980,6.716050,6.641980,6.666670,1.464142,136500
1985-07-12,6.666670,6.716050,6.567900,6.641980,1.458719,610300
1985-07-15,6.617280,6.617280,6.518520,6.567900,1.442449,392100
1985-07-16,6.567900,6.617280,6.493830,6.617280,1.453295,353200
1985-07-17,6.617280,6.765430,6.617280,6.641980,1.458719,374500
1985-07-18,6.641980,6.691360,6.543210,6.592590,1.447872,125500
1985-07-19,6.592590,6.666670,6.592590,6.617280,1.453295,222000
1985-07-22,6.617280,6.617280,6.567900,6.592590,1.447872,82900
1985-07-23,6.592590,6.617280,6.567900,6.592590,1.447872,180100
1985-07-24,6.592590,6.592590,6.567900,6.592590,1.447872,64900
1985-07-25,6.592590,6.617280,6.543210,6.592590,1.447872,599500
1985-07-26,6.617280,6.666670,6.617280,6.617280,1.453295,107500
1985-07-29,6.617280,6.691360,6.617280,6.691360,1.469564,148000
1985-07-30,6.691360,6.691360,6.641980,6.666670,1.464142,58000
1985-07-31,6.666670,6.691360,6.641980,6.666670,1.464142,54600
1985-08-01,6.666670,6.765430,6.641980,6.740740,1.480409,191200
1985-08-02,6.740740,6.814810,6.740740,6.740740,1.480409,64000
1985-08-05,6.740740,6.765430,6.666670,6.691360,1.469564,173400
1985-08-06,6.691360,6.740740,6.617280,6.666670,1.464142,373500
1985-08-07,6.666670,6.716050,6.666670,6.666670,1.464142,193600
1985-08-08,6.666670,6.740740,6.666670,6.740740,1.480409,155800
1985-08-09,6.740740,6.790120,6.716050,6.716050,1.474987,64800
1985-08-12,6.716050,6.765430,6.691360,6.691360,1.469564,98100
1985-08-13,6.691360,6.691360,6.641980,6.641980,1.458719,118800
1985-08-14,6.617280,6.617280,6.518520,6.543210,1.449095,158100
1985-08-15,6.543210,6.567900,6.543210,6.543210,1.449095,38700
1985-08-16,6.543210,6.567900,6.518520,6.518520,1.443628,38700
1985-08-19,6.518520,6.592590,6.493830,6.592590,1.460030,257400
1985-08-20,6.592590,6.592590,6.543210,6.543210,1.449095,45900
1985-08-21,6.543210,6.592590,6.543210,6.592590,1.460030,374800
1985-08-22,6.641980,6.691360,6.641980,6.641980,1.470969,95400
1985-08-23,6.666670,6.716050,6.666670,6.691360,1.481905,47400
1985-08-26,6.691360,6.814810,6.691360,6.716050,1.487373,214600
1985-08-27,6.716050,6.740740,6.666670,6.740740,1.492840,54000
1985-08-28,6.740740,6.740740,6.666670,6.691360,1.481905,60900
1985-08-29,6.691360,6.716050,6.666670,6.666670,1.476437,114700
1985-08-30,6.666670,6.691360,6.592590,6.641980,1.470969,75100
1985-09-03,6.592590,6.592590,6.493830,6.493830,1.438158,75700
1985-09-04,6.518520,6.641980,6.518520,6.567900,1.454562,262500
1985-09-05,6.567900,6.592590,6.469140,6.493830,1.438158,117600
1985-09-06,6.493830,6.567900,6.493830,6.567900,1.454562,295800
