Date,Open,High,Low,Close,Adj Close,Volume
1985-07-01,2.046880,2.109380,2.046880,2.062500,0.722449,178400
1985-07-02,2.062500,2.062500,2.015620,2.031250,0.711503,337600
1985-07-03,2.046880,2.093750,2.046880,2.093750,0.733396,1909600
1985-07-05,2.093750,2.093750,2.078120,2.078120,0.727921,116800
1985-07-08,2.078120,2.093750,2.062500,2.093750,0.733396,158400
1985-07-09,2.093750,2.093750,2.031250,2.062500,0.722449,261600
1985-07-10,2.062500,2.062500,1.984380,2.015620,0.706028,1311200
1985-07-11,2.015620,2.093750,2.015620,2.062500,0.722449,1032800
1985-07-12,2.062500,2.093750,2.046880,2.062500,0.722449,1602400
1985-07-15,2.062500,2.125000,2.062500,2.125000,0.744342,782400
1985-07-16,2.125000,2.187500,2.109380,2.187500,0.766234,472800
1985-07-17,2.203120,2.281250,2.203120,2.265620,0.793598,1344000
1985-07-18,2.265620,2.281250,2.218750,2.234380,0.782656,608800
1985-07-19,2.234380,2.281250,2.234380,2.250000,0.788127,1107200
1985-07-22,2.250000,2.250000,2.218750,2.250000,0.788127,449600
1985-07-23,2.250000,2.250000,2.203120,2.234380,0.782656,228000
1985-07-24,2.234380,2.234380,2.171880,2.187500,0.766234,293600
1985-07-25,2.187500,2.187500,2.156250,2.156250,0.755288,116800
1985-07-26,2.156250,2.171880,2.125000,2.140620,0.749814,529600
1985-07-29,2.140620,2.140620,2.062500,2.093750,0.733396,158400
1985-07-30,2.078120,2.078120,1.968750,2.000000,0.700557,301600
1985-07-31,2.000000,2.031250,1.984380,2.000000,0.700557,252000
1985-08-01,2.000000,2.031250,1.984380,2.015620,0.706028,217600
1985-08-02,2.015620,2.015620,1.984380,1.984380,0.695086,313600
1985-08-05,1.968750,1.968750,1.890620,1.921880,0.673193,208800
1985-08-06,1.921880,1.921880,1.796880,1.875000,0.656772,649600
1985-08-07,1.875000,1.875000,1.859380,1.875000,0.656772,155200
1985-08-08,1.875000,1.875000,1.750000,1.812500,0.634880,1389600
1985-08-09,1.828120,1.875000,1.828120,1.875000,0.656772,577600
1985-08-12,1.875000,1.890620,1.843750,1.843750,0.645826,57600
1985-08-13,1.843750,1.843750,1.828120,1.828120,0.640352,336800
1985-08-14,1.828120,1.828120,1.812500,1.812500,0.634880,112800
1985-08-15,1.812500,1.843750,1.796880,1.828120,0.640352,34400
1985-08-16,1.828120,1.843750,1.781250,1.781250,0.623934,68800
1985-08-19,1.781250,1.812500,1.750000,1.750000,0.612987,334400
1985-08-20,1.750000,1.781250,1.750000,1.750000,0.612987,911200
1985-08-21,1.750000,1.765620,1.734380,1.750000,0.612987,513600
1985-08-22,1.750000,1.796880,1.750000,1.765620,0.618459,130400
1985-08-23,1.765620,1.781250,1.750000,1.781250,0.623934,81600
1985-08-26,1.781250,1.796880,1.750000,1.750000,0.612987,69600
1985-08-27,1.750000,1.765620,1.750000,1.765620,0.618459,130400
1985-08-28,1.765620,1.765620,1.703120,1.703120,0.596567,258400
1985-08-29,1.703120,1.734380,1.703120,1.718750,0.602041,772000
1985-08-30,1.750000,1.796880,1.750000,1.796880,0.629408,383200
1985-09-03,1.796880,1.828120,1.750000,1.781250,0.623934,148800
1985-09-04,1.781250,1.812500,1.765620,1.796880,0.629408,159200
1985-09-05,1.796880,1.796880,1.703120,1.750000,0.612987,127200
1985-09-06,1.734380,1.734380,1.687500,1.734380,0.607516,158400
1985-09-09,1.718750,1.718750,1.671880,1.703120,0.597859,79200
1985-09-10,1.703120,1.718750,1.671880,1.687500,0.592376,77600
1985-09-11,1.671880,1.671880,1.609380,1.609380,0.564953,193600
1985-09-12,1.609380,1.609380,1.531250,1.531250,0.537526,200800
1985-09-13,1.531250,1.546880,1.484380,1.500000,0.526556,352000
1985-09-16,1.484380,1.484380,1.375000,1.437500,0.504616,292800
1985-09-17,1.437500,1.500000,1.406250,1.500000,0.526556,172000
1985-09-18,1.500000,1.562500,1.484380,1.500000,0.526556,443200
1985-09-19,1.500000,1.562500,1.500000,1.546880,0.543013,252800
1985-09-20,1.546880,1.593750,1.531250,1.531250,0.537526,258400
1985-09-23,1.531250,1.593750,1.531250,1.562500,0.548496,304800
1985-09-24,1.562500,1.562500,1.531250,1.546880,0.543013,73600
1985-09-25,1.546880,1.546880,1.515620,1.515620,0.532040,43200
1985-09-26,1.515620,1.531250,1.515620,1.531250,0.537526,152000
1985-09-30,1.531250,1.546880,1.500000,1.546880,0.543013,160800
1985-10-01,1.515620,1.546880,1.515620,1.531250,0.537526,292800
1985-10-02,1.546880,1.593750,1.546880,1.578120,0.553979,323200
1985-10-03,1.578120,1.609380,1.562500,1.562500,0.548496,138400
1985-10-04,1.562500,1.593750,1.562500,1.593750,0.559466,825600
1985-10-07,1.578120,1.578120,1.562500,1.578120,0.553979,58400
1985-10-08,1.578120,1.578120,1.546880,1.562500,0.548496,48000
1985-10-09,1.562500,1.578120,1.546880,1.562500,0.548496,121600
1985-10-10,1.562500,1.562500,1.500000,1.500000,0.526556,1608800
1985-10-11,1.500000,1.515620,1.453120,1.468750,0.515587,104800
1985-10-14,1.468750,1.484380,1.421880,1.453120,0.510100,352800
1985-10-15,1.453120,1.468750,1.406250,1.421880,0.499133,174400
1985-10-16,1.421880,1.484380,1.390620,1.406250,0.493646,161600
1985-10-17,1.406250,1.406250,1.312500,1.312500,0.460737,1176800
1985-10-18,1.312500,1.343750,1.296880,1.328120,0.466220,724000
1985-10-21,1.328120,1.343750,1.312500,1.343750,0.471707,629600
1985-10-22,1.343750,1.375000,1.312500,1.328120,0.466220,3619200
1985-10-23,1.343750,1.406250,1.343750,1.390620,0.488160,1214400
1985-10-24,1.390620,1.390620,1.375000,1.390620,0.488160,395200
1985-10-25,1.390620,1.406250,1.375000,1.375000,0.482677,192800
1985-10-28,1.375000,1.406250,1.375000,1.390620,0.488160,152800
1985-10-29,1.390620,1.406250,1.390620,1.406250,0.493646,244800
1985-10-30,1.406250,1.421880,1.390620,1.390620,0.488160,248000
1985-10-31,1.390620,1.406250,1.359380,1.375000,0.482677,150400
1985-11-01,1.375000,1.375000,1.343750,1.359380,0.477193,87200
1985-11-04,1.359380,1.390620,1.359380,1.375000,0.482677,632000
1985-11-05,1.375000,1.390620,1.359380,1.375000,0.482677,322400
1985-11-06,1.375000,1.390620,1.359380,1.375000,0.482677,519200
1985-11-07,1.375000,1.421880,1.359380,1.421880,0.499133,1216800
1985-11-08,1.421880,1.484380,1.406250,1.484380,0.521073,267200
1985-11-11,1.484380,1.546880,1.484380,1.546880,0.543013,400800
1985-11-12,1.546880,1.640620,1.546880,1.625000,0.570436,644800
1985-11-13,1.656250,1.718750,1.656250,1.703120,0.597859,2444800
1985-11-14,1.703120,1.750000,1.703120,1.718750,0.603346,2525600
1985-11-15,1.718750,1.718750,1.671880,1.703120,0.597859,281600
1985-11-18,1.703120,1.703120,1.671880,1.703120,0.597859,632800
1985-11-19,1.703120,1.703120,1.656250,1.656250,0.581406,321600
1985-11-20,1.656250,1.656250,1.625000,1.625000,0.570436,496800
1985-11-21,1.625000,1.718750,1.625000,1.718750,0.603346,896800
1985-11-22,1.703120,1.703120,1.671880,1.687500,0.592376,363200
1985-11-25,1.687500,1.703120,1.671880,1.703120,0.597859,325600
1985-11-26,1.703120,1.703120,1.656250,1.687500,0.592376,164800
1985-11-27,1.687500,1.687500,1.656250,1.687500,0.592376,84000
