Date,Open,High,Low,Close,Adj Close,Volume
1983-04-06,7.375000,7.437500,7.156250,7.156250,2.089697,169200
1983-04-07,7.218750,7.250000,7.125000,7.125000,2.080571,46400
1983-04-08,7.218750,7.250000,7.156250,7.250000,2.117073,148400
1983-04-11,7.437500,7.625000,7.343750,7.625000,2.226577,138000
1983-04-12,7.625000,7.875000,7.625000,7.875000,2.299580,109200
1983-04-13,7.937500,7.968750,7.906250,7.968750,2.326954,95600
1983-04-14,7.906250,7.906250,7.750000,7.812500,2.281330,150400
1983-04-15,7.750000,7.781250,7.562500,7.562500,2.208325,216800
1983-04-18,7.562500,7.687500,7.468750,7.687500,2.251527,190800
1983-04-19,7.687500,7.781250,7.593750,7.750000,2.269832,103600
1983-04-20,7.687500,7.781250,7.687500,7.750000,2.269832,161200
1983-04-21,7.781250,8.000000,7.750000,7.937500,2.324747,323600
1983-04-22,7.906250,7.906250,7.687500,7.750000,2.269832,130000
1983-04-25,7.562500,7.687500,7.437500,7.437500,2.178305,175200
1983-04-26,7.375000,7.500000,7.250000,7.281250,2.132542,170400
1983-04-27,7.187500,7.375000,6.968750,7.031250,2.059322,191600
1983-04-28,7.125000,7.250000,7.000000,7.156250,2.095933,959600
1983-04-29,7.218750,7.281250,7.125000,7.218750,2.114239,400800
1983-05-02,7.125000,7.250000,7.000000,7.250000,2.123391,140400
1983-05-03,7.000000,7.093750,6.937500,7.031250,2.059322,214400
1983-05-04,7.156250,7.250000,7.062500,7.125000,2.086780,188400
1983-05-05,7.125000,7.156250,7.062500,7.062500,2.068474,92800
1983-05-06,7.093750,7.468750,7.093750,7.437500,2.178305,522800
1983-05-09,7.437500,7.468750,7.343750,7.437500,2.178305,167600
1983-05-10,7.406250,7.500000,7.281250,7.312500,2.141695,318800
1983-05-11,7.375000,7.375000,7.000000,7.125000,2.086780,630000
1983-05-12,7.156250,7.156250,7.062500,7.062500,2.068474,453200
1983-05-13,7.093750,7.468750,7.093750,7.406250,2.169152,372800
1983-05-16,7.343750,7.343750,7.218750,7.281250,2.132542,176400
1983-05-17,7.343750,7.437500,7.250000,7.281250,2.132542,403600
1983-05-18,7.312500,7.343750,7.218750,7.281250,2.132542,183600
1983-05-19,7.187500,7.250000,6.968750,7.031250,2.059322,159200
1983-05-20,7.031250,7.062500,6.843750,7.062500,2.068474,146000
1983-05-23,7.000000,7.250000,6.968750,7.250000,2.123391,194000
1983-05-24,7.187500,7.312500,7.156250,7.187500,2.105085,259200
1983-05-25,7.250000,7.437500,7.250000,7.437500,2.178305,369200
1983-05-26,7.468750,7.468750,7.312500,7.343750,2.150847,256000
1983-05-27,7.281250,7.281250,7.000000,7.156250,2.095933,677600
1983-05-31,7.031250,7.093750,6.718750,6.718750,1.967798,577600
1983-06-01,6.718750,6.968750,6.718750,6.968750,2.041017,397600
1983-06-02,7.000000,7.125000,6.843750,7.031250,2.059322,433200
1983-06-03,7.062500,7.156250,7.000000,7.031250,2.059322,178400
1983-06-06,7.062500,7.468750,7.062500,7.312500,2.141695,378000
1983-06-07,7.468750,7.531250,7.375000,7.500000,2.196610,716000
1983-06-08,7.375000,7.562500,7.375000,7.500000,2.196610,789600
1983-06-09,7.625000,7.937500,7.625000,7.906250,2.315595,756400
1983-06-10,8.000000,8.031250,7.968750,8.000000,2.343051,454000
1983-06-13,8.156250,8.250000,8.093750,8.156250,2.388813,399600
1983-06-14,8.312500,8.812500,8.250000,8.500000,2.489492,521200
1983-06-15,8.375000,8.437500,8.187500,8.437500,2.471187,421600
1983-06-16,8.687500,8.687500,8.375000,8.593750,2.516950,458000
1983-06-17,8.656250,8.687500,8.500000,8.593750,2.516950,232000
1983-06-20,8.625000,8.718750,8.500000,8.562500,2.507797,235600
1983-06-21,8.500000,8.625000,8.343750,8.593750,2.516950,200400
1983-06-22,8.593750,8.687500,8.500000,8.562500,2.507797,279200
1983-06-23,8.500000,8.625000,8.437500,8.593750,2.516950,497600
1983-06-24,8.531250,8.531250,8.312500,8.500000,2.489492,153600
1983-06-27,8.437500,8.468750,8.343750,8.468750,2.480339,170000
1983-06-28,8.437500,8.500000,8.250000,8.250000,2.416272,222800
1983-06-29,8.187500,8.375000,8.187500,8.250000,2.416272,388400
1983-06-30,8.343750,8.406250,8.250000,8.343750,2.443730,68800
1983-07-01,8.312500,8.437500,8.187500,8.437500,2.471187,120800
1983-07-05,8.375000,8.468750,8.187500,8.468750,2.480339,75200
1983-07-06,8.531250,8.593750,8.406250,8.500000,2.489492,90400
1983-07-07,8.437500,8.531250,8.375000,8.375000,2.452881,193200
1983-07-08,8.437500,8.500000,8.343750,8.468750,2.480339,88000
1983-07-11,8.500000,8.812500,8.500000,8.656250,2.535254,244000
1983-07-12,8.625000,8.750000,8.625000,8.656250,2.535254,118800
1983-07-13,8.625000,8.656250,8.468750,8.625000,2.526101,339600
1983-07-14,9.000000,9.250000,8.843750,9.250000,2.709152,490000
1983-07-15,9.250000,9.437500,9.031250,9.093750,2.663391,240800
1983-07-18,9.062500,9.062500,8.906250,9.000000,2.642471,187200
1983-07-19,9.062500,9.156250,9.031250,9.125000,2.679172,138000
1983-07-20,9.218750,9.375000,9.218750,9.375000,2.752574,209600
1983-07-21,9.437500,9.531250,9.406250,9.468750,2.780099,234800
1983-07-22,9.484380,9.531250,9.437500,9.468750,2.780099,186400
1983-07-25,9.375000,9.406250,9.281250,9.343750,2.743397,221200
1983-07-26,9.437500,9.468750,9.281250,9.343750,2.743397,239200
1983-07-27,9.312500,9.375000,9.125000,9.187500,2.697523,186800
1983-07-28,9.125000,9.156250,9.125000,9.125000,2.679172,45600
1983-07-29,9.062500,9.062500,8.500000,8.593750,2.523194,246800
1983-08-01,8.531250,8.593750,8.250000,8.343750,2.449790,234800
1983-08-02,8.343750,8.437500,8.281250,8.312500,2.440615,126800
1983-08-03,8.343750,8.406250,8.312500,8.406250,2.468142,95200
1983-08-04,8.375000,8.375000,8.156250,8.375000,2.458965,178400
1983-08-05,8.312500,8.375000,8.187500,8.343750,2.449790,88400
1983-08-08,8.187500,8.312500,7.968750,8.250000,2.422265,93200
1983-08-09,8.187500,8.250000,8.062500,8.218750,2.413090,84400
1983-08-10,8.281250,8.343750,8.218750,8.343750,2.449790,81200
1983-08-11,8.406250,8.562500,8.312500,8.437500,2.477316,98800
1983-08-12,8.375000,8.781250,8.375000,8.781250,2.578243,75600
1983-08-15,8.750000,8.968750,8.750000,8.875000,2.605769,71600
1983-08-16,8.812500,8.906250,8.718750,8.718750,2.559893,59200
1983-08-17,8.718750,8.875000,8.718750,8.781250,2.578243,48400
1983-08-18,8.843750,8.968750,8.812500,8.812500,2.587420,70000
1983-08-19,8.812500,8.875000,8.750000,8.750000,2.569068,48000
1983-08-22,8.750000,8.906250,8.750000,8.781250,2.578243,59200
1983-08-23,8.750000,8.843750,8.750000,8.750000,2.569068,82400
