Date,Open,High,Low,Close,Adj Close,Volume
1997-11-21,23.500000,23.500000,22.750000,23.000000,9.215219,3821400
1997-11-24,23.000000,23.000000,22.250000,22.750000,9.115053,541600
1997-11-25,22.875000,23.000000,22.687500,23.000000,9.215219,425000
1997-11-26,23.000000,23.000000,22.750000,22.750000,9.115053,165200
1997-11-28,22.750000,23.000000,22.750000,23.000000,9.215219,60500
1997-12-01,23.062500,23.125000,23.000000,23.062500,9.240264,120300
1997-12-02,23.125000,23.125000,22.875000,23.000000,9.215219,164200
1997-12-03,23.062500,23.062500,22.937500,23.000000,9.215219,540000
1997-12-04,23.000000,23.062500,23.000000,23.000000,9.215219,43800
1997-12-05,22.875000,23.375000,22.875000,23.062500,9.240264,147500
1997-12-08,23.000000,23.250000,23.000000,23.187500,9.290346,74900
1997-12-09,23.125000,23.187500,23.000000,23.187500,9.290346,61000
1997-12-10,23.125000,23.250000,23.062500,23.062500,9.240264,104500
1997-12-11,23.000000,23.125000,23.000000,23.062500,9.240264,153600
1997-12-12,23.062500,23.187500,23.062500,23.187500,9.290346,59900
1997-12-15,23.125000,23.187500,23.062500,23.187500,9.290346,24400
1997-12-16,23.187500,23.750000,23.187500,23.625000,9.520647,107900
1997-12-17,23.750000,24.250000,23.687500,24.187500,9.747335,63900
1997-12-18,24.125000,24.250000,24.125000,24.250000,9.772527,35700
1997-12-19,24.250000,24.250000,23.750000,23.875000,9.621400,134400
1997-12-22,23.937500,24.125000,23.875000,24.000000,9.671777,34400
1997-12-23,24.000000,24.187500,24.000000,24.000000,9.671777,88500
1997-12-24,23.937500,24.000000,23.812500,24.000000,9.671777,63300
1997-12-26,23.875000,23.875000,23.562500,23.687500,9.545840,34600
1997-12-29,23.875000,24.062500,23.750000,23.812500,9.596210,159600
1997-12-30,24.000000,24.312500,23.687500,24.312500,9.797711,52400
1997-12-31,24.375000,25.125000,24.375000,25.125000,10.125137,215700
1998-01-02,25.000000,25.000000,24.625000,24.875000,10.024390,52000
1998-01-05,24.750000,24.937500,24.625000,24.625000,9.923642,42300
1998-01-06,24.750000,24.750000,24.625000,24.687500,9.948832,26900
1998-01-07,24.687500,24.750000,24.437500,24.625000,9.923642,49500
1998-01-08,24.500000,24.750000,24.375000,24.562500,9.898459,95700
1998-01-09,24.500000,24.500000,24.125000,24.375000,9.822894,37800
1998-01-12,24.125000,24.437500,23.750000,24.437500,9.848079,24500
1998-01-13,24.500000,24.625000,24.437500,24.562500,9.898459,190300
1998-01-14,24.500000,24.750000,24.250000,24.750000,9.974014,201800
1998-01-15,24.750000,24.750000,24.500000,24.500000,9.873273,39200
1998-01-16,24.562500,24.562500,24.375000,24.500000,9.873273,13600
1998-01-20,24.625000,24.750000,24.562500,24.625000,9.923642,63200
1998-01-21,24.687500,24.875000,24.562500,24.750000,9.974014,90400
1998-01-22,24.875000,24.875000,24.625000,24.687500,9.948832,99600
1998-01-23,24.750000,24.750000,24.437500,24.437500,9.848079,11200
1998-01-26,24.312500,24.375000,24.125000,24.125000,9.722146,50500
1998-01-27,24.250000,24.500000,24.000000,24.250000,9.772527,17300
1998-01-28,24.125000,24.125000,23.875000,24.000000,9.671777,68700
1998-01-29,23.750000,24.125000,23.750000,24.000000,9.671777,67700
1998-01-30,24.000000,24.500000,24.000000,24.500000,9.873273,33000
1998-02-02,24.500000,24.750000,24.437500,24.750000,9.974014,31000
1998-02-03,24.625000,24.750000,24.500000,24.500000,9.873273,18300
1998-02-04,24.562500,24.562500,24.375000,24.375000,9.822894,29200
1998-02-05,24.375000,24.625000,24.375000,24.500000,9.873273,10900
1998-02-06,24.500000,24.500000,24.125000,24.500000,9.873273,129200
1998-02-09,24.187500,24.312500,23.937500,24.312500,9.797711,101100
1998-02-10,24.375000,24.625000,24.312500,24.625000,9.923642,35000
1998-02-11,24.625000,24.625000,24.437500,24.625000,9.923642,40400
1998-02-12,24.500000,24.625000,24.312500,24.500000,9.873273,34500
1998-02-13,24.562500,24.625000,24.375000,24.500000,9.873273,73100
1998-02-17,24.625000,24.812500,24.500000,24.812500,9.999204,110500
1998-02-18,24.687500,24.687500,23.875000,24.125000,9.722146,85500
1998-02-19,24.250000,24.250000,24.000000,24.000000,9.671777,7900
1998-02-20,24.000000,24.375000,24.000000,24.187500,9.747335,82700
1998-02-23,24.125000,24.250000,24.000000,24.062500,9.696961,26300
1998-02-24,24.062500,24.187500,23.875000,23.875000,9.621400,8700
1998-02-25,23.875000,23.937500,23.750000,23.750000,9.571024,45600
1998-02-26,23.750000,23.875000,23.625000,23.625000,9.520647,21300
1998-02-27,23.625000,23.812500,23.500000,23.500000,9.470280,42700
1998-03-02,23.750000,23.750000,23.437500,23.437500,9.445093,102800
1998-03-03,23.437500,23.687500,23.437500,23.562500,9.495463,24500
1998-03-04,23.625000,23.625000,23.375000,23.375000,9.419905,108100
1998-03-05,23.375000,23.500000,23.375000,23.437500,9.445093,43100
1998-03-06,23.437500,23.812500,23.437500,23.500000,9.470280,17400
1998-03-09,23.500000,24.187500,23.500000,24.000000,9.671777,105300
1998-03-10,24.125000,24.250000,24.000000,24.000000,9.671777,89800
1998-03-11,24.000000,24.187500,24.000000,24.187500,9.747335,8200
1998-03-12,24.187500,24.187500,24.000000,24.000000,9.671777,103000
1998-03-13,23.812500,24.000000,23.812500,23.875000,9.621400,438900
1998-03-16,23.625000,23.625000,23.250000,23.562500,9.633669,16000
1998-03-17,23.437500,23.562500,23.375000,23.500000,9.608114,15300
1998-03-18,23.500000,23.625000,23.500000,23.500000,9.608114,39800
1998-03-19,23.500000,23.875000,23.500000,23.875000,9.761436,100200
1998-03-20,23.812500,24.375000,23.812500,24.250000,9.914755,137800
1998-03-23,24.250000,24.500000,24.250000,24.375000,9.965863,13400
1998-03-24,24.500000,24.500000,24.250000,24.250000,9.914755,10800
1998-03-25,24.375000,24.500000,24.250000,24.312500,9.940307,18700
1998-03-26,24.625000,24.937500,24.500000,24.750000,10.119183,22800
1998-03-27,24.750000,24.937500,24.625000,24.937500,10.195843,45500
1998-03-30,24.937500,24.937500,24.562500,24.625000,10.068074,20000
1998-03-31,24.500000,24.500000,24.125000,24.125000,9.863644,113200
1998-04-01,24.062500,24.250000,23.812500,24.125000,9.863644,32600
1998-04-02,24.250000,24.562500,24.000000,24.000000,9.812538,58100
1998-04-03,23.937500,23.937500,23.250000,23.500000,9.608114,64100
1998-04-06,23.500000,23.562500,23.187500,23.250000,9.505902,114700
1998-04-07,23.125000,23.187500,23.000000,23.000000,9.403686,139600
1998-04-08,23.187500,23.437500,23.125000,23.437500,9.582559,24700
1998-04-09,23.500000,23.500000,23.375000,23.500000,9.608114,125900
1998-04-13,23.500000,23.500000,23.125000,23.187500,9.480346,61300
