Date,Open,High,Low,Close,Adj Close,Volume
1990-03-26,5.798710,5.936780,5.798710,5.890760,2.415440,192800
1990-03-27,5.844730,5.890760,5.844730,5.844730,2.396566,130600
1990-03-28,5.844730,5.936780,5.844730,5.844730,2.396566,202700
1990-03-29,5.844730,5.936780,5.844730,5.844730,2.396566,35300
1990-03-30,5.844730,5.890760,5.752690,5.752690,2.358826,220200
1990-04-02,5.798710,5.798710,5.706670,5.798710,2.377695,642400
1990-04-03,5.706670,5.844730,5.706670,5.752690,2.358826,242700
1990-04-04,5.752690,5.844730,5.752690,5.798710,2.377695,248400
1990-04-05,5.798710,5.844730,5.798710,5.798710,2.377695,126400
1990-04-06,5.798710,5.844730,5.568610,5.660650,2.321086,605900
1990-04-09,5.752690,5.890760,5.706670,5.890760,2.415440,288800
1990-04-10,5.890760,5.890760,5.798710,5.844730,2.396566,100400
1990-04-11,5.890760,5.936780,5.844730,5.844730,2.396566,35500
1990-04-12,5.936780,5.936780,5.844730,5.936780,2.434311,32500
1990-04-16,5.936780,5.936780,5.798710,5.844730,2.396566,98500
1990-04-17,5.798710,5.890760,5.752690,5.752690,2.358826,146600
1990-04-18,5.844730,5.844730,5.706670,5.798710,2.377695,99000
1990-04-19,5.706670,5.798710,5.706670,5.752690,2.358826,43900
1990-04-20,5.706670,5.752690,5.660650,5.752690,2.358826,197500
1990-04-23,5.614630,5.706670,5.568610,5.660650,2.321086,338500
1990-04-24,5.660650,5.752690,5.614630,5.660650,2.321086,143400
1990-04-25,5.706670,5.706670,5.614630,5.660650,2.321086,67100
1990-04-26,5.614630,5.660650,5.614630,5.660650,2.321086,144200
1990-04-27,5.660650,5.660650,5.614630,5.614630,2.302216,43700
1990-04-30,5.614630,5.660650,5.568610,5.568610,2.283346,119000
1990-05-01,5.614630,5.660650,5.568610,5.614630,2.302216,561700
1990-05-02,5.660650,5.706670,5.568610,5.614630,2.302216,744400
1990-05-03,5.614630,5.706670,5.614630,5.614630,2.302216,197500
1990-05-04,5.614630,5.660650,5.568610,5.660650,2.321086,18000
1990-05-07,5.568610,5.706670,5.568610,5.660650,2.321086,553100
1990-05-08,5.706670,5.706670,5.614630,5.706670,2.339955,635500
1990-05-09,5.660650,5.706670,5.614630,5.660650,2.321086,188300
1990-05-10,5.614630,5.706670,5.614630,5.706670,2.339955,37200
1990-05-11,5.706670,5.706670,5.614630,5.614630,2.302216,103200
1990-05-14,5.660650,5.798710,5.614630,5.706670,2.339955,271600
1990-05-15,5.706670,5.844730,5.706670,5.844730,2.396566,433300
1990-05-16,5.844730,5.844730,5.752690,5.798710,2.377695,188600
1990-05-17,5.890760,5.890760,5.798710,5.798710,2.377695,178200
1990-05-18,5.798710,5.844730,5.706670,5.844730,2.396566,219000
1990-05-21,5.798710,5.798710,5.706670,5.706670,2.339955,78000
1990-05-22,5.798710,5.798710,5.706670,5.798710,2.377695,795000
1990-05-23,5.752690,5.890760,5.752690,5.844730,2.396566,432600
1990-05-24,5.844730,5.844730,5.798710,5.844730,2.396566,403900
1990-05-25,5.844730,5.844730,5.752690,5.844730,2.396566,106400
1990-05-29,5.844730,5.890760,5.798710,5.890760,2.415440,298700
1990-05-30,5.936780,6.028820,5.890760,6.028820,2.472049,345400
1990-05-31,6.028820,6.074840,5.982800,6.028820,2.472049,232800
1990-06-01,6.074840,6.120860,5.982800,6.120860,2.509790,532600
1990-06-04,6.120860,6.258930,6.074840,6.258930,2.566404,132500
1990-06-05,6.258930,6.396990,6.212910,6.304950,2.585274,738200
1990-06-06,6.350970,6.489040,6.304950,6.443010,2.641883,387400
1990-06-07,6.443010,6.489040,6.396990,6.396990,2.623014,242400
1990-06-08,6.489040,6.627100,6.443010,6.489040,2.660757,369600
1990-06-11,6.396990,6.535060,6.396990,6.443010,2.676815,80900
1990-06-12,6.489040,6.535060,6.489040,6.489040,2.695939,576000
1990-06-13,6.489040,6.765170,6.489040,6.719140,2.791537,841000
1990-06-14,6.719140,6.811190,6.673120,6.765170,2.810660,962900
1990-06-15,6.673120,6.765170,6.581080,6.581080,2.734178,498200
1990-06-18,6.581080,6.627100,6.443010,6.443010,2.676815,982200
1990-06-19,6.396990,6.627100,6.396990,6.489040,2.695939,341400
1990-06-20,6.581080,6.627100,6.535060,6.535060,2.715059,116000
1990-06-21,6.535060,6.581080,6.443010,6.489040,2.695939,351100
1990-06-22,6.535060,6.627100,6.535060,6.627100,2.753297,87100
1990-06-25,6.535060,6.627100,6.489040,6.535060,2.715059,714500
1990-06-26,6.489040,6.581080,6.443010,6.535060,2.715059,351100
1990-06-27,6.489040,6.535060,6.443010,6.489040,2.695939,357000
1990-06-28,6.489040,6.535060,6.443010,6.535060,2.715059,199000
1990-06-29,6.443010,6.535060,6.443010,6.443010,2.676815,74500
1990-07-02,6.535060,6.581080,6.443010,6.581080,2.734178,167900
1990-07-03,6.581080,6.581080,6.489040,6.489040,2.695939,63400
1990-07-05,6.489040,6.535060,6.443010,6.535060,2.715059,107600
1990-07-06,6.489040,6.581080,6.489040,6.489040,2.695939,110800
1990-07-09,6.581080,6.581080,6.489040,6.535060,2.715059,220000
1990-07-10,6.489040,6.581080,6.489040,6.489040,2.695939,214800
1990-07-11,6.489040,6.581080,6.489040,6.489040,2.695939,30100
1990-07-12,6.489040,6.581080,6.489040,6.489040,2.695939,75000
1990-07-13,6.581080,6.581080,6.489040,6.489040,2.695939,203900
1990-07-16,6.581080,6.581080,6.489040,6.581080,2.734178,133000
1990-07-17,6.489040,6.627100,6.489040,6.535060,2.715059,136200
1990-07-18,6.627100,6.627100,6.489040,6.535060,2.715059,72100
1990-07-19,6.535060,6.581080,6.489040,6.581080,2.734178,114800
1990-07-20,6.581080,6.581080,6.489040,6.489040,2.695939,49600
1990-07-23,6.443010,6.581080,6.443010,6.443010,2.676815,245600
1990-07-24,6.535060,6.535060,6.443010,6.489040,2.695939,151600
1990-07-25,6.443010,6.535060,6.443010,6.535060,2.715059,103900
1990-07-26,6.443010,6.535060,6.443010,6.443010,2.676815,44400
1990-07-27,6.443010,6.535060,6.443010,6.443010,2.676815,31800
1990-07-30,6.443010,6.535060,6.443010,6.443010,2.676815,53800
1990-07-31,6.443010,6.535060,6.443010,6.443010,2.676815,98700
1990-08-01,6.396990,6.489040,6.396990,6.396990,2.657696,188600
1990-08-02,6.350970,6.396990,6.304950,6.350970,2.638578,153800
1990-08-03,6.350970,6.350970,6.166890,6.212910,2.581218,196700
1990-08-06,6.212910,6.258930,6.074840,6.074840,2.523856,59200
1990-08-07,6.166890,6.212910,6.028820,6.120860,2.542975,162400
1990-08-08,6.074840,6.212910,6.074840,6.212910,2.581218,104200
1990-08-09,6.166890,6.166890,6.028820,6.166890,2.562099,104600
1990-08-10,6.166890,6.166890,5.844730,5.936780,2.466498,52500
1990-08-13,5.890760,5.890760,5.798710,5.798710,2.409134,98500
1990-08-14,5.844730,5.844730,5.706670,5.798710,2.409134,130800
1990-08-15,5.844730,5.890760,5.798710,5.844730,2.428254,192300
1990-08-16,5.798710,5.844730,5.752690,5.844730,2.428254,274800
1990-08-17,5.798710,5.798710,5.660650,5.752690,2.390015,139500
1990-08-20,5.706670,5.752690,5.660650,5.706670,2.370895,112800
1990-08-21,5.614630,5.706670,5.614630,5.660650,2.351776,87900
1990-08-22,5.706670,5.706670,5.568610,5.660650,2.351776,190800
1990-08-23,5.568610,5.568610,5.476560,5.476560,2.275294,302400
1990-08-24,5.568610,5.614630,5.476560,5.522580,2.294414,75000
1990-08-27,5.568610,5.706670,5.568610,5.706670,2.370895,118000
1990-08-28,5.614630,5.890760,5.614630,5.890760,2.447378,89100
1990-08-29,5.936780,5.982800,5.798710,5.982800,2.485615,31800
1990-08-30,5.982800,6.074840,5.936780,6.074840,2.523856,204200
1990-08-31,6.074840,6.074840,5.936780,6.074840,2.523856,13000
1990-09-04,6.028820,6.028820,5.936780,5.982800,2.485615,21900
1990-09-05,6.028820,6.120860,5.982800,6.028820,2.504735,44600
1990-09-06,6.074840,6.074840,5.936780,5.982800,2.485615,353500
1990-09-07,5.982800,6.028820,5.936780,5.936780,2.466498,99700
1990-09-10,5.936780,6.028820,5.936780,6.028820,2.540979,94300
1990-09-11,5.936780,5.936780,5.890760,5.936780,2.502187,165100
1990-09-12,5.890760,5.936780,5.844730,5.844730,2.463391,190100
1990-09-13,5.844730,5.890760,5.752690,5.844730,2.463391,148300
1990-09-14,5.798710,5.798710,5.706670,5.706670,2.405202,47100
1990-09-17,5.706670,5.844730,5.706670,5.844730,2.463391,76500
1990-09-18,5.752690,5.844730,5.706670,5.752690,2.424599,72500
1990-09-19,5.752690,5.936780,5.752690,5.844730,2.463391,280900
1990-09-20,5.936780,5.936780,5.798710,5.798710,2.443994,116000
1990-09-21,5.890760,5.890760,5.798710,5.798710,2.443994,65100
