Date,Open,High,Low,Close,Adj Close,Volume
1987-12-30,14.375000,14.500000,14.375000,14.375000,1.691064,83600
1987-12-31,14.375000,14.437500,14.250000,14.250000,1.676358,34600
1988-01-04,14.375000,14.625000,14.250000,14.562500,1.713122,85200
1988-01-05,14.750000,15.125000,14.750000,15.000000,1.764588,54600
1988-01-06,14.875000,15.000000,14.812500,14.937500,1.757236,90400
1988-01-07,15.000000,15.125000,15.000000,15.125000,1.779294,35400
1988-01-08,15.000000,15.250000,15.000000,15.000000,1.764588,69400
1988-01-11,14.875000,15.125000,14.750000,15.125000,1.779294,69600
1988-01-12,15.250000,15.250000,15.062500,15.125000,1.779294,141800
1988-01-13,15.062500,15.125000,15.000000,15.062500,1.771942,74000
1988-01-14,15.125000,15.125000,14.937500,15.000000,1.764588,96400
1988-01-15,15.125000,15.187500,15.062500,15.125000,1.779294,90600
1988-01-18,15.125000,15.125000,14.937500,15.062500,1.771942,85600
1988-01-19,15.125000,15.312500,15.125000,15.312500,1.801350,74200
1988-01-20,15.187500,15.312500,15.125000,15.250000,1.793998,103200
1988-01-21,15.375000,15.375000,15.187500,15.250000,1.793998,31400
1988-01-22,15.312500,15.500000,15.250000,15.500000,1.823408,33600
1988-01-25,15.562500,15.875000,15.562500,15.875000,1.867523,50800
1988-01-26,15.750000,16.062500,15.750000,16.062500,1.889580,76400
1988-01-27,16.187500,16.187500,16.062500,16.125000,1.896932,49600
1988-01-28,16.250000,16.250000,16.125000,16.125000,1.896932,39200
1988-01-29,16.187500,16.312500,16.125000,16.312500,1.918990,60800
1988-02-01,16.312500,16.375000,16.187500,16.312500,1.918990,43800
1988-02-02,16.312500,16.437500,16.125000,16.437500,1.933695,52600
1988-02-03,16.375000,16.375000,16.187500,16.250000,1.911637,88600
1988-02-04,16.312500,16.312500,16.125000,16.250000,1.911637,32400
1988-02-05,16.375000,16.500000,16.312500,16.312500,1.918990,46400
1988-02-08,16.250000,16.375000,16.125000,16.250000,1.911637,35200
1988-02-09,16.312500,16.437500,16.125000,16.437500,1.933695,41000
1988-02-10,16.312500,16.562500,16.312500,16.562500,1.948400,69600
1988-02-11,16.562500,16.562500,16.312500,16.437500,1.933695,58000
1988-02-12,16.500000,16.500000,16.375000,16.437500,1.933695,63200
1988-02-16,16.437500,16.437500,16.250000,16.312500,1.918990,78600
1988-02-17,16.312500,16.562500,16.312500,16.500000,1.941048,148000
1988-02-18,16.437500,16.500000,16.375000,16.437500,1.933695,117400
1988-02-19,16.312500,16.375000,16.250000,16.375000,1.926343,31600
1988-02-22,16.500000,16.500000,16.312500,16.375000,1.926343,25000
1988-02-23,16.500000,16.500000,16.125000,16.250000,1.911637,42000
1988-02-24,16.375000,16.375000,16.187500,16.250000,1.911637,71400
1988-02-25,16.250000,16.500000,16.250000,16.250000,1.911637,56800
1988-02-26,16.312500,16.437500,16.250000,16.437500,1.933695,15200
1988-02-29,16.437500,16.437500,16.250000,16.375000,1.926343,20800
1988-03-01,16.375000,16.562500,16.375000,16.500000,1.941048,113400
1988-03-02,16.437500,16.500000,16.375000,16.437500,1.933695,289200
1988-03-03,16.312500,16.437500,16.312500,16.375000,1.926343,14400
1988-03-04,15.937500,15.937500,15.625000,15.750000,1.923290,711400
1988-03-07,15.687500,15.875000,15.562500,15.687500,1.915658,512000
1988-03-08,15.750000,15.875000,15.625000,15.625000,1.908026,26200
1988-03-09,15.500000,15.625000,15.375000,15.500000,1.892761,98000
1988-03-10,15.625000,15.625000,15.250000,15.312500,1.869865,58600
1988-03-11,15.312500,15.500000,15.250000,15.437500,1.885129,32400
1988-03-14,15.375000,15.437500,15.312500,15.312500,1.869865,56800
1988-03-15,15.437500,15.437500,15.312500,15.437500,1.885129,167800
1988-03-16,15.562500,15.812500,15.375000,15.812500,1.930921,144800
1988-03-17,15.687500,15.812500,15.625000,15.750000,1.923290,154200
1988-03-18,15.687500,15.812500,15.625000,15.625000,1.908026,41600
1988-03-21,15.625000,15.687500,15.500000,15.687500,1.915658,71600
1988-03-22,15.687500,15.750000,15.687500,15.687500,1.915658,108200
1988-03-23,15.750000,15.750000,15.625000,15.687500,1.915658,21800
