Date,Open,High,Low,Close,Adj Close,Volume
1987-12-30,1.109380,1.109380,1.085940,1.093750,-11.518092,857600
1987-12-31,1.093750,1.101560,1.085940,1.101560,-11.600335,1257600
1988-01-04,1.097660,1.144530,1.097660,1.140620,-12.011667,553600
1988-01-05,1.140620,1.167970,1.140620,1.164060,-12.258518,1577600
1988-01-06,1.171880,1.171880,1.164060,1.167970,-12.299690,163200
1988-01-07,1.156250,1.179690,1.156250,1.179690,-12.423113,870400
1988-01-08,1.175780,1.191410,1.175780,1.175780,-12.381935,499200
1988-01-11,1.167970,1.167970,1.148440,1.152340,-12.135094,1292800
1988-01-12,1.148440,1.148440,1.132810,1.136720,-11.970599,1104000
1988-01-13,1.136720,1.136720,1.136720,1.136720,-11.970599,60800
1988-01-14,1.136720,1.136720,1.136720,1.136720,-11.970599,25600
1988-01-15,1.144530,1.171880,1.144530,1.171880,-12.340865,1116800
1988-01-18,1.179690,1.179690,1.171880,1.171880,-12.340865,92800
1988-01-19,1.164060,1.171880,1.164060,1.171880,-12.340865,329600
1988-01-20,1.171880,1.171880,1.164060,1.164060,-12.258518,115200
1988-01-21,1.156250,1.171880,1.156250,1.167970,-12.299690,428800
1988-01-22,1.171880,1.203120,1.171880,1.203120,-12.669844,745600
1988-01-25,1.218750,1.226560,1.218750,1.218750,-12.834451,352000
1988-01-26,1.218750,1.218750,1.207030,1.210940,-12.752197,192000
1988-01-27,1.214840,1.214840,1.191410,1.191410,-12.546528,560000
1988-01-28,1.187500,1.203120,1.187500,1.195310,-12.587597,224000
1988-01-29,1.187500,1.203120,1.187500,1.199220,-12.628777,707200
1988-02-01,1.199220,1.210940,1.199220,1.210940,-12.752197,102400
1988-02-02,1.218750,1.222660,1.210940,1.222660,-12.875619,400000
1988-02-03,1.218750,1.218750,1.203120,1.210940,-12.752197,556800
1988-02-04,1.210940,1.218750,1.207030,1.214840,-12.793268,912000
1988-02-05,1.210940,1.214840,1.207030,1.207030,-12.711022,54400
1988-02-08,1.207030,1.207030,1.207030,1.207030,-12.711022,64000
1988-02-09,1.207030,1.210940,1.207030,1.207030,-12.711022,128000
1988-02-10,1.207030,1.218750,1.207030,1.207030,-12.711022,227200
1988-02-11,1.207030,1.222660,1.203120,1.222660,-12.875619,268800
1988-02-12,1.214840,1.222660,1.214840,1.222660,-12.875619,198400
1988-02-16,1.218750,1.242190,1.218750,1.242190,-13.081284,252800
1988-02-17,1.234380,1.242190,1.234380,1.238280,-13.040108,540800
1988-02-18,1.238280,1.246090,1.238280,1.242190,-13.081284,323200
1988-02-19,1.242190,1.257810,1.242190,1.253910,-13.204708,409600
1988-02-22,1.257810,1.265620,1.253910,1.265620,-13.328023,83200
1988-02-23,1.269530,1.273440,1.265620,1.269530,-13.369199,332800
1988-02-24,1.273440,1.289060,1.273440,1.281250,-13.492621,89600
1988-02-25,1.289060,1.289060,1.289060,1.289060,-13.574864,54400
1988-02-26,1.296880,1.296880,1.281250,1.292970,-13.616040,284800
1988-02-29,1.285160,1.285160,1.273440,1.285160,-15.177138,486400
1988-03-01,1.281250,1.289060,1.281250,1.281250,-15.130977,163200
1988-03-02,1.281250,1.312500,1.281250,1.312500,-15.500018,1088000
1988-03-03,1.316410,1.328120,1.312500,1.328120,-15.684481,195200
1988-03-04,1.328120,1.332030,1.324220,1.324220,-15.638424,22400
1988-03-07,1.328120,1.343750,1.324220,1.343750,-15.869062,83200
1988-03-08,1.363280,1.382810,1.363280,1.382810,-16.330345,185600
1988-03-09,1.390620,1.406250,1.390620,1.406250,-16.607166,268800
1988-03-10,1.406250,1.414060,1.406250,1.410160,-16.653337,528000
1988-03-11,1.406250,1.433590,1.406250,1.433590,-16.930037,854400
1988-03-14,1.429690,1.445310,1.421880,1.441410,-17.022387,297600
1988-03-15,1.449220,1.460940,1.441410,1.441410,-17.022387,307200
1988-03-16,1.441410,1.453120,1.441410,1.453120,-17.160671,377600
1988-03-17,1.457030,1.457030,1.457030,1.457030,-17.206852,358400
1988-03-18,1.460940,1.464840,1.457030,1.457030,-17.206852,150400
1988-03-21,1.464840,1.468750,1.449220,1.453120,-17.160671,1884800
1988-03-22,1.460940,1.460940,1.429690,1.437500,-16.976212,1142400
1988-03-23,1.437500,1.449220,1.437500,1.449220,-17.114614,150400
1988-03-24,1.441410,1.441410,1.437500,1.437500,-16.976212,201600
1988-03-25,1.429690,1.429690,1.402340,1.402340,-16.560989,972800
1988-03-28,1.394530,1.410160,1.394530,1.398440,-16.514927,572800
1988-03-29,1.406250,1.406250,1.394530,1.398440,-16.514927,323200
1988-03-30,1.402340,1.402340,1.386720,1.390620,-16.422579,649600
1988-03-31,1.382810,1.386720,1.375000,1.378910,-16.284285,835200
1988-04-04,1.375000,1.375000,1.367190,1.371090,-16.191942,89600
1988-04-05,1.375000,1.375000,1.371090,1.371090,-16.191942,329600
1988-04-06,1.371090,1.382810,1.367190,1.382810,-16.330345,272000
1988-04-07,1.390620,1.398440,1.390620,1.390620,-16.422579,601600
1988-04-08,1.382810,1.398440,1.382810,1.398440,-16.514927,377600
1988-04-11,1.406250,1.421880,1.398440,1.421880,-16.791748,508800
1988-04-12,1.429690,1.437500,1.421880,1.421880,-16.791748,371200
1988-04-13,1.429690,1.433590,1.421880,1.421880,-16.791748,227200
1988-04-14,1.414060,1.414060,1.363280,1.363280,-16.099705,790400
1988-04-15,1.363280,1.363280,1.343750,1.351560,-15.961298,1379200
1988-04-18,1.351560,1.367190,1.351560,1.367190,-16.145878,752000
1988-04-19,1.375000,1.414060,1.375000,1.414060,-16.699390,1059200
1988-04-20,1.417970,1.437500,1.406250,1.406250,-16.607166,1177600
1988-04-21,1.406250,1.410160,1.398440,1.398440,-16.514927,556800
1988-04-22,1.398440,1.398440,1.390620,1.390620,-16.422579,544000
1988-04-25,1.398440,1.402340,1.394530,1.398440,-16.514927,425600
1988-04-26,1.402340,1.402340,1.398440,1.398440,-16.514927,361600
1988-04-27,1.402340,1.406250,1.398440,1.398440,-16.514927,601600
1988-04-28,1.390620,1.390620,1.375000,1.375000,-16.238115,409600
1988-04-29,1.378910,1.378910,1.367190,1.378910,-16.284285,838400
1988-05-02,1.375000,1.375000,1.371090,1.371090,-16.191942,16000
1988-05-03,1.363280,1.367190,1.363280,1.367190,-16.145878,323200
1988-05-04,1.363280,1.367190,1.359380,1.363280,-16.099705,291200
1988-05-05,1.355470,1.363280,1.351560,1.359380,-16.053650,176000
1988-05-06,1.351560,1.351560,1.343750,1.343750,-15.869062,528000
1988-05-09,1.343750,1.355470,1.343750,1.355470,-16.007473,153600
1988-05-10,1.351560,1.363280,1.351560,1.363280,-16.099705,86400
1988-05-11,1.355470,1.355470,1.335940,1.335940,-15.776833,1734400
1988-05-12,1.335940,1.339840,1.335940,1.335940,-15.776833,179200
1988-05-13,1.339840,1.343750,1.339840,1.343750,-15.869062,102400
1988-05-16,1.343750,1.343750,1.339840,1.343750,-15.869062,454400
1988-05-17,1.343750,1.343750,1.332030,1.332030,-15.730659,160000
1988-05-18,1.335940,1.343750,1.332030,1.343750,-15.869062,57600
1988-05-19,1.335940,1.339840,1.335940,1.339840,-15.822890,214400
1988-05-20,1.339840,1.339840,1.339840,1.339840,-15.822890,256000
1988-05-23,1.332030,1.332030,1.316410,1.320310,-15.592250,211200
1988-05-24,1.324220,1.335940,1.324220,1.335940,-15.776833,38400
1988-05-25,1.339840,1.343750,1.339840,1.343750,-15.869062,364800
1988-05-26,1.339840,1.339840,1.335940,1.335940,-15.776833,134400
1988-05-27,1.328120,1.332030,1.316410,1.320310,-17.417517,496000
1988-05-31,1.328120,1.335940,1.320310,1.332030,-17.572130,83200
1988-06-01,1.347660,1.359380,1.343750,1.359380,-17.932928,444800
1988-06-02,1.351560,1.363280,1.347660,1.347660,-17.778324,220800
1988-06-03,1.355470,1.359380,1.347660,1.347660,-17.778324,201600
1988-06-06,1.355470,1.367190,1.355470,1.367190,-18.035955,329600
1988-06-07,1.359380,1.375000,1.359380,1.375000,-18.138992,230400
1988-06-08,1.375000,1.390620,1.375000,1.390620,-18.345051,220800
1988-06-09,1.398440,1.429690,1.398440,1.406250,-18.551241,579200
1988-06-10,1.414060,1.449220,1.414060,1.449220,-19.118097,182400
1988-06-13,1.437500,1.437500,1.433590,1.437500,-18.963491,563200
1988-06-14,1.441410,1.445310,1.441410,1.445310,-19.066519,1424000
1988-06-15,1.445310,1.449220,1.441410,1.445310,-19.066519,438400
1988-06-16,1.449220,1.449220,1.433590,1.433590,-18.911915,451200
1988-06-17,1.441410,1.445310,1.437500,1.437500,-18.963491,185600
1988-06-20,1.437500,1.437500,1.437500,1.437500,-18.963491,608000
1988-06-21,1.437500,1.441410,1.437500,1.437500,-18.963491,44800
1988-06-22,1.441410,1.449220,1.441410,1.449220,-19.118097,105600
1988-06-23,1.453120,1.453120,1.445310,1.449220,-19.118097,268800
1988-06-24,1.445310,1.449220,1.445310,1.449220,-19.118097,163200
1988-06-27,1.453120,1.460940,1.453120,1.457030,-19.221132,310400
1988-06-28,1.453120,1.453120,1.453120,1.453120,-19.169548,35200
1988-06-29,1.460940,1.460940,1.453120,1.453120,-19.169548,201600
1988-06-30,1.453120,1.464840,1.453120,1.464840,-19.324160,272000
1988-07-01,1.468750,1.476560,1.464840,1.472660,-19.427320,243200
1988-07-05,1.468750,1.468750,1.453120,1.453120,-19.169548,179200
1988-07-06,1.453120,1.457030,1.453120,1.453120,-19.169548,550400
1988-07-07,1.453120,1.453120,1.449220,1.449220,-19.118097,444800
1988-07-08,1.449220,1.449220,1.449220,1.449220,-19.118097,28800
1988-07-11,1.445310,1.457030,1.445310,1.445310,-19.066519,32000
1988-07-12,1.449220,1.453120,1.437500,1.441410,-19.015076,86400
1988-07-13,1.441410,1.445310,1.437500,1.445310,-19.066519,60800
1988-07-14,1.437500,1.445310,1.433590,1.437500,-18.963491,51200
1988-07-15,1.437500,1.460940,1.437500,1.453120,-19.169548,140800
1988-07-18,1.453120,1.453120,1.437500,1.437500,-18.963491,22400
1988-07-19,1.433590,1.437500,1.429690,1.437500,-18.963491,22400
1988-07-20,1.437500,1.441410,1.437500,1.437500,-18.963491,147200
1988-07-21,1.429690,1.429690,1.398440,1.398440,-18.448206,227200
1988-07-22,1.390620,1.390620,1.382810,1.386720,-18.293598,48000
1988-07-25,1.382810,1.382810,1.363280,1.371090,-18.087410,780800
1988-07-26,1.363280,1.363280,1.355470,1.359380,-17.932928,681600
1988-07-27,1.351560,1.351560,1.332030,1.335940,-17.623711,377600
1988-07-28,1.343750,1.343750,1.343750,1.343750,-17.726740,412800
1988-07-29,1.351560,1.363280,1.347660,1.359380,-17.932928,105600
1988-08-01,1.367190,1.367190,1.351560,1.351560,-17.829769,57600
1988-08-02,1.351560,1.363280,1.351560,1.363280,-17.984383,25600
1988-08-03,1.355470,1.363280,1.355470,1.363280,-17.984383,137600
1988-08-04,1.355470,1.367190,1.351560,1.359380,-17.932928,649600
1988-08-05,1.351560,1.359380,1.343750,1.343750,-17.726740,1827200
1988-08-08,1.351560,1.359380,1.351560,1.355470,-17.881346,160000
1988-08-09,1.359380,1.359380,1.351560,1.351560,-17.829769,1100800
1988-08-10,1.351560,1.355470,1.347660,1.347660,-17.778324,198400
1988-08-11,1.347660,1.367190,1.339840,1.339840,-17.675159,636800
1988-08-12,1.343750,1.351560,1.339840,1.347660,-17.778324,310400
1988-08-15,1.343750,1.343750,1.339840,1.339840,-17.675159,284800
1988-08-16,1.339840,1.351560,1.335940,1.351560,-17.829769,832000
1988-08-17,1.351560,1.351560,1.351560,1.351560,-17.829769,0
1988-08-18,1.355470,1.355470,1.335940,1.335940,-17.623711,486400
1988-08-19,1.335940,1.335940,1.328120,1.328120,-17.520546,889600
1988-08-22,1.328120,1.332030,1.324220,1.332030,-17.572130,67200
1988-08-23,1.328120,1.332030,1.324220,1.332030,-17.572130,118400
1988-08-24,1.335940,1.351560,1.335940,1.347660,-17.778324,566400
1988-08-25,1.347660,1.347660,1.332030,1.332030,-17.572130,310400
1988-08-26,1.328120,1.328120,1.324220,1.324220,-17.469105,83200
1988-08-29,1.316410,1.324220,1.308590,1.316410,-19.584486,64000
1988-08-30,1.316410,1.316410,1.308590,1.308590,-19.468149,32000
1988-08-31,1.312500,1.312500,1.300780,1.300780,-19.351965,432000
1988-09-01,1.296880,1.296880,1.257810,1.265620,-18.828880,409600
1988-09-02,1.265620,1.281250,1.265620,1.281250,-19.061407,163200
1988-09-06,1.296880,1.296880,1.289060,1.289060,-19.177597,262400
1988-09-07,1.289060,1.304690,1.289060,1.289060,-19.177597,886400
1988-09-08,1.289060,1.292970,1.285160,1.292970,-19.235764,115200
1988-09-09,1.292970,1.308590,1.292970,1.300780,-19.351965,112000
1988-09-12,1.296880,1.300780,1.289060,1.296880,-19.293943,281600
1988-09-13,1.289060,1.296880,1.285160,1.292970,-19.235764,960000
1988-09-14,1.300780,1.308590,1.296880,1.296880,-19.293943,1040000
1988-09-15,1.289060,1.296880,1.289060,1.296880,-19.293943,54400
1988-09-16,1.304690,1.308590,1.292970,1.296880,-19.293943,227200
1988-09-19,1.289060,1.289060,1.281250,1.281250,-19.061407,44800
1988-09-20,1.281250,1.300780,1.277340,1.300780,-19.351965,108800
1988-09-21,1.308590,1.320310,1.308590,1.320310,-19.642504,67200
1988-09-22,1.320310,1.320310,1.312500,1.312500,-19.526321,179200
1988-09-23,1.312500,1.320310,1.312500,1.316410,-19.584486,118400
1988-09-26,1.324220,1.324220,1.316410,1.316410,-19.584486,144000
1988-09-27,1.324220,1.324220,1.312500,1.316410,-19.584486,73600
1988-09-28,1.316410,1.324220,1.312500,1.312500,-19.526321,483200
1988-09-29,1.320310,1.320310,1.308590,1.308590,-19.468149,425600
1988-09-30,1.308590,1.332030,1.308590,1.328120,-19.758698,326400
1988-10-03,1.328120,1.332030,1.320310,1.320310,-19.642504,192000
1988-10-04,1.320310,1.320310,1.320310,1.320310,-19.642504,105600
1988-10-05,1.328120,1.335940,1.328120,1.328120,-19.758698,457600
1988-10-06,1.335940,1.343750,1.328120,1.343750,-19.991232,67200
1988-10-07,1.343750,1.351560,1.343750,1.347660,-20.049408,115200
1988-10-10,1.355470,1.363280,1.351560,1.363280,-20.281784,204800
1988-10-11,1.363280,1.363280,1.363280,1.363280,-20.281784,80000
1988-10-12,1.367190,1.367190,1.343750,1.343750,-19.991232,476800
1988-10-13,1.339840,1.351560,1.339840,1.343750,-19.991232,102400
1988-10-14,1.343750,1.375000,1.343750,1.363280,-20.281784,569600
1988-10-17,1.367190,1.367190,1.347660,1.359380,-20.223764,121600
1988-10-18,1.359380,1.359380,1.351560,1.359380,-20.223764,320000
1988-10-19,1.359380,1.359380,1.351560,1.351560,-20.107428,384000
1988-10-20,1.351560,1.359380,1.351560,1.359380,-20.223764,92800
1988-10-21,1.359380,1.375000,1.359380,1.363280,-20.281784,192000
1988-10-24,1.363280,1.367190,1.359380,1.367190,-20.339949,310400
1988-10-25,1.367190,1.382810,1.367190,1.382810,-20.572329,160000
1988-10-26,1.378910,1.390620,1.378910,1.386720,-20.630505,336000
1988-10-27,1.378910,1.378910,1.375000,1.375000,-20.456146,44800
1988-10-28,1.371090,1.371090,1.371090,1.371090,-20.397980,38400
1988-10-31,1.367190,1.378910,1.363280,1.378910,-20.514311,217600
1988-11-01,1.375000,1.386720,1.375000,1.378910,-20.514311,144000
1988-11-02,1.382810,1.386720,1.382810,1.386720,-20.630505,86400
1988-11-03,1.394530,1.398440,1.390620,1.390620,-20.688528,534400
1988-11-04,1.390620,1.390620,1.386720,1.386720,-20.630505,179200
1988-11-07,1.386720,1.398440,1.386720,1.390620,-20.688528,326400
1988-11-08,1.386720,1.394530,1.382810,1.382810,-20.572329,326400
1988-11-09,1.382810,1.382810,1.378910,1.382810,-20.572329,422400
1988-11-10,1.390620,1.390620,1.375000,1.375000,-20.456146,163200
1988-11-11,1.367190,1.367190,1.359380,1.359380,-20.223764,121600
1988-11-14,1.351560,1.355470,1.343750,1.347660,-20.049408,310400
1988-11-15,1.339840,1.359380,1.332030,1.355470,-20.165590,700800
1988-11-16,1.355470,1.371090,1.351560,1.367190,-20.339949,134400
1988-11-17,1.363280,1.367190,1.355470,1.355470,-20.165590,281600
1988-11-18,1.363280,1.367190,1.363280,1.367190,-20.339949,73600
1988-11-21,1.371090,1.375000,1.355470,1.355470,-20.165590,105600
1988-11-22,1.351560,1.371090,1.347660,1.367190,-20.339949,153600
1988-11-23,1.367190,1.367190,1.355470,1.355470,-20.165590,28800
1988-11-25,1.347660,1.355470,1.347660,1.355470,-20.165590,16000
1988-11-28,1.343750,1.359380,1.343750,1.359380,-22.740259,364800
1988-11-29,1.351560,1.367190,1.351560,1.363280,-22.805502,48000
1988-11-30,1.355470,1.359380,1.351560,1.359380,-22.740259,124800
1988-12-01,1.367190,1.378910,1.367190,1.378910,-23.066967,108800
1988-12-02,1.378910,1.378910,1.367190,1.375000,-23.001562,128000
1988-12-05,1.375000,1.378910,1.367190,1.378910,-23.066967,412800
1988-12-06,1.371090,1.378910,1.367190,1.375000,-23.001562,89600
1988-12-07,1.382810,1.382810,1.378910,1.382810,-23.132202,48000
1988-12-08,1.378910,1.386720,1.378910,1.386720,-23.197615,105600
1988-12-09,1.386720,1.406250,1.386720,1.406250,-23.524323,150400
1988-12-12,1.414060,1.425780,1.414060,1.417970,-23.720381,118400
1988-12-13,1.417970,1.417970,1.417970,1.417970,-23.720381,64000
1988-12-14,1.425780,1.425780,1.417970,1.417970,-23.720381,86400
1988-12-15,1.425780,1.425780,1.417970,1.421880,-23.785788,131200
1988-12-16,1.414060,1.421880,1.390620,1.398440,-23.393671,1049600
1988-12-19,1.398440,1.398440,1.394530,1.394530,-23.328266,179200
1988-12-20,1.398440,1.402340,1.390620,1.390620,-23.262856,246400
1988-12-21,1.390620,1.394530,1.386720,1.394530,-23.328266,1443200
1988-12-22,1.390620,1.398440,1.386720,1.398440,-23.393671,108800
1988-12-23,1.390620,1.406250,1.390620,1.402340,-23.458912,201600
1988-12-27,1.406250,1.406250,1.402340,1.402340,-23.458912,118400
1988-12-28,1.402340,1.421880,1.402340,1.421880,-23.785788,208000
1988-12-29,1.417970,1.441410,1.417970,1.437500,-24.047087,358400
1988-12-30,1.429690,1.433590,1.414060,1.421880,-23.785788,246400
1989-01-03,1.421880,1.421880,1.398440,1.398440,-23.393671,438400
1989-01-04,1.390620,1.406250,1.390620,1.398440,-23.393671,947200
1989-01-05,1.406250,1.417970,1.402340,1.414060,-23.654974,787200
1989-01-06,1.417970,1.421880,1.402340,1.414060,-23.654974,547200
1989-01-09,1.417970,1.417970,1.394530,1.406250,-23.524323,515200
1989-01-10,1.402340,1.406250,1.402340,1.406250,-23.524323,19200
