Date,Open,High,Low,Close,Adj Close,Volume
1986-07-09,3.460940,3.507810,3.460940,3.492190,0.833583,232000
1986-07-10,3.507810,3.507810,3.460940,3.476560,0.829853,715200
1986-07-11,3.468750,3.476560,3.468750,3.476560,0.829853,152000
1986-07-14,3.460940,3.468750,3.421880,3.421880,0.816800,598400
1986-07-15,3.414060,3.421880,3.375000,3.390620,0.809339,187200
1986-07-16,3.390620,3.414060,3.382810,3.414060,0.814934,238400
1986-07-17,3.398440,3.429690,3.390620,3.429690,0.818665,1124800
1986-07-18,3.437500,3.484380,3.429690,3.468750,0.827988,364800
1986-07-21,3.453120,3.460940,3.390620,3.390620,0.809339,209600
1986-07-22,3.414060,3.437500,3.406250,3.421880,0.816800,350400
1986-07-23,3.429690,3.429690,3.414060,3.429690,0.818665,192000
1986-07-24,3.429690,3.429690,3.414060,3.414060,0.814934,420800
1986-07-25,3.421880,3.429690,3.406250,3.406250,0.813069,323200
1986-07-28,3.406250,3.406250,3.296880,3.304690,0.788828,424000
1986-07-29,3.304690,3.304690,3.273440,3.273440,0.781368,158400
1986-07-30,3.257810,3.265620,3.234380,3.250000,0.775773,235200
1986-07-31,3.242190,3.250000,3.101560,3.109380,0.742207,587200
1986-08-01,3.117190,3.117190,3.093750,3.117190,0.744071,41600
1986-08-04,3.117190,3.117190,3.093750,3.101560,0.740341,238400
1986-08-05,3.093750,3.093750,3.023440,3.023440,0.721693,321600
1986-08-06,3.062500,3.156250,3.031250,3.140620,0.749664,438400
1986-08-07,3.125000,3.125000,3.093750,3.125000,0.745935,294400
1986-08-08,3.125000,3.125000,3.093750,3.125000,0.745935,167200
1986-08-11,3.125000,3.125000,3.093750,3.125000,0.745935,329600
1986-08-12,3.140620,3.187500,3.109380,3.171880,0.757126,444000
1986-08-13,3.187500,3.187500,3.156250,3.171880,0.757126,608800
1986-08-14,3.171880,3.234380,3.156250,3.234380,0.772044,300800
1986-08-15,3.234380,3.250000,3.218750,3.250000,0.775773,253600
