Date,Open,High,Low,Close,Adj Close,Volume
1987-06-26,1.468750,1.500000,1.437500,1.484375,0.011797,23086400
1987-06-29,1.484375,1.492188,1.476563,1.484375,0.011797,3148800
1987-06-30,1.507813,1.585938,1.507813,1.546875,0.012293,7664000
1987-07-01,1.546875,1.570313,1.531250,1.562500,0.012417,2894400
1987-07-02,1.562500,1.578125,1.562500,1.570313,0.012480,1435200
1987-07-06,1.578125,1.671875,1.578125,1.640625,0.013038,4800000
1987-07-07,1.640625,1.671875,1.601563,1.601563,0.012728,3593600
1987-07-08,1.601563,1.617188,1.578125,1.593750,0.012666,696000
1987-07-09,1.593750,1.718750,1.593750,1.671875,0.013287,3961600
1987-07-10,1.671875,1.750000,1.656250,1.695313,0.013473,2057600
1987-07-13,1.695313,1.695313,1.679688,1.679688,0.013349,398400
1987-07-14,1.679688,1.687500,1.632813,1.648438,0.013100,1016000
1987-07-15,1.648438,1.648438,1.593750,1.593750,0.012666,1004800
1987-07-16,1.593750,1.609375,1.578125,1.601563,0.012728,748800
1987-07-17,1.601563,1.601563,1.554688,1.578125,0.012542,542400
1987-07-20,1.578125,1.601563,1.500000,1.531250,0.012169,672000
1987-07-21,1.531250,1.546875,1.507813,1.531250,0.012169,2732800
1987-07-22,1.531250,1.546875,1.523438,1.539063,0.012231,1110400
1987-07-23,1.539063,1.546875,1.515625,1.515625,0.012045,659200
1987-07-24,1.515625,1.539063,1.507813,1.531250,0.012169,1108800
1987-07-27,1.531250,1.578125,1.523438,1.578125,0.012542,385600
1987-07-28,1.578125,1.601563,1.546875,1.546875,0.012293,755200
1987-07-29,1.546875,1.562500,1.492188,1.515625,0.012045,1360000
1987-07-30,1.515625,1.562500,1.515625,1.562500,0.012417,2062400
1987-07-31,1.562500,1.578125,1.531250,1.531250,0.012169,577600
1987-08-03,1.531250,1.546875,1.515625,1.539063,0.012231,1032000
1987-08-04,1.539063,1.539063,1.523438,1.539063,0.012231,396800
1987-08-05,1.539063,1.585938,1.539063,1.585938,0.012604,550400
1987-08-06,1.585938,1.609375,1.554688,1.609375,0.012790,1315200
1987-08-07,1.609375,1.625000,1.593750,1.625000,0.012964,505600
1987-08-10,1.625000,1.625000,1.578125,1.617188,0.012902,2540800
1987-08-11,1.617188,1.625000,1.562500,1.609375,0.013686,417600
1987-08-12,1.609375,1.617188,1.570313,1.585938,0.013487,427200
1987-08-13,1.585938,1.601563,1.562500,1.570313,0.013354,371200
1987-08-14,1.562500,1.562500,1.531250,1.554688,0.013221,710400
1987-08-17,1.554688,1.570313,1.468750,1.492188,0.012690,1974400
1987-08-18,1.492188,1.500000,1.390625,1.484375,0.012623,1582400
1987-08-19,1.484375,1.531250,1.484375,1.507813,0.012822,1376000
1987-08-20,1.507813,1.523438,1.500000,1.523438,0.012955,1267200
1987-08-21,1.523438,1.546875,1.515625,1.546875,0.013155,171200
1987-08-24,1.546875,1.546875,1.531250,1.539063,0.013088,145600
1987-08-25,1.539063,1.562500,1.539063,1.546875,0.013155,304000
1987-08-26,1.562500,1.609375,1.562500,1.562500,0.013288,1422400
1987-08-27,1.562500,1.585938,1.554688,1.562500,0.013288,926400
1987-08-28,1.562500,1.562500,1.531250,1.531250,0.013022,1401600
1987-08-31,1.531250,1.554688,1.531250,1.554688,0.013221,496000
1987-09-01,1.554688,1.554688,1.531250,1.546875,0.013155,1008000
1987-09-02,1.546875,1.562500,1.531250,1.546875,0.013155,1155200
1987-09-03,1.546875,1.593750,1.546875,1.593750,0.013553,809600
1987-09-04,1.593750,1.601563,1.578125,1.578125,0.013420,800000
1987-09-08,1.578125,1.585938,1.531250,1.554688,0.013221,627200
1987-09-09,1.554688,1.570313,1.539063,1.562500,0.013288,96000
1987-09-10,1.562500,1.578125,1.531250,1.531250,0.013022,259200
1987-09-11,1.531250,1.546875,1.523438,1.546875,0.013155,268800
1987-09-14,1.546875,1.554688,1.531250,1.531250,0.013022,179200
1987-09-15,1.531250,1.531250,1.507813,1.507813,0.012822,198400
1987-09-16,1.507813,1.507813,1.500000,1.500000,0.012756,929600
1987-09-17,1.492188,1.492188,1.453125,1.453125,0.012357,1006400
1987-09-18,1.453125,1.453125,1.421875,1.421875,0.012092,2182400
1987-09-21,1.421875,1.429688,1.234375,1.250000,0.010630,4817600
1987-09-22,1.250000,1.312500,1.226563,1.312500,0.011162,7240000
1987-09-23,1.328125,1.421875,1.328125,1.406250,0.011959,2072000
1987-09-24,1.406250,1.429688,1.406250,1.421875,0.012092,144000
1987-09-25,1.421875,1.421875,1.375000,1.375000,0.011693,1974400
1987-09-28,1.375000,1.375000,1.343750,1.351563,0.011494,668800
1987-09-29,1.351563,1.382813,1.351563,1.351563,0.011494,596800
1987-09-30,1.351563,1.367188,1.351563,1.359375,0.011560,184000
1987-10-01,1.351563,1.351563,1.343750,1.351563,0.011494,1006400
1987-10-02,1.351563,1.359375,1.343750,1.343750,0.011427,1321600
1987-10-05,1.343750,1.445313,1.335938,1.382813,0.011759,1548800
1987-10-06,1.382813,1.390625,1.359375,1.359375,0.011560,502400
1987-10-07,1.351563,1.351563,1.281250,1.304688,0.011095,200000
1987-10-08,1.281250,1.281250,1.218750,1.226563,0.010431,2310400
1987-10-09,1.226563,1.226563,1.203125,1.210938,0.010298,700800
1987-10-12,1.187500,1.187500,1.109375,1.109375,0.009434,596800
1987-10-13,1.117188,1.156250,1.117188,1.125000,0.009567,1552000
1987-10-14,1.125000,1.125000,1.109375,1.125000,0.009567,1062400
1987-10-15,1.109375,1.109375,1.070313,1.109375,0.009434,937600
1987-10-16,1.109375,1.109375,1.070313,1.070313,0.009102,712000
1987-10-19,1.000000,1.000000,0.867188,0.867188,0.007375,579200
1987-10-20,0.867188,0.875000,0.781250,0.796875,0.006777,384000
1987-10-21,0.812500,0.984375,0.812500,0.984375,0.008371,1696000
1987-10-22,0.937500,0.937500,0.875000,0.937500,0.007972,1460800
1987-10-23,0.941406,0.960938,0.941406,0.941406,0.008006,1792000
1987-10-26,0.929688,0.929688,0.718750,0.718750,0.006112,489600
1987-10-27,0.750000,0.812500,0.750000,0.765625,0.006511,1132800
1987-10-28,0.742188,0.742188,0.703125,0.718750,0.006112,932800
1987-10-29,0.718750,0.781250,0.718750,0.750000,0.006378,425600
1987-10-30,0.781250,0.906250,0.781250,0.906250,0.007707,2011200
1987-11-02,0.890625,0.890625,0.875000,0.890625,0.007574,744000
1987-11-03,0.875000,0.875000,0.828125,0.835938,0.007109,414400
1987-11-04,0.835938,0.835938,0.812500,0.828125,0.007042,547200
1987-11-05,0.828125,0.828125,0.796875,0.812500,0.007858,929600
1987-11-06,0.812500,0.851563,0.812500,0.843750,0.008161,832000
1987-11-09,0.828125,0.828125,0.796875,0.812500,0.007858,667200
1987-11-10,0.804688,0.804688,0.789063,0.789063,0.007632,185600
1987-11-11,0.789063,0.796875,0.781250,0.781250,0.007556,622400
1987-11-12,0.781250,0.812500,0.765625,0.781250,0.007556,1795200
1987-11-13,0.781250,0.804688,0.781250,0.781250,0.007556,235200
1987-11-16,0.781250,0.781250,0.765625,0.781250,0.007556,140800
1987-11-17,0.781250,0.812500,0.765625,0.789063,0.007632,697600
1987-11-18,0.789063,0.804688,0.750000,0.765625,0.007405,977600
1987-11-19,0.765625,0.828125,0.765625,0.828125,0.008010,4913600
1987-11-20,0.820313,0.820313,0.796875,0.796875,0.007707,555200
1987-11-23,0.796875,0.859375,0.796875,0.843750,0.008161,787200
1987-11-24,0.843750,0.929688,0.843750,0.914063,0.008841,1196800
1987-11-25,0.914063,0.937500,0.914063,0.929688,0.008992,340800
