Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.063100,2.128944,2.063100,2.063100,1.708343,150700
1980-03-18,2.063100,2.085048,2.019204,2.019204,1.671996,435600
1980-03-19,2.106996,2.172839,2.106996,2.106996,1.744691,234100
1980-03-20,2.106996,2.128944,2.063100,2.063100,1.708343,59500
1980-03-21,2.063100,2.128944,2.063100,2.063100,1.708343,52800
1980-03-24,1.997257,1.997257,1.931413,1.931413,1.599300,311800
1980-03-25,1.975309,2.041152,1.975309,1.975309,1.635648,170200
1980-03-26,1.975309,2.041152,1.975309,1.975309,1.635648,195700
1980-03-27,1.821674,1.821674,1.755830,1.755830,1.453909,298900
1980-03-28,1.997257,2.063100,1.997257,1.997257,1.653822,264600
1980-03-31,2.106996,2.172839,2.106996,2.106996,1.744691,344400
1980-04-01,2.106996,2.150892,2.085048,2.085048,1.726517,241800
1980-04-02,2.085048,2.150892,2.085048,2.085048,1.726517,60900
1980-04-03,2.085048,2.128944,2.063100,2.063100,1.708343,130500
1980-04-07,2.019204,2.019204,1.953361,1.953361,1.617474,136900
1980-04-08,1.975309,2.041152,1.975309,1.975309,1.635648,97300
1980-04-09,2.063100,2.128944,2.063100,2.063100,1.708343,204700
1980-04-10,2.150892,2.216735,2.150892,2.150892,1.781039,213900
1980-04-11,2.150892,2.216735,2.150892,2.150892,1.781039,264100
1980-04-14,2.128944,2.128944,2.063100,2.063100,1.708343,130500
1980-04-15,2.063100,2.106996,2.041152,2.041152,1.690170,122800
1980-04-16,2.063100,2.128944,2.063100,2.063100,1.708343,64000
1980-04-17,2.063100,2.106996,2.041152,2.041152,1.690170,103200
1980-04-18,2.041152,2.085048,2.019204,2.019204,1.671996,124800
1980-04-21,2.019204,2.041152,1.975309,1.975309,1.635648,135000
1980-04-22,2.085048,2.150892,2.085048,2.085048,1.726517,180400
1980-04-23,2.106996,2.172839,2.106996,2.106996,1.744691,173400
1980-04-24,2.194787,2.260631,2.194787,2.194787,1.817386,96000
1980-04-25,2.194787,2.216735,2.150892,2.150892,1.781039,27100
1980-04-28,2.194787,2.260631,2.194787,2.194787,1.817386,63600
1980-04-29,2.238683,2.304527,2.238683,2.238683,1.853734,77100
1980-04-30,2.260631,2.326475,2.260631,2.260631,1.871908,125700
1980-05-01,2.260631,2.260631,2.194787,2.194787,1.817386,198600
1980-05-02,2.194787,2.260631,2.194787,2.194787,1.817386,79200
1980-05-05,2.216735,2.282579,2.216735,2.216735,1.835560,42700
1980-05-06,2.216735,2.260631,2.194787,2.194787,1.817386,157900
1980-05-07,2.194787,2.194787,2.128944,2.128944,1.762865,166000
1980-05-08,2.106996,2.106996,2.041152,2.041152,1.690170,103200
1980-05-09,2.063100,2.128944,2.063100,2.063100,1.708343,13500
1980-05-12,2.063100,2.128944,2.063100,2.063100,1.708343,7300
1980-05-13,2.106996,2.172839,2.106996,2.106996,1.744691,94000
1980-05-14,2.150892,2.216735,2.150892,2.150892,1.781039,581400
1980-05-15,2.150892,2.216735,2.150892,2.150892,1.781039,66700
1980-05-16,2.216735,2.282579,2.216735,2.216735,1.835560,197700
1980-05-19,2.238683,2.304527,2.238683,2.238683,1.853734,60900
1980-05-20,2.216735,2.216735,2.150892,2.150892,1.781039,200700
1980-05-21,2.150892,2.216735,2.150892,2.150892,1.781039,77100
1980-05-22,2.194787,2.260631,2.194787,2.194787,1.817386,106600
1980-05-23,2.238683,2.304527,2.238683,2.238683,1.853734,115600
1980-05-27,2.238683,2.304527,2.238683,2.238683,1.853734,143100
1980-05-28,2.238683,2.282579,2.216735,2.216735,1.835560,121500
1980-05-29,2.216735,2.238683,2.172839,2.172839,1.799212,136500
1980-05-30,2.194787,2.260631,2.194787,2.194787,1.817386,832200
1980-06-02,2.194787,2.260631,2.194787,2.194787,1.817386,93100
1980-06-03,2.194787,2.238683,2.172839,2.172839,1.799212,79200
1980-06-04,2.172839,2.238683,2.172839,2.172839,1.799212,212500
1980-06-05,2.172839,2.216735,2.150892,2.150892,1.781039,236800
1980-06-06,2.216735,2.282579,2.216735,2.216735,1.835560,175000
1980-06-09,2.216735,2.282579,2.216735,2.216735,1.835560,157900
1980-06-10,2.370370,2.436214,2.370370,2.370370,1.962777,357300
1980-06-11,2.502058,2.567901,2.502058,2.502058,2.071821,448300
1980-06-12,2.502058,2.545953,2.480110,2.480110,2.053646,441600
1980-06-13,2.524005,2.589849,2.524005,2.524005,2.089994,289800
1980-06-16,2.524005,2.545953,2.480110,2.480110,2.053646,148600
1980-06-17,2.458162,2.458162,2.392318,2.392318,1.980951,168900
1980-06-18,2.392318,2.436214,2.370370,2.370370,1.962777,260100
1980-06-19,2.172839,2.172839,2.106996,2.106996,1.744691,440200
1980-06-20,2.216735,2.282579,2.216735,2.216735,1.835560,252400
1980-06-23,2.216735,2.282579,2.216735,2.216735,1.835560,202500
1980-06-24,2.216735,2.260631,2.194787,2.194787,1.817386,125700
1980-06-25,2.348423,2.414266,2.348423,2.348423,1.944603,286800
1980-06-26,2.348423,2.392318,2.326475,2.326475,1.926430,179500
1980-06-27,2.326475,2.370370,2.304527,2.304527,1.908256,68800
1980-06-30,2.260631,2.260631,2.194787,2.194787,1.817386,206700
1980-07-01,2.194787,2.238683,2.172839,2.172839,1.799212,64000
1980-07-02,2.260631,2.326475,2.260631,2.260631,1.871908,162100
1980-07-03,2.370370,2.436214,2.370370,2.370370,1.962777,171400
1980-07-07,2.370370,2.414266,2.370370,2.370370,1.962777,135000
1980-07-08,2.370370,2.392318,2.370370,2.370370,1.962777,102100
1980-07-09,2.370370,2.392318,2.348423,2.348423,1.944603,118800
1980-07-10,2.348423,2.348423,2.326475,2.326475,1.926430,86400
1980-07-11,2.370370,2.392318,2.370370,2.370370,1.962777,155200
1980-07-14,2.480110,2.502058,2.480110,2.480110,2.053646,232200
1980-07-15,2.480110,2.480110,2.436214,2.436214,2.017299,332200
1980-07-16,2.414266,2.414266,2.392318,2.392318,1.980951,178200
1980-07-17,2.392318,2.414266,2.392318,2.392318,1.980951,185100
1980-07-18,2.392318,2.392318,2.370370,2.370370,1.962777,118800
1980-07-21,2.392318,2.414266,2.392318,2.392318,1.980951,221500
1980-07-22,2.370370,2.370370,2.326475,2.326475,1.926430,218800
1980-07-23,2.326475,2.370370,2.326475,2.326475,1.926430,255300
1980-07-24,2.326475,2.348423,2.326475,2.326475,1.926430,164200
1980-07-25,2.414266,2.436214,2.414266,2.414266,1.999125,155200
1980-07-28,2.524005,2.545953,2.524005,2.524005,2.089994,422100
1980-07-29,2.589849,2.611797,2.589849,2.589849,2.144516,490200
