Date,Open,High,Low,Close,Adj Close,Volume
1986-11-06,7.062500,7.156250,6.875000,7.000000,2.163618,17902800
1986-11-07,7.000000,7.000000,6.843750,6.968750,2.153959,6288000
1986-11-10,6.906250,6.906250,6.750000,6.781250,2.096005,3060000
1986-11-11,6.781250,6.875000,6.781250,6.875000,2.124983,1130000
1986-11-12,6.875000,6.937500,6.812500,6.875000,2.124983,2082800
1986-11-13,6.843750,6.843750,6.812500,6.812500,2.105665,891200
1986-11-14,6.812500,6.875000,6.781250,6.875000,2.124983,952000
1986-11-17,6.812500,6.843750,6.750000,6.750000,2.086346,1055200
1986-11-18,6.750000,6.781250,6.593750,6.625000,2.047710,2426400
1986-11-19,6.625000,6.625000,6.500000,6.531250,2.018732,2026000
1986-11-20,6.593750,6.656250,6.531250,6.625000,2.047710,3253600
1986-11-21,6.718750,6.718750,6.656250,6.718750,2.076687,639600
1986-11-24,6.687500,6.718750,6.656250,6.656250,2.057369,660000
1986-11-25,6.656250,6.718750,6.562500,6.687500,2.067028,1080000
1986-11-26,6.687500,6.750000,6.562500,6.687500,2.067028,963200
1986-11-28,6.687500,6.718750,6.656250,6.718750,2.076687,521600
1986-12-01,6.687500,6.750000,6.687500,6.750000,2.086346,662000
1986-12-02,6.750000,6.875000,6.750000,6.875000,2.124983,1161200
1986-12-03,6.875000,7.062500,6.875000,6.968750,2.153959,1210400
1986-12-04,6.968750,6.968750,6.875000,6.906250,2.134640,1446400
1986-12-05,6.875000,6.906250,6.843750,6.843750,2.115323,737600
1986-12-08,6.812500,6.843750,6.750000,6.750000,2.086346,703600
1986-12-09,6.750000,6.781250,6.750000,6.750000,2.086346,444800
1986-12-10,6.750000,6.781250,6.718750,6.718750,2.076687,902400
1986-12-11,6.750000,6.781250,6.593750,6.687500,2.067028,550400
1986-12-12,6.687500,6.750000,6.656250,6.750000,2.086346,356800
1986-12-15,6.718750,6.750000,6.656250,6.718750,2.076687,521200
1986-12-16,6.687500,6.718750,6.625000,6.656250,2.057369,835600
1986-12-17,6.656250,6.656250,6.625000,6.625000,2.047710,803600
1986-12-18,6.625000,6.656250,6.531250,6.593750,2.038051,1108000
1986-12-19,6.500000,6.625000,6.500000,6.625000,2.047710,556000
1986-12-22,6.562500,6.562500,6.500000,6.562500,2.028392,1456000
1986-12-23,6.531250,6.562500,6.500000,6.562500,2.028392,574000
1986-12-24,6.687500,6.687500,6.500000,6.531250,2.018732,322400
1986-12-26,6.500000,6.562500,6.500000,6.562500,2.028392,486000
1986-12-29,6.531250,6.531250,6.468750,6.531250,2.018732,693200
1986-12-30,6.531250,6.562500,6.437500,6.562500,2.028392,910000
1986-12-31,6.500000,6.718750,6.500000,6.718750,2.076687,841600
1987-01-02,6.687500,6.812500,6.625000,6.812500,2.105665,264800
1987-01-05,6.812500,6.968750,6.812500,6.937500,2.144299,668400
1987-01-06,6.875000,6.968750,6.843750,6.968750,2.153959,554400
1987-01-07,6.937500,7.156250,6.937500,7.156250,2.211913,748400
1987-01-08,7.125000,7.562500,7.093750,7.562500,2.337481,596800
1987-01-09,7.531250,7.750000,7.406250,7.625000,2.356799,759600
1987-01-12,7.562500,7.781250,7.562500,7.625000,2.356799,1196800
1987-01-13,7.562500,7.593750,7.343750,7.406250,2.289185,504800
1987-01-14,7.468750,7.593750,7.437500,7.500000,2.318161,611600
1987-01-15,7.468750,7.593750,7.468750,7.500000,2.318161,463200
1987-01-16,7.531250,7.656250,7.437500,7.625000,2.356799,412800
1987-01-19,7.562500,7.625000,7.500000,7.562500,2.337481,161600
1987-01-20,7.593750,7.625000,7.531250,7.593750,2.410899,642000
1987-01-21,7.562500,7.625000,7.531250,7.531250,2.391056,505200
1987-01-22,7.531250,7.531250,7.375000,7.437500,2.361291,618000
1987-01-23,7.468750,7.625000,7.437500,7.625000,2.420820,573200
1987-01-26,7.500000,7.500000,7.375000,7.375000,2.341449,594800
1987-01-27,7.312500,7.500000,7.281250,7.468750,2.371212,488400
1987-01-28,7.437500,7.531250,7.437500,7.437500,2.361291,462000
1987-01-29,7.406250,7.500000,7.375000,7.375000,2.341449,574000
1987-01-30,7.375000,7.468750,7.343750,7.375000,2.341449,265600
1987-02-02,7.500000,7.531250,7.343750,7.531250,2.391056,900000
1987-02-03,7.562500,7.625000,7.500000,7.531250,2.391056,1131600
1987-02-04,7.500000,7.500000,7.406250,7.468750,2.371212,498800
1987-02-05,7.343750,7.531250,7.312500,7.406250,2.351369,1638800
1987-02-06,7.437500,7.531250,7.406250,7.531250,2.391056,673600
1987-02-09,7.468750,7.562500,7.406250,7.500000,2.381133,487600
1987-02-10,7.468750,7.500000,7.437500,7.468750,2.371212,300800
1987-02-11,7.468750,7.531250,7.468750,7.500000,2.381133,228000
1987-02-12,7.531250,7.593750,7.500000,7.531250,2.391056,324800
1987-02-13,7.531250,7.750000,7.531250,7.750000,2.460505,402800
1987-02-17,7.750000,7.812500,7.500000,7.500000,2.381133,933200
1987-02-18,7.562500,7.562500,7.343750,7.375000,2.341449,702400
1987-02-19,7.312500,7.843750,7.093750,7.750000,2.460505,1086400
1987-02-20,7.750000,7.750000,7.187500,7.250000,2.301763,3002000
1987-02-23,7.156250,7.156250,7.000000,7.000000,2.222393,1918000
1987-02-24,7.031250,7.031250,6.937500,6.968750,2.212471,962400
1987-02-25,6.968750,7.000000,6.937500,7.000000,2.222393,559200
