Date,Open,High,Low,Close,Adj Close,Volume
2005-12-05,40.500000,43.099998,40.500000,42.799999,35.185154,905200
2005-12-06,42.950001,44.389999,42.950001,44.389999,36.492256,850400
2005-12-07,44.279999,44.950001,44.279999,44.900002,36.911522,870900
2005-12-08,44.900002,44.900002,43.500000,43.900002,36.089439,965300
2005-12-09,44.099998,44.250000,42.830002,43.650002,35.883911,908500
2005-12-12,43.500000,44.200001,43.450001,43.520000,35.777046,752200
2005-12-13,43.450001,44.240002,43.299999,43.900002,36.089439,143700
2005-12-14,43.910000,44.180000,43.669998,43.900002,36.089439,164300
2005-12-15,43.799999,43.799999,42.880001,42.910000,35.275570,180400
2005-12-16,43.000000,43.189999,42.790001,43.189999,35.505756,147000
2005-12-19,43.099998,43.099998,42.410000,42.580002,35.004295,276300
2005-12-20,42.580002,42.580002,41.849998,42.000000,34.527481,760000
2005-12-21,42.099998,42.439999,41.799999,41.830002,34.387737,401500
2005-12-22,41.980000,41.980000,41.380001,41.549999,34.157551,388000
2005-12-23,41.590000,41.590000,41.250000,41.450001,34.075333,625900
2005-12-27,41.450001,41.450001,40.200001,40.340000,33.162842,491600
2005-12-28,40.240002,40.400002,39.939999,40.259998,33.097054,908400
2005-12-29,40.250000,40.599998,39.820000,39.950001,32.842216,660100
2005-12-30,39.950001,41.150002,39.779999,41.150002,33.828716,3564700
2006-01-03,41.119999,42.099998,38.650002,41.590000,34.190422,6392100
2006-01-04,41.779999,42.200001,41.680000,41.980000,34.511040,6084400
2006-01-05,41.869999,42.419998,41.750000,42.250000,34.733002,5540600
2006-01-06,42.400002,42.950001,42.340000,42.650002,35.061848,5627600
2006-01-09,42.669998,42.840000,42.389999,42.500000,34.938530,5130600
2006-01-10,42.250000,42.509998,41.529999,42.400002,34.856312,4909000
2006-01-11,42.349998,42.400002,41.639999,41.810001,34.371300,5048000
2006-01-12,42.580002,42.580002,41.130001,41.650002,34.239758,6165400
2006-01-13,41.580002,42.259998,41.459999,42.180000,34.675453,4719200
2006-01-17,41.860001,42.150002,41.610001,41.700001,34.280857,4465500
2006-01-18,41.700001,41.880001,41.119999,41.740002,34.313755,3201100
2006-01-19,41.950001,42.900002,41.830002,42.770000,35.160496,3559200
2006-01-20,42.700001,42.720001,42.410000,42.450001,34.897427,3967100
2006-01-23,42.450001,43.230000,42.270000,43.150002,35.472893,3843000
2006-01-24,43.220001,43.549999,43.029999,43.459999,35.727722,3727800
2006-01-25,43.480000,43.799999,43.090000,43.279999,35.579758,3816900
2006-01-26,43.500000,43.849998,42.830002,43.099998,35.431774,2461200
2006-01-27,43.099998,43.590000,42.790001,43.290001,35.587978,2552500
2006-01-30,43.270000,43.340000,42.430000,42.549999,34.979633,2645800
2006-01-31,42.549999,42.570000,41.430000,41.480000,34.099995,3835300
2006-02-01,41.330002,42.150002,41.320000,42.090000,34.601471,3465900
2006-02-02,42.169998,42.330002,41.410000,41.770000,34.338413,2738300
2006-02-03,41.520000,42.080002,41.520000,41.990002,34.519257,2974500
2006-02-06,41.990002,42.240002,41.860001,41.880001,34.428837,2461600
2006-02-07,41.950001,42.360001,41.840000,41.849998,34.404171,3277500
2006-02-08,41.799999,42.509998,41.410000,42.500000,34.938530,2953400
2006-02-09,42.380001,42.889999,42.200001,42.849998,35.226242,2518600
2006-02-10,42.849998,43.099998,42.619999,42.950001,35.308464,2515300
2006-02-13,42.849998,42.889999,42.509998,42.770000,35.160496,1838000
2006-02-14,42.770000,43.439999,42.509998,43.189999,35.505756,2202300
2006-02-15,43.000000,43.500000,42.799999,43.400002,35.678413,1790800
2006-02-16,43.500000,43.900002,43.009998,43.599998,35.842815,2503300
2006-02-17,43.610001,43.680000,42.900002,42.919998,35.283806,2299800
2006-02-21,42.799999,42.799999,42.220001,42.419998,34.872761,1950200
2006-02-22,42.450001,42.470001,41.520000,41.900002,34.445278,2962000
2006-02-23,41.349998,41.849998,40.470001,40.959999,33.672523,5608400
2006-02-24,40.750000,40.759998,39.869999,40.160000,33.014858,5639000
2006-02-27,40.169998,40.490002,39.970001,40.160000,33.014858,3749200
2006-02-28,40.150002,40.240002,39.799999,39.959999,32.850437,4406900
2006-03-01,40.000000,40.930000,39.900002,40.930000,33.647854,3132700
2006-03-02,40.580002,40.599998,39.799999,39.980000,32.866875,4475600
2006-03-03,39.700001,39.980000,39.669998,39.790001,32.710682,3727200
2006-03-06,39.790001,39.970001,38.549999,38.630001,31.757072,5281300
2006-03-07,38.509998,38.509998,37.840000,38.060001,31.288469,5802100
2006-03-08,37.950001,38.320000,37.669998,38.049999,31.280258,4306400
2006-03-09,38.000000,38.389999,37.730000,38.279999,31.469339,3898800
2006-03-10,38.299999,38.950001,38.200001,38.849998,31.937933,3227500
2006-03-13,38.779999,38.939999,38.599998,38.799999,31.896818,2463300
2006-03-14,38.700001,39.200001,38.700001,39.000000,32.061237,1755400
2006-03-15,38.900002,38.970001,38.590000,38.860001,31.946142,2182900
