Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.864583,2.937500,2.864583,2.875000,0.267450,26400
1980-03-18,2.843750,2.843750,2.770833,2.770833,0.257760,19200
1980-03-19,2.750000,2.750000,2.697917,2.697917,0.250977,30000
1980-03-20,2.687500,2.687500,2.666667,2.666667,0.248069,16800
1980-03-21,2.666667,2.666667,2.645833,2.645833,0.246132,10800
1980-03-24,2.645833,2.656250,2.645833,2.656250,0.247101,15600
1980-03-25,2.656250,2.656250,2.625000,2.625000,0.244193,18000
1980-03-26,2.625000,2.656250,2.625000,2.645833,0.246132,26400
1980-03-27,2.645833,2.656250,2.541667,2.541667,0.236441,27600
1980-03-28,2.604167,2.614583,2.604167,2.614583,0.243224,14400
1980-03-31,2.625000,2.645833,2.625000,2.625000,0.244193,12000
1980-04-01,2.625000,2.697917,2.625000,2.697917,0.250977,32400
1980-04-02,2.708333,2.750000,2.708333,2.750000,0.255822,34800
1980-04-03,2.729167,2.729167,2.666667,2.666667,0.248069,1128000
1980-04-07,2.645833,2.645833,2.625000,2.625000,0.244193,22800
1980-04-08,2.625000,2.645833,2.583333,2.645833,0.246132,38400
1980-04-09,2.656250,2.656250,2.656250,2.656250,0.247101,6000
1980-04-10,2.656250,2.666667,2.656250,2.666667,0.248069,3600
1980-04-11,2.697917,2.750000,2.697917,2.750000,0.255822,19200
1980-04-14,2.750000,2.750000,2.750000,2.750000,0.255822,6000
1980-04-15,2.750000,2.750000,2.750000,2.750000,0.255822,4800
1980-04-16,2.729167,2.729167,2.687500,2.687500,0.250008,7200
1980-04-17,2.708333,2.708333,2.708333,2.708333,0.251946,2400
1980-04-18,2.708333,2.718750,2.687500,2.687500,0.250008,9600
1980-04-21,2.687500,2.697917,2.687500,2.697917,0.250977,4800
1980-04-22,2.697917,2.739583,2.687500,2.739583,0.254853,10800
1980-04-23,2.750000,2.770833,2.750000,2.750000,0.255822,6000
1980-04-24,2.750000,2.750000,2.708333,2.708333,0.251946,7200
1980-04-25,2.687500,2.687500,2.687500,2.687500,0.250008,4800
1980-04-28,2.687500,2.687500,2.687500,2.687500,0.250008,0
1980-04-29,2.687500,2.687500,2.687500,2.687500,0.250008,0
1980-04-30,2.687500,2.718750,2.687500,2.697917,0.250977,12000
1980-05-01,2.697917,2.739583,2.687500,2.739583,0.254853,25200
1980-05-02,2.718750,2.718750,2.697917,2.697917,0.250977,12000
1980-05-05,2.697917,2.697917,2.687500,2.697917,0.250977,13200
1980-05-06,2.697917,2.708333,2.666667,2.708333,0.251946,33600
1980-05-07,2.729167,2.729167,2.729167,2.729167,0.253884,1200
1980-05-08,2.729167,2.729167,2.687500,2.687500,0.250008,3600
1980-05-09,2.708333,2.750000,2.708333,2.708333,0.251946,16800
1980-05-12,2.729167,2.729167,2.729167,2.729167,0.253884,2400
1980-05-13,2.708333,2.708333,2.677083,2.687500,0.250008,12000
1980-05-14,2.687500,2.708333,2.677083,2.708333,0.251946,27600
1980-05-15,2.708333,2.708333,2.687500,2.708333,0.251946,7200
1980-05-16,2.687500,2.687500,2.687500,2.687500,0.250008,3600
1980-05-19,2.687500,2.687500,2.687500,2.687500,0.250008,1200
1980-05-20,2.666667,2.666667,2.645833,2.645833,0.246132,20400
1980-05-21,2.645833,2.666667,2.614583,2.666667,0.248069,12000
1980-05-22,2.666667,2.770833,2.666667,2.750000,0.255822,50400
1980-05-23,2.750000,2.770833,2.750000,2.750000,0.255822,44400
1980-05-27,2.750000,2.770833,2.729167,2.750000,0.255822,8400
1980-05-28,2.750000,2.750000,2.729167,2.750000,0.255822,12000
1980-05-29,2.750000,2.750000,2.750000,2.750000,0.255822,0
1980-05-30,2.750000,2.750000,2.750000,2.750000,0.255822,3600
1980-06-02,2.750000,2.770833,2.750000,2.750000,0.255822,63600
1980-06-03,2.750000,2.802083,2.750000,2.802083,0.260667,8400
1980-06-04,2.802083,2.812500,2.781250,2.812500,0.261636,3600
1980-06-05,2.822917,2.843750,2.822917,2.822917,0.262605,7200
