Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.782273,0.854482,0.782273,0.782273,0.192274,319700
1980-03-18,0.782273,0.806343,0.722098,0.782273,0.192274,643800
1980-03-19,0.782273,0.866517,0.782273,0.848465,0.208543,404700
1980-03-20,0.842447,0.842447,0.830413,0.836430,0.205585,153500
1980-03-21,0.842447,0.872535,0.842447,0.854482,0.210022,415300
1980-03-24,0.854482,0.878552,0.830413,0.842447,0.207064,184500
1980-03-25,0.824395,0.824395,0.776255,0.776255,0.190795,269900
1980-03-26,0.776255,0.788290,0.764220,0.764220,0.187837,203400
1980-03-27,0.752185,0.752185,0.565643,0.661923,0.162693,674900
1980-03-28,0.692010,0.734133,0.692010,0.734133,0.180442,604200
1980-03-31,0.740150,0.830413,0.740150,0.788290,0.193753,500300
1980-04-01,0.788290,0.806343,0.770238,0.806343,0.198190,250900
1980-04-02,0.806343,0.854482,0.806343,0.818378,0.201148,232500
1980-04-03,0.818378,0.824395,0.812360,0.812360,0.199669,195000
1980-04-07,0.812360,0.830413,0.800325,0.800325,0.196711,215800
1980-04-08,0.800325,0.800325,0.758203,0.788290,0.193753,215800
1980-04-09,0.788290,0.818378,0.776255,0.818378,0.201148,249100
1980-04-10,0.830413,0.866517,0.830413,0.866517,0.212980,317500
1980-04-11,0.866517,0.866517,0.830413,0.836430,0.205585,182700
1980-04-14,0.836430,0.836430,0.812360,0.818378,0.201148,134700
1980-04-15,0.818378,0.836430,0.818378,0.818378,0.201148,141100
1980-04-16,0.818378,0.830413,0.794308,0.794308,0.195232,134700
1980-04-17,0.794308,0.806343,0.758203,0.770238,0.189316,112000
1980-04-18,0.770238,0.782273,0.764220,0.770238,0.189316,24800
1980-04-21,0.770238,0.776255,0.758203,0.758203,0.186358,43400
1980-04-22,0.770238,0.818378,0.770238,0.812360,0.199669,282200
1980-04-23,0.812360,0.836430,0.800325,0.812360,0.199669,178400
1980-04-24,0.812360,0.830413,0.794308,0.818378,0.201148,130600
1980-04-25,0.818378,0.824395,0.800325,0.824395,0.202627,70500
1980-04-28,0.824395,0.830413,0.800325,0.800325,0.196711,294900
1980-04-29,0.806343,0.830413,0.806343,0.830413,0.204106,232500
1980-04-30,0.830413,0.962797,0.824395,0.950762,0.233687,674900
1980-05-01,0.950762,1.004919,0.926692,0.956780,0.235166,712200
1980-05-02,0.956780,1.022972,0.950762,1.010937,0.248477,344600
1980-05-05,1.010937,1.041024,0.974832,0.986867,0.242561,257400
1980-05-06,0.986867,1.004919,0.968815,0.974832,0.239603,286600
1980-05-07,0.974832,0.986867,0.944745,0.944745,0.232208,113900
1980-05-08,0.944745,0.986867,0.938727,0.938727,0.230729,130600
1980-05-09,0.932710,0.932710,0.920675,0.926692,0.227770,99500
1980-05-12,0.926692,0.980850,0.908640,0.962797,0.236645,504400
1980-05-13,0.998902,1.016954,0.998902,1.004919,0.246998,300900
1980-05-14,1.004919,1.004919,0.950762,0.974832,0.239603,170200
1980-05-15,0.974832,0.986867,0.962797,0.962797,0.236645,166000
1980-05-16,0.962797,0.974832,0.956780,0.968815,0.238124,64200
1980-05-19,0.968815,0.986867,0.950762,0.962797,0.236645,186700
1980-05-20,0.962797,0.968815,0.950762,0.968815,0.238124,153500
1980-05-21,0.968815,0.974832,0.944745,0.950762,0.233687,167900
1980-05-22,0.956780,0.968815,0.956780,0.956780,0.235166,120300
1980-05-23,0.962797,0.992885,0.962797,0.980850,0.241082,296800
1980-05-27,0.980850,0.980850,0.950762,0.950762,0.233687,137000
1980-05-28,0.950762,0.956780,0.914657,0.920675,0.226292,261500
1980-05-29,0.920675,0.938727,0.896605,0.938727,0.230729,170200
1980-05-30,0.926692,0.926692,0.902622,0.908640,0.223333,137000
1980-06-02,0.908640,0.914657,0.896605,0.902622,0.221854,182700
1980-06-03,0.902622,0.926692,0.890587,0.890587,0.218896,222000
1980-06-04,0.890587,0.914657,0.890587,0.914657,0.224813,167900
1980-06-05,0.914657,0.926692,0.896605,0.908640,0.223333,147300
1980-06-06,0.908640,0.938727,0.902622,0.938727,0.230729,265800
1980-06-09,0.938727,0.938727,0.908640,0.914657,0.224813,161900
1980-06-10,0.914657,0.926692,0.914657,0.914657,0.224813,47500
1980-06-11,0.914657,0.938727,0.914657,0.926692,0.227770,80700
1980-06-12,0.926692,0.926692,0.896605,0.908640,0.223333,109800
1980-06-13,0.908640,0.938727,0.908640,0.926692,0.227770,170200
1980-06-16,0.926692,0.926692,0.902622,0.914657,0.224813,101400
1980-06-17,0.914657,0.920675,0.896605,0.896605,0.220375,163700
1980-06-18,0.896605,0.920675,0.890587,0.920675,0.226292,554200
1980-06-19,0.920675,0.932710,0.914657,0.920675,0.226292,240700
1980-06-20,0.920675,0.920675,0.890587,0.920675,0.226292,93100
1980-06-23,0.920675,0.974832,0.914657,0.974832,0.239603,298900
1980-06-24,0.974832,1.016954,0.962797,1.010937,0.248477,354800
1980-06-25,1.028989,1.053059,1.028989,1.035007,0.254393,325900
1980-06-26,1.035007,1.035007,1.004919,1.010937,0.248477,128600
1980-06-27,1.004919,1.004919,0.980850,1.004919,0.246998,211700
1980-06-30,1.004919,1.022972,0.992885,1.004919,0.246998,257400
1980-07-01,1.004919,1.053059,1.004919,1.035007,0.254393,276000
