Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.194444,2.222222,2.194444,2.208333,0.177294,183600
1980-03-18,2.208333,2.250000,2.194444,2.236111,0.179525,73800
1980-03-19,2.236111,2.277778,2.236111,2.277778,0.182870,164400
1980-03-20,2.277778,2.333333,2.277778,2.333333,0.187330,87000
1980-03-21,2.361111,2.375000,2.361111,2.361111,0.189560,104400
1980-03-24,2.361111,2.375000,2.277778,2.277778,0.182870,129600
1980-03-25,2.263889,2.263889,2.236111,2.250000,0.180640,299400
1980-03-26,2.250000,2.291667,2.250000,2.277778,0.182870,114000
1980-03-27,2.277778,2.277778,2.250000,2.263889,0.181755,54000
1980-03-28,2.250000,2.250000,2.208333,2.250000,0.180640,144000
1980-03-31,2.250000,2.263889,2.236111,2.263889,0.181755,184200
1980-04-01,2.263889,2.333333,2.263889,2.333333,0.187330,120600
1980-04-02,2.361111,2.430556,2.361111,2.430556,0.195135,90600
1980-04-03,2.444444,2.541667,2.444444,2.541667,0.204056,25200
1980-04-07,2.541667,2.541667,2.527778,2.527778,0.202941,34200
1980-04-08,2.527778,2.541667,2.486111,2.541667,0.204056,68400
1980-04-09,2.541667,2.625000,2.541667,2.611111,0.209631,168000
1980-04-10,2.680556,2.750000,2.680556,2.680556,0.215206,183600
1980-04-11,2.680556,2.708333,2.666667,2.666667,0.214091,174600
1980-04-14,2.666667,2.680556,2.638889,2.666667,0.214091,351600
1980-04-15,2.652778,2.652778,2.583333,2.583333,0.207401,85200
1980-04-16,2.597222,2.777778,2.597222,2.722222,0.218551,322800
1980-04-17,2.722222,2.722222,2.666667,2.722222,0.218551,307800
1980-04-18,2.722222,2.750000,2.694444,2.708333,0.217437,48600
1980-04-21,2.708333,2.708333,2.666667,2.666667,0.214091,43800
1980-04-22,2.666667,2.680556,2.652778,2.680556,0.215206,216600
1980-04-23,2.680556,2.708333,2.666667,2.694444,0.216321,579600
1980-04-24,2.694444,2.694444,2.652778,2.666667,0.214091,518400
1980-04-25,2.666667,2.680556,2.638889,2.680556,0.215206,126000
1980-04-28,2.680556,2.708333,2.666667,2.694444,0.216321,91800
1980-04-29,2.694444,2.722222,2.694444,2.708333,0.217437,316800
1980-04-30,2.708333,2.722222,2.680556,2.722222,0.218551,78000
1980-05-01,2.722222,2.722222,2.680556,2.722222,0.218551,75600
1980-05-02,2.652778,2.652778,2.625000,2.638889,0.211861,85200
1980-05-05,2.638889,2.652778,2.625000,2.652778,0.212976,63600
1980-05-06,2.652778,2.750000,2.652778,2.708333,0.217437,88200
1980-05-07,2.722222,2.777778,2.722222,2.763889,0.221897,94200
1980-05-08,2.763889,2.763889,2.694444,2.708333,0.217437,835800
1980-05-09,2.708333,2.708333,2.680556,2.708333,0.217437,45000
1980-05-12,2.708333,2.708333,2.680556,2.694444,0.216321,78000
1980-05-13,2.680556,2.680556,2.638889,2.652778,0.212976,532800
1980-05-14,2.652778,2.680556,2.652778,2.666667,0.214091,76200
1980-05-15,2.666667,2.666667,2.652778,2.666667,0.214091,104400
1980-05-16,2.666667,2.666667,2.652778,2.652778,0.212976,90600
1980-05-19,2.652778,2.666667,2.638889,2.652778,0.212976,70200
1980-05-20,2.652778,2.694444,2.652778,2.694444,0.216321,111600
1980-05-21,2.680556,2.680556,2.652778,2.680556,0.215206,91800
1980-05-22,2.680556,2.694444,2.666667,2.694444,0.216321,135000
1980-05-23,2.694444,2.722222,2.680556,2.722222,0.218551,111600
1980-05-27,2.722222,2.722222,2.694444,2.708333,0.217437,115200
1980-05-28,2.708333,2.736111,2.694444,2.722222,0.218551,214200
1980-05-29,2.736111,2.791667,2.736111,2.750000,0.220782,138600
1980-05-30,2.750000,2.805556,2.736111,2.777778,0.223012,92400
1980-06-02,2.777778,2.777778,2.736111,2.763889,0.221897,174600
1980-06-03,2.750000,2.750000,2.722222,2.750000,0.220782,244800
1980-06-04,2.750000,2.763889,2.722222,2.763889,0.221897,88800
1980-06-05,2.763889,2.791667,2.763889,2.791667,0.224127,159000
1980-06-06,2.791667,2.805556,2.763889,2.805556,0.225242,73800
1980-06-09,2.805556,2.819444,2.777778,2.805556,0.225242,106200
1980-06-10,2.805556,2.805556,2.777778,2.777778,0.223012,126600
1980-06-11,2.777778,2.861111,2.777778,2.819444,0.226357,510000
1980-06-12,2.819444,2.847222,2.805556,2.833333,0.227472,508200
1980-06-13,2.833333,2.861111,2.819444,2.861111,0.229702,141000
1980-06-16,2.861111,2.888889,2.833333,2.861111,0.229702,757800
1980-06-17,2.861111,2.916667,2.861111,2.888889,0.231932,1425600
1980-06-18,2.902778,2.930556,2.902778,2.916667,0.234162,101400
1980-06-19,2.916667,2.986111,2.861111,2.902778,0.233047,67200
1980-06-20,2.902778,2.902778,2.875000,2.902778,0.233047,63600
1980-06-23,2.902778,2.916667,2.875000,2.902778,0.233047,68400
1980-06-24,2.902778,2.902778,2.875000,2.888889,0.231932,232800
1980-06-25,2.888889,2.902778,2.875000,2.888889,0.231932,58200
1980-06-26,2.888889,2.902778,2.861111,2.888889,0.231932,88200
1980-06-27,2.888889,2.888889,2.847222,2.888889,0.231932,300600
1980-06-30,2.888889,2.888889,2.805556,2.833333,0.227472,73800
1980-07-01,2.833333,2.847222,2.819444,2.833333,0.227472,126600
1980-07-02,2.819444,2.819444,2.777778,2.791667,0.224127,172800
1980-07-03,2.791667,2.791667,2.763889,2.791667,0.224127,130200
1980-07-07,2.777778,2.777778,2.736111,2.777778,0.223012,140400
1980-07-08,2.777778,2.819444,2.777778,2.805556,0.225242,100800
1980-07-09,2.805556,2.805556,2.750000,2.805556,0.225242,106200
1980-07-10,2.805556,2.819444,2.777778,2.805556,0.225242,49200
1980-07-11,2.805556,2.805556,2.777778,2.777778,0.223012,101400
1980-07-14,2.791667,2.805556,2.791667,2.805556,0.225242,61200
1980-07-15,2.805556,2.805556,2.777778,2.777778,0.223012,315000
1980-07-16,2.777778,2.805556,2.777778,2.805556,0.225242,54000
1980-07-17,2.805556,2.805556,2.791667,2.791667,0.224127,58200
1980-07-18,2.791667,2.805556,2.791667,2.805556,0.225242,79200
1980-07-21,2.805556,2.833333,2.791667,2.833333,0.227472,132000
1980-07-22,2.819444,2.819444,2.791667,2.791667,0.224127,234600
1980-07-23,2.791667,2.819444,2.791667,2.791667,0.224127,172800
1980-07-24,2.791667,2.819444,2.791667,2.791667,0.224127,172800
1980-07-25,2.791667,2.819444,2.791667,2.819444,0.226357,160200
1980-07-28,2.819444,2.819444,2.777778,2.805556,0.225242,187200
1980-07-29,2.805556,2.805556,2.777778,2.805556,0.225242,140400
1980-07-30,2.805556,2.805556,2.763889,2.777778,0.223012,169800
1980-07-31,2.777778,2.777778,2.694444,2.708333,0.217437,726000
1980-08-01,2.708333,2.708333,2.694444,2.694444,0.216321,450000
1980-08-04,2.638889,2.638889,2.611111,2.638889,0.211861,223200
1980-08-05,2.638889,2.638889,2.611111,2.611111,0.209631,531000
1980-08-06,2.611111,2.625000,2.597222,2.597222,0.208516,112200
1980-08-07,2.597222,2.611111,2.569444,2.583333,0.207401,130200
1980-08-08,2.583333,2.597222,2.569444,2.569444,0.206286,471600
1980-08-11,2.569444,2.583333,2.555556,2.569444,0.206286,234000
1980-08-12,2.569444,2.583333,2.569444,2.583333,0.207401,130200
1980-08-13,2.583333,2.597222,2.569444,2.597222,0.208516,142800
1980-08-14,2.597222,2.611111,2.597222,2.611111,0.209631,115200
1980-08-15,2.611111,2.611111,2.597222,2.611111,0.209631,77400
1980-08-18,2.611111,2.611111,2.583333,2.583333,0.207401,108600
1980-08-19,2.583333,2.611111,2.569444,2.583333,0.207401,86400
1980-08-20,2.583333,2.597222,2.569444,2.597222,0.208516,74400
1980-08-21,2.597222,2.625000,2.583333,2.611111,0.209631,181800
1980-08-22,2.625000,2.694444,2.625000,2.694444,0.216321,58200
1980-08-25,2.694444,2.708333,2.680556,2.708333,0.217437,42000
1980-08-26,2.708333,2.763889,2.708333,2.750000,0.220782,63600
1980-08-27,2.736111,2.736111,2.680556,2.708333,0.217437,1384200
1980-08-28,2.694444,2.694444,2.680556,2.694444,0.216321,48600
1980-08-29,2.694444,2.694444,2.680556,2.680556,0.215206,162600
1980-09-02,2.680556,2.694444,2.666667,2.680556,0.215206,163800
1980-09-03,2.680556,2.680556,2.638889,2.652778,0.212976,414600
1980-09-04,2.652778,2.666667,2.652778,2.666667,0.214091,574800
1980-09-05,2.666667,2.680556,2.625000,2.625000,0.210746,63000
1980-09-08,2.625000,2.652778,2.583333,2.611111,0.209631,142200
1980-09-09,2.611111,2.638889,2.583333,2.638889,0.211861,43800
1980-09-10,2.638889,2.652778,2.597222,2.625000,0.210746,128400
1980-09-11,2.625000,2.638889,2.625000,2.638889,0.211861,52800
1980-09-12,2.625000,2.625000,2.611111,2.611111,0.209631,65400
1980-09-15,2.611111,2.625000,2.555556,2.583333,0.207401,156600
1980-09-16,2.569444,2.569444,2.513889,2.527778,0.202941,150000
1980-09-17,2.527778,2.583333,2.513889,2.583333,0.207401,95400
1980-09-18,2.583333,2.583333,2.541667,2.555556,0.205171,46800
1980-09-19,2.555556,2.597222,2.541667,2.597222,0.208516,142200
1980-09-22,2.597222,2.597222,2.555556,2.555556,0.205171,129600
1980-09-23,2.555556,2.569444,2.555556,2.555556,0.205171,72000
1980-09-24,2.555556,2.583333,2.555556,2.583333,0.207401,99600
1980-09-25,2.583333,2.583333,2.555556,2.569444,0.206286,33000
1980-09-26,2.569444,2.597222,2.555556,2.583333,0.207401,724200
1980-09-29,2.583333,2.611111,2.569444,2.569444,0.206286,60000
1980-09-30,2.569444,2.625000,2.569444,2.569444,0.206286,205800
1980-10-01,2.569444,2.583333,2.555556,2.583333,0.207401,68400
1980-10-02,2.583333,2.652778,2.541667,2.597222,0.208516,169800
1980-10-03,2.597222,2.611111,2.569444,2.597222,0.208516,81000
1980-10-06,2.597222,2.611111,2.569444,2.597222,0.208516,94200
1980-10-07,2.597222,2.625000,2.597222,2.611111,0.209631,66600
1980-10-08,2.611111,2.638889,2.583333,2.597222,0.208516,1908000
1980-10-09,2.583333,2.583333,2.555556,2.583333,0.207401,288600
1980-10-10,2.583333,2.583333,2.527778,2.583333,0.207401,6798600
1980-10-13,2.583333,2.597222,2.541667,2.583333,0.207401,81000
