Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,7.750000,7.937500,7.750000,7.812500,2.654112,67400
1980-03-18,7.750000,7.750000,7.500000,7.750000,2.632879,382600
1980-03-19,7.750000,7.812500,7.750000,7.812500,2.654112,105200
1980-03-20,7.812500,7.812500,7.687500,7.812500,2.654112,25600
1980-03-21,7.812500,7.875000,7.687500,7.687500,2.611646,46400
1980-03-24,7.687500,7.750000,7.312500,7.375000,2.505481,28000
1980-03-25,7.375000,7.562500,7.312500,7.375000,2.505481,65600
1980-03-26,7.437500,7.562500,7.437500,7.500000,2.547948,72600
1980-03-27,7.500000,7.500000,7.375000,7.500000,2.547948,81800
1980-03-28,7.500000,7.750000,7.500000,7.750000,2.632879,22800
1980-03-31,7.812500,8.125000,7.812500,8.000000,2.717808,33400
1980-04-01,8.000000,8.250000,7.937500,8.187500,2.781508,144000
1980-04-02,8.250000,8.500000,8.250000,8.312500,2.823974,103800
1980-04-03,8.312500,8.375000,7.937500,8.000000,2.717808,91200
1980-04-07,7.937500,7.937500,7.750000,7.750000,2.632879,115400
1980-04-08,7.750000,7.875000,7.500000,7.625000,2.590411,35200
1980-04-09,7.625000,7.687500,7.562500,7.625000,2.590411,476000
1980-04-10,7.625000,7.812500,7.625000,7.750000,2.632879,251200
1980-04-11,7.875000,8.062500,7.875000,7.937500,2.696578,126000
1980-04-14,7.937500,8.062500,7.937500,8.062500,2.739043,22000
1980-04-15,8.062500,8.125000,7.937500,8.125000,2.760276,21200
1980-04-16,8.125000,8.187500,8.000000,8.000000,2.717808,61200
1980-04-17,8.000000,8.062500,7.937500,8.062500,2.739043,111400
1980-04-18,8.062500,8.187500,7.937500,7.937500,2.696578,6400
1980-04-21,7.937500,8.187500,7.937500,8.000000,2.717808,20200
1980-04-22,8.062500,8.250000,8.062500,8.187500,2.781508,97800
1980-04-23,8.187500,8.187500,8.000000,8.125000,2.760276,126200
1980-04-24,8.125000,8.125000,8.000000,8.000000,2.717808,63200
1980-04-25,8.000000,8.250000,7.875000,8.250000,2.802741,16800
1980-04-28,8.250000,8.250000,8.000000,8.250000,2.802741,64000
1980-04-29,8.250000,8.375000,8.250000,8.375000,2.845206,6000
1980-04-30,8.375000,8.625000,8.312500,8.625000,2.930137,50800
1980-05-01,8.625000,8.750000,8.500000,8.500000,2.887673,34600
1980-05-02,8.500000,8.812500,8.500000,8.812500,2.993837,48400
1980-05-05,8.875000,9.000000,8.875000,9.000000,3.057536,32400
1980-05-06,9.000000,9.187500,8.750000,8.750000,2.972605,51800
1980-05-07,8.750000,8.875000,8.625000,8.625000,2.930137,57800
1980-05-08,8.750000,9.062500,8.750000,8.937500,3.036303,354400
1980-05-09,8.937500,8.937500,8.750000,8.750000,2.972605,28000
1980-05-12,8.812500,8.937500,8.812500,8.937500,3.036303,48600
1980-05-13,8.875000,8.875000,8.750000,8.812500,2.993837,24800
1980-05-14,8.875000,9.000000,8.875000,8.937500,3.036303,93600
1980-05-15,8.937500,9.000000,8.875000,9.000000,3.057536,114600
1980-05-16,9.000000,9.062500,8.875000,9.062500,3.078768,25800
1980-05-19,9.062500,9.062500,9.000000,9.062500,3.078768,28000
1980-05-20,9.062500,9.062500,9.000000,9.062500,3.078768,122000
1980-05-21,9.062500,9.187500,9.000000,9.187500,3.121235,217200
1980-05-22,9.187500,9.437500,9.187500,9.250000,3.142468,135600
1980-05-23,9.375000,9.500000,9.375000,9.437500,3.206166,163800
1980-05-27,9.500000,9.625000,9.500000,9.625000,3.269865,254400
1980-05-28,9.625000,9.625000,9.500000,9.500000,3.227398,24800
1980-05-29,9.437500,9.437500,9.312500,9.312500,3.163700,13400
1980-05-30,9.312500,9.375000,9.000000,9.375000,3.184934,61600
1980-06-02,9.375000,9.437500,9.187500,9.187500,3.121235,26400
1980-06-03,9.187500,9.375000,9.187500,9.375000,3.184934,5200
1980-06-04,9.375000,9.375000,9.250000,9.375000,3.184934,56400
1980-06-05,9.375000,9.437500,9.250000,9.312500,3.163700,112600
1980-06-06,9.312500,9.312500,9.250000,9.250000,3.142468,51400
1980-06-09,9.250000,9.250000,9.250000,9.250000,3.142468,19000
1980-06-10,9.250000,9.437500,9.250000,9.375000,3.184934,296400
1980-06-11,9.375000,9.562500,9.312500,9.375000,3.184934,147400
1980-06-12,9.375000,9.375000,9.312500,9.375000,3.184934,100600
1980-06-13,9.375000,9.437500,9.312500,9.312500,3.163700,37000
1980-06-16,9.312500,9.562500,9.312500,9.500000,3.227398,275000
1980-06-17,9.500000,9.562500,9.312500,9.312500,3.163700,18800
1980-06-18,9.312500,9.437500,9.250000,9.375000,3.184934,55400
1980-06-19,9.375000,9.437500,9.250000,9.250000,3.142468,19000
1980-06-20,9.250000,9.312500,9.125000,9.250000,3.142468,91400
1980-06-23,9.250000,9.375000,9.250000,9.375000,3.184934,21600
1980-06-24,9.375000,9.375000,9.187500,9.187500,3.121235,99200
1980-06-25,9.312500,9.437500,9.312500,9.375000,3.184934,678400
1980-06-26,9.375000,9.500000,9.312500,9.500000,3.227398,193200
1980-06-27,9.500000,9.625000,9.500000,9.562500,3.248633,21400
1980-06-30,9.625000,9.750000,9.625000,9.687500,3.291097,39400
1980-07-01,9.687500,10.000000,9.625000,10.000000,3.397261,48400
1980-07-02,10.000000,10.375000,10.000000,10.312500,3.503430,27600
1980-07-03,10.312500,10.437500,10.250000,10.375000,3.524659,111200
1980-07-07,10.250000,10.250000,10.125000,10.125000,3.439729,8400
1980-07-08,10.125000,10.125000,9.875000,9.937500,3.376031,49800
1980-07-09,9.937500,9.937500,9.750000,9.812500,3.333564,12200
1980-07-10,9.812500,9.812500,9.625000,9.687500,3.291097,111400
1980-07-11,9.562500,9.562500,9.250000,9.437500,3.206166,20800
1980-07-14,9.500000,9.937500,9.500000,9.937500,3.376031,184000
1980-07-15,9.937500,10.125000,9.875000,9.875000,3.354796,634200
1980-07-16,9.875000,10.000000,9.812500,9.875000,3.354796,368000
1980-07-17,9.875000,10.000000,9.875000,10.000000,3.397261,70600
1980-07-18,10.125000,10.437500,10.125000,10.437500,3.545893,602800
1980-07-21,10.437500,10.500000,10.437500,10.437500,3.545893,70600
1980-07-22,10.500000,10.750000,10.500000,10.500000,3.567128,49800
1980-07-23,10.500000,10.500000,10.312500,10.500000,3.567128,65200
1980-07-24,10.500000,10.562500,10.250000,10.312500,3.503430,49200
1980-07-25,10.187500,10.187500,10.000000,10.062500,3.418496,36000
1980-07-28,10.062500,10.062500,9.937500,10.000000,3.397261,67400
1980-07-29,10.000000,10.250000,10.000000,10.125000,3.439729,15600
1980-07-30,10.125000,10.875000,10.125000,10.812500,3.673291,62400
1980-07-31,10.812500,10.937500,10.750000,10.937500,3.715755,125400
1980-08-01,10.937500,10.937500,10.875000,10.937500,3.715755,19400
1980-08-04,10.937500,10.937500,10.812500,10.875000,3.694521,29400
1980-08-05,10.875000,11.062500,10.812500,11.062500,3.758224,36200
1980-08-06,11.000000,11.000000,10.875000,10.875000,3.694521,37600
1980-08-07,10.875000,10.937500,10.812500,10.937500,3.715755,64600
1980-08-08,10.937500,10.937500,10.687500,10.875000,3.694521,201600
1980-08-11,10.875000,11.250000,10.812500,11.125000,3.779455,34400
1980-08-12,11.125000,11.312500,11.125000,11.187500,3.800688,33200
1980-08-13,11.187500,11.312500,11.125000,11.250000,3.821918,29600
1980-08-14,11.250000,11.250000,10.875000,11.000000,3.736988,73000
1980-08-15,11.000000,11.125000,10.812500,10.937500,3.715755,80000
1980-08-18,10.937500,10.937500,10.750000,10.750000,3.652056,42200
1980-08-19,10.625000,10.625000,10.125000,10.375000,3.524659,188800
1980-08-20,10.312500,10.312500,10.125000,10.125000,3.439729,14400
1980-08-21,10.125000,10.687500,10.125000,10.500000,3.567128,369000
1980-08-22,10.562500,10.937500,10.562500,10.875000,3.694521,201600
1980-08-25,10.687500,10.687500,10.312500,10.437500,3.545893,48600
1980-08-26,10.437500,10.500000,10.250000,10.375000,3.524659,74000
1980-08-27,10.375000,10.437500,10.000000,10.000000,3.397261,126200
1980-08-28,10.000000,10.125000,9.937500,10.125000,3.439729,74600
1980-08-29,10.125000,10.125000,10.000000,10.125000,3.439729,3600
1980-09-02,10.125000,10.250000,10.000000,10.250000,3.482195,16600
1980-09-03,10.250000,10.562500,10.187500,10.562500,3.588360,42200
1980-09-04,10.625000,10.875000,10.625000,10.625000,3.609591,114200
1980-09-05,10.625000,10.937500,10.562500,10.937500,3.715755,18600
1980-09-08,11.000000,11.187500,11.000000,11.062500,3.758224,96200
1980-09-09,11.062500,11.062500,10.812500,10.875000,3.694521,56800
1980-09-10,10.875000,11.000000,10.625000,10.625000,3.609591,154200
1980-09-11,10.625000,10.625000,10.250000,10.625000,3.609591,112800
1980-09-12,10.625000,10.625000,10.500000,10.500000,3.567128,110400
1980-09-15,10.500000,10.750000,10.375000,10.750000,3.652056,55400
1980-09-16,10.750000,11.000000,10.750000,10.937500,3.715755,130600
1980-09-17,11.000000,11.125000,11.000000,11.125000,3.779455,39400
1980-09-18,11.125000,11.500000,11.125000,11.125000,3.779455,140000
1980-09-19,11.125000,11.187500,11.000000,11.187500,3.800688,40400
1980-09-22,11.187500,11.250000,11.062500,11.187500,3.800688,30200
1980-09-23,11.187500,11.375000,10.750000,10.750000,3.652056,38000
1980-09-24,10.750000,10.875000,10.625000,10.812500,3.673291,25000
1980-09-25,10.687500,10.687500,10.625000,10.687500,3.630824,28800
1980-09-26,10.687500,10.687500,10.500000,10.562500,3.588360,80600
1980-09-29,10.437500,10.437500,10.187500,10.187500,3.460962,59000
1980-09-30,10.187500,10.250000,10.125000,10.250000,3.482195,79200
1980-10-01,10.250000,10.500000,10.187500,10.500000,3.567128,103000
1980-10-02,10.500000,11.000000,10.500000,10.937500,3.715755,71400
1980-10-03,10.937500,10.937500,10.812500,10.937500,3.715755,39400
1980-10-06,10.937500,11.062500,10.937500,11.062500,3.758224,55400
1980-10-07,11.062500,11.187500,11.062500,11.125000,3.779455,20400
1980-10-08,11.125000,11.250000,11.125000,11.125000,3.779455,206400
1980-10-09,11.125000,11.500000,11.125000,11.437500,3.885617,154600
1980-10-10,11.437500,11.500000,11.312500,11.312500,3.843156,65200
1980-10-13,11.250000,11.250000,11.062500,11.062500,3.758224,7600
1980-10-14,11.062500,11.250000,11.062500,11.062500,3.758224,44000
1980-10-15,11.062500,11.312500,11.062500,11.250000,3.821918,133400
1980-10-16,11.250000,11.312500,11.125000,11.125000,3.779455,20800
1980-10-17,11.125000,11.187500,10.750000,10.750000,3.652056,104400
1980-10-20,10.625000,10.625000,10.375000,10.375000,3.524659,105800
1980-10-21,10.375000,10.375000,10.187500,10.187500,3.460962,76600
1980-10-22,10.187500,10.187500,10.000000,10.062500,3.418496,59600
1980-10-23,10.062500,10.125000,10.000000,10.000000,3.397261,90800
1980-10-24,10.000000,10.000000,9.812500,10.000000,3.397261,89800
1980-10-27,10.000000,10.000000,9.500000,9.625000,3.269865,157000
1980-10-28,9.625000,9.625000,9.437500,9.562500,3.248633,63200
1980-10-29,9.562500,9.562500,9.437500,9.500000,3.227398,61600
1980-10-30,9.375000,9.375000,9.312500,9.375000,3.184934,78600
1980-10-31,9.375000,9.375000,9.000000,9.375000,3.184934,494000
1980-11-03,9.375000,9.375000,9.250000,9.375000,3.184934,58000
1980-11-05,9.375000,10.187500,9.125000,9.187500,3.121235,887600
1980-11-06,9.187500,9.437500,9.000000,9.375000,3.184934,88200
1980-11-07,9.375000,9.625000,9.312500,9.625000,3.269865,27600
1980-11-10,9.625000,9.625000,9.500000,9.500000,3.227398,6800
1980-11-11,9.500000,9.562500,9.500000,9.562500,3.248633,34600
1980-11-12,9.625000,9.937500,9.625000,9.937500,3.376031,38200
1980-11-13,9.937500,10.187500,9.875000,10.000000,3.397261,20600
1980-11-14,10.125000,10.437500,10.125000,10.312500,3.503430,58400
1980-11-17,10.312500,10.437500,10.250000,10.437500,3.545893,34800
1980-11-18,10.437500,10.562500,10.375000,10.562500,3.588360,51000
1980-11-19,10.562500,10.562500,10.500000,10.562500,3.588360,27000
1980-11-20,10.562500,10.625000,10.500000,10.562500,3.588360,49600
1980-11-21,10.562500,10.687500,10.312500,10.312500,3.503430,29000
1980-11-24,10.187500,10.187500,9.750000,9.875000,3.354796,22400
1980-11-25,9.875000,10.125000,9.812500,10.062500,3.418496,58200
1980-11-26,10.062500,10.125000,10.000000,10.000000,3.397261,24600
1980-11-28,10.000000,10.000000,9.937500,9.937500,3.376031,90200
1980-12-01,9.937500,9.937500,9.625000,9.625000,3.269865,195200
1980-12-02,9.625000,9.625000,9.375000,9.375000,3.184934,35400
1980-12-03,9.375000,9.500000,9.375000,9.500000,3.227398,40400
1980-12-04,9.500000,9.875000,9.375000,9.875000,3.354796,39800
1980-12-05,9.875000,10.000000,9.875000,9.875000,3.354796,13400
1980-12-08,9.750000,9.750000,9.375000,9.500000,3.227398,98800
1980-12-09,9.500000,9.500000,9.250000,9.312500,3.163700,54000
1980-12-10,9.375000,9.500000,9.375000,9.437500,3.206166,377400
1980-12-11,9.437500,9.687500,9.375000,9.687500,3.291097,24600
1980-12-12,9.687500,9.687500,9.562500,9.625000,3.269865,24400
1980-12-15,9.625000,9.625000,9.500000,9.500000,3.227398,86400
1980-12-16,9.500000,9.562500,9.375000,9.375000,3.184934,257200
1980-12-17,9.375000,9.437500,9.250000,9.375000,3.184934,28200
1980-12-18,9.312500,9.312500,8.625000,9.250000,3.142468,568200
1980-12-19,9.125000,9.125000,9.000000,9.125000,3.100003,167200
1980-12-22,9.125000,9.375000,9.000000,9.250000,3.142468,550200
1980-12-23,9.250000,9.562500,9.250000,9.562500,3.248633,146600
1980-12-24,9.562500,9.562500,9.437500,9.562500,3.248633,38000
1980-12-26,9.562500,9.562500,9.500000,9.562500,3.248633,1200
1980-12-29,9.500000,9.500000,9.312500,9.437500,3.206166,21400
1980-12-30,9.437500,9.437500,9.375000,9.437500,3.206166,31800
1980-12-31,9.437500,9.625000,9.375000,9.625000,3.269865,84800
1981-01-02,9.687500,9.750000,9.687500,9.687500,3.291097,52400
1981-01-05,9.812500,10.125000,9.812500,10.062500,3.418496,112600
1981-01-06,10.062500,10.062500,9.937500,9.937500,3.376031,30000
1981-01-07,9.937500,10.000000,9.500000,10.000000,3.397261,138200
1981-01-08,10.125000,10.250000,10.125000,10.250000,3.482195,8200
1981-01-09,10.125000,10.125000,10.000000,10.125000,3.439729,97000
1981-01-12,10.125000,10.125000,10.000000,10.000000,3.397261,87600
1981-01-13,10.000000,10.000000,9.875000,9.937500,3.376031,71400
1981-01-14,9.937500,10.000000,9.750000,9.875000,3.354796,95400
1981-01-15,9.875000,10.000000,9.875000,9.875000,3.354796,29200
1981-01-16,9.875000,10.000000,9.875000,10.000000,3.397261,57400
1981-01-19,10.000000,10.000000,9.812500,10.000000,3.397261,134200
1981-01-20,10.000000,10.000000,9.625000,9.687500,3.291097,32200
1981-01-21,9.687500,9.750000,9.437500,9.437500,3.206166,29000
1981-01-22,9.437500,9.500000,9.437500,9.500000,3.227398,14800
1981-01-23,9.500000,9.500000,9.437500,9.500000,3.227398,15200
1981-01-26,9.500000,9.625000,9.500000,9.625000,3.269865,10800
1981-01-27,9.750000,9.875000,9.750000,9.875000,3.354796,38200
1981-01-28,9.875000,9.937500,9.562500,9.562500,3.248633,83000
1981-01-29,9.562500,9.687500,9.562500,9.625000,3.269865,9800
1981-01-30,9.625000,9.687500,9.562500,9.562500,3.248633,17200
1981-02-02,9.562500,9.875000,9.562500,9.750000,3.312330,100400
1981-02-03,9.750000,9.875000,9.750000,9.875000,3.354796,89000
1981-02-04,9.875000,10.000000,9.812500,9.875000,3.354796,34200
1981-02-05,9.875000,10.000000,9.812500,9.937500,3.376031,65000
1981-02-06,9.937500,10.000000,9.875000,9.875000,3.354796,73200
1981-02-09,9.875000,9.875000,9.625000,9.875000,3.354796,77600
1981-02-10,9.875000,9.875000,9.625000,9.875000,3.354796,682000
1981-02-11,9.875000,10.000000,9.875000,10.000000,3.397261,19200
1981-02-12,10.000000,10.000000,9.937500,10.000000,3.397261,15000
1981-02-13,10.000000,10.000000,9.812500,9.937500,3.376031,24400
1981-02-17,9.937500,10.125000,9.812500,10.125000,3.439729,87200
1981-02-18,10.187500,10.562500,10.187500,10.562500,3.588360,91000
1981-02-19,10.562500,10.750000,10.562500,10.750000,3.652056,233000
1981-02-20,10.750000,10.875000,10.750000,10.750000,3.652056,46200
1981-02-23,10.875000,11.000000,10.875000,11.000000,3.736988,110000
1981-02-24,10.750000,10.750000,10.625000,10.750000,3.652056,27400
1981-02-25,10.750000,11.000000,10.750000,10.875000,3.694521,57000
1981-02-26,11.125000,11.437500,11.125000,11.250000,3.821918,65400
1981-02-27,11.250000,11.375000,11.250000,11.375000,3.864388,83200
1981-03-02,11.375000,11.500000,11.312500,11.375000,3.864388,143400
1981-03-03,11.375000,11.375000,11.187500,11.187500,3.800688,27400
1981-03-04,11.187500,11.250000,11.062500,11.062500,3.758224,20400
1981-03-05,11.062500,11.125000,10.937500,10.937500,3.715755,82600
1981-03-06,11.000000,11.375000,11.000000,11.062500,3.758224,27000
1981-03-09,11.062500,11.250000,11.062500,11.125000,3.779455,12400
1981-03-10,11.250000,11.687500,11.250000,11.687500,3.970550,310000
1981-03-11,11.687500,11.812500,11.312500,11.437500,3.885617,179400
1981-03-12,11.437500,11.875000,11.437500,11.875000,4.034249,66000
1981-03-13,12.187500,12.250000,12.187500,12.250000,4.161645,99400
1981-03-16,12.250000,12.500000,12.250000,12.437500,4.225345,92200
1981-03-17,12.437500,12.500000,12.375000,12.375000,4.204112,85400
1981-03-18,12.375000,12.375000,12.250000,12.375000,4.204112,14000
1981-03-19,12.375000,12.437500,12.312500,12.437500,4.225345,32600
1981-03-20,12.437500,12.437500,12.250000,12.250000,4.161645,58800
1981-03-23,12.250000,12.375000,11.750000,12.125000,4.119179,115200
1981-03-24,12.375000,12.500000,12.375000,12.500000,4.246578,53000
1981-03-25,12.500000,12.562500,12.375000,12.562500,4.267812,482400
1981-03-26,12.562500,12.812500,12.500000,12.625000,4.289043,157600
1981-03-27,12.625000,12.875000,12.625000,12.750000,4.331509,110200
1981-03-30,12.750000,12.875000,12.625000,12.750000,4.331509,24800
1981-03-31,12.812500,13.000000,12.812500,13.000000,4.416441,47400
1981-04-01,13.000000,13.062500,12.875000,13.062500,4.437675,14800
1981-04-02,13.062500,13.375000,13.062500,13.375000,4.543840,104000
1981-04-03,13.375000,13.562500,13.375000,13.437500,4.565073,231200
1981-04-06,13.437500,13.437500,13.250000,13.312500,4.522604,157400
1981-04-07,13.312500,13.500000,13.312500,13.375000,4.543840,100000
1981-04-08,13.375000,13.562500,13.375000,13.500000,4.586305,134000
1981-04-09,13.562500,13.687500,13.562500,13.625000,4.628770,145800
