Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,18.833334,19.333334,18.458334,19.083334,4.514833,116700
1973-05-04,19.583334,19.958334,19.583334,19.666666,4.652839,256800
1973-05-07,19.666666,19.708334,19.541666,19.583334,4.633126,55800
1973-05-08,19.583334,19.583334,19.416666,19.583334,4.633126,80100
1973-05-09,19.583334,19.791666,19.541666,19.666666,4.652839,66900
1973-05-10,19.666666,19.666666,19.416666,19.416666,4.593692,61800
1973-05-11,19.416666,19.416666,18.916666,19.166666,4.534548,76500
1973-05-14,18.916666,18.916666,18.666666,18.875000,4.465542,46200
1973-05-15,18.875000,19.083334,18.666666,19.083334,4.514833,90300
1973-05-16,19.083334,19.291666,19.083334,19.291666,4.564121,39900
1973-05-17,19.291666,19.333334,19.041666,19.291666,4.564121,56100
1973-05-18,19.250000,19.250000,18.875000,19.166666,4.534548,85200
1973-05-21,19.083334,19.083334,18.791666,18.833334,4.455683,138300
1973-05-22,18.875000,19.083334,18.875000,18.875000,4.465542,51300
1973-05-23,18.916666,19.208334,18.916666,19.166666,4.534548,91500
1973-05-24,19.166666,19.625000,19.166666,19.625000,4.642980,45300
1973-05-25,19.666666,20.083334,19.666666,19.958334,4.721844,82800
1973-05-29,19.833334,19.833334,19.333334,19.333334,4.573976,25500
1973-05-30,19.333334,19.333334,19.208334,19.291666,4.564121,16800
1973-05-31,19.166666,19.166666,18.833334,18.833334,4.455683,82800
1973-06-01,18.833334,19.166666,18.708334,18.958334,4.485259,70800
1973-06-04,18.958334,19.000000,18.833334,18.833334,4.455683,31800
1973-06-05,18.833334,19.166666,18.708334,18.916666,4.475403,85500
1973-06-06,18.916666,19.083334,18.833334,18.833334,4.455683,27000
1973-06-07,18.875000,19.166666,18.875000,19.000000,4.495116,47100
1973-06-08,19.083334,19.541666,19.083334,19.541666,4.623266,83400
1973-06-11,19.666666,19.916666,19.666666,19.833334,4.692272,39600
1973-06-12,19.833334,20.083334,19.708334,20.083334,4.751416,144600
1973-06-13,20.083334,20.291666,19.625000,19.833334,4.692272,80400
1973-06-14,19.791666,19.791666,19.666666,19.791666,4.682412,138900
1973-06-15,19.708334,19.708334,19.583334,19.666666,4.652839,26400
1973-06-18,19.666666,19.666666,19.166666,19.250000,4.554264,131400
1973-06-19,19.250000,19.458334,18.958334,19.291666,4.564121,88800
1973-06-20,19.291666,19.333334,19.083334,19.333334,4.573976,91200
1973-06-21,19.333334,19.333334,19.166666,19.250000,4.554264,118200
1973-06-22,19.250000,19.666666,19.166666,19.166666,4.534548,43500
1973-06-25,19.166666,19.291666,19.083334,19.083334,4.514833,16800
1973-06-26,19.083334,19.250000,19.000000,19.250000,4.554264,18900
1973-06-27,19.250000,19.291666,19.000000,19.250000,4.554264,86400
1973-06-28,19.333334,19.583334,19.333334,19.583334,4.633126,21900
1973-06-29,19.583334,19.625000,19.416666,19.583334,4.633126,75300
1973-07-02,19.583334,19.666666,19.458334,19.625000,4.642980,39300
1973-07-03,19.625000,20.041666,19.625000,20.000000,4.731701,63000
1973-07-05,20.000000,20.250000,19.791666,20.166666,4.771133,60900
1973-07-06,20.166666,20.291666,20.166666,20.291666,4.800707,32400
1973-07-09,20.291666,20.666666,20.291666,20.583334,4.869707,39600
1973-07-10,20.958334,21.458334,20.958334,21.000000,4.968287,81600
1973-07-11,21.333334,21.583334,21.333334,21.458334,5.076720,169200
1973-07-12,21.458334,21.500000,21.166666,21.333334,5.047146,142800
1973-07-13,21.333334,21.333334,20.833334,20.958334,4.958428,64500
1973-07-16,20.958334,21.250000,20.916666,21.083334,4.988003,46500
1973-07-17,21.166666,21.333334,21.166666,21.166666,5.007715,144000
1973-07-18,21.166666,21.250000,21.041666,21.041666,4.978145,51000
1973-07-19,21.041666,21.333334,20.875000,21.166666,5.007715,135000
