Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.833333,1.916667,1.833333,1.833333,0.050949,72000
1980-03-18,1.833333,1.895833,1.812500,1.812500,0.050370,8000
1980-03-19,1.812500,1.812500,1.812500,1.812500,0.050370,0
1980-03-20,1.812500,1.895833,1.812500,1.812500,0.050370,800
1980-03-21,1.812500,1.875000,1.791667,1.791667,0.049791,38400
1980-03-24,1.791667,1.791667,1.708333,1.708333,0.047475,93600
1980-03-25,1.708333,1.750000,1.666667,1.666667,0.046317,8000
1980-03-26,1.666667,1.750000,1.666667,1.666667,0.046317,110400
1980-03-27,1.666667,1.687500,1.604167,1.604167,0.044580,62400
1980-03-28,1.645833,1.729167,1.645833,1.645833,0.045738,33600
1980-03-31,1.645833,1.729167,1.645833,1.645833,0.045738,2400
1980-04-01,1.687500,1.770833,1.687500,1.687500,0.046896,15200
1980-04-02,1.812500,1.895833,1.812500,1.812500,0.050370,195200
1980-04-03,1.833333,1.916667,1.833333,1.833333,0.050949,52800
1980-04-07,1.833333,1.854167,1.770833,1.770833,0.049212,24800
1980-04-08,1.770833,1.833333,1.750000,1.750000,0.048633,55200
1980-04-09,1.750000,1.833333,1.750000,1.750000,0.048633,8000
1980-04-10,1.770833,1.854167,1.770833,1.770833,0.049212,4800
1980-04-11,1.770833,1.854167,1.770833,1.770833,0.049212,3200
1980-04-14,1.770833,1.833333,1.750000,1.750000,0.048633,800
1980-04-15,1.770833,1.854167,1.770833,1.770833,0.049212,20000
1980-04-16,1.875000,1.958333,1.875000,1.875000,0.052106,113600
1980-04-17,1.875000,1.958333,1.875000,1.875000,0.052106,34400
1980-04-18,1.895833,1.979167,1.895833,1.895833,0.052685,19200
1980-04-21,1.916667,2.000000,1.916667,1.916667,0.053264,19200
1980-04-22,1.916667,2.000000,1.916667,1.916667,0.053264,12000
1980-04-23,1.979167,2.062500,1.979167,1.979167,0.055001,60000
1980-04-24,2.041667,2.125000,2.041667,2.041667,0.056738,64800
1980-04-25,2.041667,2.104167,2.020833,2.020833,0.056159,80000
1980-04-28,2.041667,2.125000,2.041667,2.041667,0.056738,8000
1980-04-29,2.041667,2.125000,2.041667,2.041667,0.056738,17600
1980-04-30,2.041667,2.125000,2.041667,2.041667,0.056738,21600
1980-05-01,2.041667,2.125000,2.041667,2.041667,0.056738,800
1980-05-02,2.041667,2.125000,2.041667,2.041667,0.056738,2400
1980-05-05,2.041667,2.125000,2.041667,2.041667,0.056738,5600
1980-05-06,2.062500,2.145833,2.062500,2.062500,0.057317,36000
1980-05-07,2.083333,2.166667,2.083333,2.083333,0.057896,56000
1980-05-08,2.083333,2.145833,2.062500,2.062500,0.057317,7200
1980-05-09,2.062500,2.145833,2.062500,2.062500,0.057317,24800
1980-05-12,2.062500,2.104167,2.020833,2.020833,0.056159,27200
1980-05-13,2.020833,2.083333,2.000000,2.000000,0.055580,75200
1980-05-14,2.000000,2.083333,2.000000,2.000000,0.055580,4800
1980-05-15,2.000000,2.083333,2.000000,2.000000,0.055580,7200
1980-05-16,2.000000,2.083333,2.000000,2.000000,0.055580,24000
1980-05-19,2.000000,2.083333,2.000000,2.000000,0.055580,10400
1980-05-20,2.000000,2.062500,1.979167,1.979167,0.055001,15200
1980-05-21,1.979167,1.979167,1.895833,1.895833,0.052685,63200
1980-05-22,1.916667,2.000000,1.916667,1.916667,0.053264,16800
1980-05-23,1.958333,2.041667,1.958333,1.958333,0.054422,45600
